1	но мы знаем что	2	3
2	одно и то же	1	2
3	много лет тому назад	1	2
4	и тем не менее	2	2
5	мы знаем что это	1	2
6	в свою противоположность и	1	1
7	мы должны прежде всего	2	1
8	мы уже знаем что	1	1
9	в том что она	2	1
10	одни и те же	1	1
11	до сих пор не	1	1
12	то это означает что	1	1
13	не что иное как	1	1
14	мы знаем что в	1	1
15	не дает нам никакого	1	1
16	чтобы ответить на этот	1	1
17	ответить на этот вопрос	1	1
18	в то же время	6	1
19	на первый план выдвигается	1	1
20	но тем не менее	1	1
21	есть не что иное	1	1
