N	3gram	Savitsky_E	SlovoVZh
1	не может быть	2	7
2	можно сказать что	3	5
3	в том что	6	4
4	дело в том	1	4
5	то ни было	4	3
6	этой точки зрения	5	3
7	и не в	1	3
8	бы то ни	4	3
9	может быть и	1	3
10	одной стороны и	6	2
11	мы можем сказать	2	2
12	в отношении к	12	2
13	в данном случае	2	2
14	с одной стороны	8	2
15	с другой стороны	2	2
16	с точки зрения	16	2
17	и в своем	1	1
18	как одно из	1	1
19	в противном случае	1	1
20	один и тот	1	1
21	к которой принадлежит	1	1
22	хотя бы только	1	1
23	в свою очередь	2	1
24	и тот же	1	1
25	по себе не	2	1
26	и в частности	2	1
27	и та же	1	1
28	но в процессе	1	1
29	в том же	1	1
30	на одну доску	1	1
31	следует отметить что	1	1
32	же время не	1	1
33	во всяком случае	3	1
34	в нем и	1	1
35	но в то	2	1
36	физические и химические	1	1
37	в лучшем случае	1	1
38	мы увидим что	1	1
39	от того в	1	1
40	же как и	3	1
41	одна и та	1	1
42	а не к	1	1
43	не нужно думать	1	1
44	можно было бы	3	1
45	в этом отношении	3	1
46	так же как	5	1
47	то же время	14	1
48	уже и сейчас	1	1
49	тех или иных	1	1
50	как не может	1	1
51	и прежде всего	3	1
52	поскольку они являются	1	1
53	и притом с	1	1
54	более или менее	1	1
55	но и в	1	1
56	в то же	15	1
57	в значительной степени	1	1
58	то время как	1	1
59	и в этом	4	1
60	в частности в	2	1
61	в то время	1	1
62	в этом смысле	3	1
63	или хотя бы	2	1
64	нужно думать что	1	1
65	в пределах этого	1	1
66	нам кажется что	2	1
67	мы видели в	1	1
68	каких бы то	2	1
69	к тому же	1	1
70	друг к другу	1	1
