N	2gram	Losev_Prob	Poddanst
1	не только	28	17
2	и в	48	14
3	и не	29	12
4	в области	3	11
5	в этом	31	10
6	в отношении	8	10
7	н а	1	10
8	в том	25	9
9	то же	6	9
10	в качестве	9	9
11	но в	17	9
12	хотя бы	11	8
13	только в	21	7
14	же время	1	7
15	в то	6	7
16	в ней	4	6
17	xix века	1	6
18	было бы	12	6
19	но и	21	6
20	в смысле	8	6
21	может быть	11	5
22	отношении к	1	5
23	россии в	2	5
24	с другой	8	5
25	не в	16	5
26	и о	9	5
27	а н	3	5
28	а я	1	5
29	в русской	4	4
30	и к	9	4
31	что в	12	4
32	в котором	5	4
33	по себе	5	4
34	на путях	2	4
35	тех кто	1	4
36	и если	2	4
37	и потому	4	4
38	мы должны	1	4
39	не может	6	4
40	а в	8	4
41	то что	26	4
42	как бы	10	4
43	если бы	2	4
44	а также	8	4
45	в своем	16	4
46	же в	4	4
47	том что	29	4
48	большей степени	2	4
49	в сравнении	4	3
50	наряду с	2	3
51	в себе	7	3
52	сравнении с	4	3
53	что мы	4	3
54	с одной	5	3
55	мы не	7	3
56	это не	8	3
57	одной стороны	5	3
58	для того	4	3
59	между тем	2	3
60	с точки	13	3
61	хотя и	10	3
62	с тем	7	3
63	потому что	21	3
64	прежде всего	15	3
65	вслед за	2	3
66	сводится к	1	3
67	тем самым	2	3
68	в россии	2	3
69	заключается в	1	3
70	но не	12	3
71	могут быть	2	3
72	я и	1	3
73	и т	2	3
74	и как	10	3
75	с ними	1	3
76	столь же	1	3
77	в порядке	1	3
78	в нем	8	3
79	и без	5	3
80	тот же	6	3
81	точки зрения	17	3
82	с этим	3	2
83	во всех	2	2
84	м а	1	2
85	в перспективе	1	2
86	именно как	1	2
87	является в	1	2
88	и это	3	2
89	и других	1	2
90	и мы	1	2
91	ней не	1	2
92	которую мы	2	2
93	в европе	2	2
94	если в	2	2
95	и вот	1	2
96	время в	2	2
97	в значительной	3	2
98	том числе	2	2
99	не будем	3	2
100	церкви и	1	2
101	еще более	4	2
102	по-видимому не	1	2
103	начала и	2	2
104	эта идея	2	2
105	для тех	1	2
106	и весьма	2	2
107	на этих	1	2
108	в ее	6	2
109	и тем	4	2
110	того что	8	2
111	никак не	10	2
112	как раз	7	2
113	в частности	5	2
114	в его	19	2
115	не о	2	2
116	а не	7	2
117	но о	2	2
118	нужно было	1	2
119	для нас	14	2
120	все это	8	2
121	в которую	1	2
122	для них	3	2
123	русский народ	1	2
124	и есть	4	2
125	в виде	25	2
126	в них	5	2
127	творчества и	1	2
128	не было	4	2
129	г и	1	2
130	ii в	2	2
131	и с	10	2
132	в начале	6	2
133	как на	1	2
134	слова но	2	2
135	в общем	1	2
136	главным образом	1	2
137	она ни	1	2
138	духа и	2	2
139	именно в	11	2
140	значительной мере	3	2
141	должно быть	1	2
142	в жизни	4	2
143	отношения к	1	2
144	и г	2	2
145	друг другу	1	2
146	iii в	4	2
147	во всей	1	2
148	есть нечто	1	2
149	в силу	6	2
150	между прочим	2	2
151	в мире	1	2
152	например в	1	2
153	не менее	8	2
154	где бы	1	2
155	не столько	1	2
156	отнюдь не	14	2
157	с с	1	2
158	и укрепить	1	2
159	со стороны	1	2
160	да и	5	2
161	не нужно	1	2
162	в эту	1	2
163	из них	4	2
164	но к	2	2
165	тем более	2	2
166	есть в	6	2
167	что из	1	2
168	не к	3	2
169	бы ни	1	2
170	в xix	1	2
171	что было	1	1
172	были бы	1	1
173	xx в	1	1
174	говорится о	6	1
175	нет ничего	3	1
176	поскольку она	1	1
177	от нее	2	1
178	во всяком	7	1
179	тем в	1	1
180	могли бы	2	1
181	ни к	2	1
182	не есть	3	1
183	выражены в	1	1
184	и то	6	1
185	но как	3	1
186	бы и	1	1
187	история и	1	1
