N	3gram	Tiupa_Disk	Hudozhes
1	по отношению к	13	10
2	не сводится к	4	9
3	в том что	18	8
4	присутствия в мире	1	7
5	я в мире	1	7
6	в то же	7	7
7	в отличие от	12	7
8	то же время	9	7
9	с другой стороны	4	6
10	более или менее	2	6
11	той или иной	6	5
12	в конечном счете	2	5
13	состоит в том	3	5
14	того или иного	2	4
15	не может быть	5	4
16	в силу своей	2	4
17	по сути своей	2	3
18	но не слияние	1	3
19	ни в мире	2	3
20	с точки зрения	3	3
21	в этом смысле	1	3
22	в том числе	3	3
23	тем не менее	1	3
24	можно сказать что	3	3
25	сближение но не	1	3
26	и то же	2	3
27	одного и того	4	3
28	одно и то	2	3
29	подобно тому как	4	3
30	несет в себе	3	3
31	и того же	4	3
32	по сути дела	3	3
33	в связи с	1	3
34	с одной стороны	12	3
35	тот или иной	2	3
36	сказания или анекдота	2	2
37	в той или	1	2
38	в свою очередь	3	2
39	и прежде всего	2	2
40	как к содержанию	2	2
41	до известной степени	2	2
42	является своего рода	1	2
43	кто говорит и	1	2
44	в русской литературе	2	2
45	причастной вненаходимости бахтин	1	2
46	это своего рода	1	2
47	в мире на	1	2
48	себя в другом	1	2
49	значении этого термина	2	2
50	по большей части	1	2
51	ту или иную	1	2
52	в том и	1	2
53	в самом деле	1	2
54	во внешнем мире	1	2
55	в эстетический объект	1	2
56	автора и читателей	1	2
57	в таком случае	1	2
58	в противном случае	1	2
59	со стороны адресата	2	2
60	включает в себя	1	2
61	уготованной ему позиции	1	2
62	преодолеваемая даль и	1	2
63	по своей природе	3	2
64	том числе и	3	2
65	стратегии художественного письма	1	2
66	в этом мире	2	2
67	тех или иных	1	2
68	и в форме	2	2
69	и в то	2	2
70	а с другой	4	2
71	вокруг я героя	1	2
72	не могло быть	1	2
73	не сводятся к	1	2
74	том что он	1	2
75	тем или иным	1	2
76	в мире это	1	2
77	в рамках которого	2	2
78	как уже говорилось	1	2
79	и сближение но	1	2
80	значении этого слова	1	2
81	отношения к сообщаемому	1	2
82	и не могло	1	2
83	даль и сближение	1	2
84	однако при этом	1	2
85	в известном смысле	1	2
86	индивидуального речевого замысла	2	2
87	в равной степени	2	2
88	в значительной степени	3	2
89	в основе своей	4	2
90	мы имеем дело	3	2
91	но не верифицируемым	1	1
92	примеряя ее содержание	1	1
93	интонации и оценки	1	1
94	очередь определяется предметом	2	1
95	что он не	1	1
96	и не быть	1	1
97	природе суть то	1	1
98	смысле домонологично оно	1	1
99	устремленный от одного	1	1
100	может и не	1	1
101	согласия за которым	1	1
102	жизни то есть	1	1
103	может быть проделано	1	1
104	это ощущение составляет	1	1
105	картина мира которая	2	1
106	диалогизм биографического слова	1	1
107	условленность конвенциональность общения	1	1
108	обязательно курьезное любопытное	1	1
109	позиция активного приятия	1	1
110	носителем и реализатором	1	1
111	стратегию эстетического по	1	1
112	домонологично оно объединяет	1	1
113	и характерное для	1	1
114	по этой причине	2	1
115	свободного согласия за	1	1
116	касается ментальной и	1	1
117	она здесь присутствует	1	1
118	сводится к служебной	1	1
119	эта возможность иного	1	1
120	может быть наглядно	1	1
121	в евгении онегине	1	1
122	с ее иносказательностью	1	1
123	правило лишь в	1	1
124	об отсутствии в	1	1
125	речевая маска биографа	1	1
126	вещами и ценностями	1	1
127	и иных пространственно-временных	1	1
128	быть проделано и	1	1
129	убеждения организующего учительный	1	1
130	опыт присутствия в	1	1
131	доверия к чужому	1	1
132	к своему герою	1	1
133	неожиданное маловероятное беспрецедентное	1	1
134	они хотят и	1	1
135	индивида и его	1	1
136	самому тогда как	1	1
137	в области художественного	1	1
138	соотношений такая возможность	1	1
139	где слово деритуализовано	1	1
140	не знает к	1	1
141	недопустимая в сказании	1	1
142	призван обладать проективной	1	1
143	и как бы	5	1
144	отношение к своему	1	1
145	которая своей карнавальной	1	1
146	или анекдота ценностное	1	1
147	мире на свой	1	1
148	романного видения мира	1	1
149	своим коммуникативным параметрам	1	1
150	все то что	1	1
151	предел до которого	1	1
152	изобразителя жизни повествователя	1	1
153	то есть в	2	1
154	анекдот должен не	1	1
155	и возможность иного	1	1
156	и строго отграниченная	2	1
157	фатально непреложный и	1	1
158	классическом романе реалистической	1	1
159	смыслов оно стремится	1	1
160	была впервые освоена	1	1
161	анекдот ни притча	1	1
162	субъект объект и	1	1
163	ошибка оговорка где	1	1
164	реализуют в нем	1	1
165	соседствами именно это	1	1
166	и слушающих общим	1	1
167	жизненным опытом выводится	1	1
168	разные формы скрытой	1	1
169	прямой речи именно	1	1
170	где образ становящегося	1	1
171	не может обладать	1	1
172	мира с совершенно	1	1
173	внеличную сторону индивида	1	1
174	масштабов и соотношений	1	1
175	слова в слове	1	1
176	возможность иного включает	1	1
177	свободным как к	1	1
178	и потому что	1	1
179	или острота наизнанку	1	1
180	в сочетании с	1	1
181	здесь присутствует как	1	1
182	всего к ценностной	1	1
183	приятия не удовлетворяясь	1	1
184	речевой акт притчевого	1	1
185	ее содержание к	1	1
186	посрамляющий умершее солнце	1	1
187	преломляющая несобственно-прямая речь	1	1
188	герою жизнеописания чего	1	1
189	ним определенные задания	1	1
190	и том же	1	1
191	экзистенциальный опыт присутствия	1	1
192	убавить ни изменить	1	1
193	романного слова эта	1	1
194	события на поучающего	1	1
195	свой опыт жизни	1	1
196	припоминая и примеряя	1	1
197	готовом стабильно дифференцированном	2	1
198	характерное для восприятия	1	1
199	нормы ни в	1	1
200	нас самих состоят	1	1
201	ситуации произнесения сказания	1	1
202	разделение иерархично оно	1	1
203	искусство заинтересовывать судьбой	1	1
204	на статус знания	1	1
205	акте выбора осуществляется	1	1
206	с содержанием анекдота	1	1
207	реализатором самобытного смысла	1	1
208	ценностно-смысловой позиции в	1	1
209	возможность совершенно иной	1	1
210	или сплетни то	1	1
211	говорит и кому	1	1
212	может обладать собственным	1	1
213	неуместность ошибка оговорка	1	1
214	и тем же	1	1
215	анекдот но без	1	1
216	ничего нельзя не	1	1
217	из нас самих	1	1
218	первое может быть	1	1
219	и другого в	1	1
220	так и его	1	1
221	при этом остается	1	1
222	в своего рода	1	1
223	может быть редуцирован	1	1
224	невозможно притчевое нормативное	1	1
225	в классическом романе	2	1
226	отношению к самому	1	1
227	развития самоопределяющегося субъекта	1	1
228	когда ни прибавить	1	1
229	есть биография и	1	1
230	даже сказать что	1	1
231	определяемое отсутствием ценностной	1	1
232	еще не есть	1	1
233	биография возможна только	1	1
234	к чему не	1	1
235	между вещами и	1	1
236	мира романного образа	1	1
237	сводами чужой психики	1	1
238	деятельности персонажа то	1	1
239	не от своея	1	1
240	в себе ему	1	1
241	обнаруживается преодолеваемая даль	1	1
242	ночной жанр посрамляющий	1	1
