N	2gram	Tiupa_Hudo	KulturaY
1	и т	15	143
2	т е	6	102
3	т п	10	93
4	и в	34	84
5	в том	24	74
6	потому что	7	68
7	не только	22	60
8	точки зрения	7	59
9	в этом	22	57
10	было бы	8	53
11	и не	15	52
12	может быть	12	47
13	что в	8	44
14	том что	31	44
15	того чтобы	6	44
16	т д	5	42
17	в самом	7	41
18	для того	3	41
19	хотя бы	2	37
20	самом деле	6	37
21	так как	2	36
22	с точки	5	36
23	в области	1	34
24	а не	23	33
25	если бы	7	32
26	можно было	6	32
27	не в	16	30
28	в его	17	30
29	прежде всего	12	30
30	все же	5	29
31	не менее	9	28
32	того что	5	28
33	все эти	4	28
34	уже не	12	26
35	в силу	2	26
36	то что	13	25
37	вовсе не	2	25
38	не может	10	25
39	вопрос о	2	24
40	с другой	4	24
41	еще не	10	24
42	то же	14	23
43	только в	8	23
44	так и	19	23
45	тем не	7	21
46	по себе	3	20
47	во всяком	1	20
48	и что	3	20
49	но и	13	20
50	тем что	6	19
51	о том	21	19
52	что он	14	19
53	что же	4	19
54	всяком случае	1	19
55	но в	6	19
56	и с	10	18
57	с тем	1	18
58	к тому	11	18
59	в сущности	2	18
60	в качестве	13	18
61	связи с	4	18
62	между тем	14	18
63	вместе с	2	18
64	как бы	11	18
65	все это	2	18
66	можно говорить	1	17
67	другой стороны	1	17
68	как это	8	17
69	что это	2	17
70	слова и	1	17
71	как раз	7	17
72	это не	12	17
73	в виду	1	16
74	что и	3	16
75	что не	4	16
76	тот же	1	16
77	ничего не	11	16
78	но не	7	16
79	при этом	21	15
80	именно в	9	15
81	в данном	3	15
82	как на	2	15
83	в нашем	2	15
84	том чтобы	2	15
85	не было	8	15
86	и тем	2	15
87	один из	6	15
88	по отношению	15	15
89	ни к	2	15
90	только потому	2	15
91	того как	1	15
92	а в	11	15
93	лишь в	5	15
94	должно быть	2	15
95	в них	3	14
96	и на	6	14
97	сказать что	3	14
98	хотя и	3	14
99	в связи	3	14
100	я не	8	14
101	сих пор	3	14
102	в ней	6	14
103	до сих	3	14
104	как мы	5	14
105	мы имеем	1	14
106	также и	1	14
107	отношению к	15	14
108	что она	10	13
109	между прочим	1	13
110	в этой	11	13
111	там где	2	13
112	не случайно	14	13
113	не могут	1	13
114	в которых	1	13
115	той же	3	13
116	для нас	4	13
117	это и	2	13
118	по существу	1	13
119	в пределах	4	13
120	и его	8	13
121	с этой	3	12
122	говорить о	4	12
123	в результате	2	12
124	но также	1	12
125	ясно что	2	12
126	а только	4	12
127	могут быть	1	12
128	как в	11	12
129	речь в	2	12
130	однако не	1	12
131	в рамках	2	12
132	в своем	9	11
133	на себе	3	11
134	он не	8	11
135	в нем	5	11
136	и здесь	1	11
137	и то	2	11
138	еще и	2	11
139	совершенно не	1	11
140	из этих	3	11
141	этом отношении	4	11
142	уже в	2	11
143	слова в	2	11
144	в их	2	11
145	в какой	1	11
146	или иной	2	11
147	в особенности	1	10
148	в первом	2	10
149	в речи	2	10
150	как и	16	10
151	речь идет	3	10
152	так же	3	10
153	к этому	1	10
154	несмотря на	7	10
155	бы в	2	10
156	этом смысле	1	10
157	не просто	1	10
158	в общем	1	10
159	в то	12	10
160	со стороны	6	10
161	в письмах	1	10
162	с этим	3	10
163	они не	2	10
164	бы и	2	10
165	на фоне	5	10
166	тем более	1	10
167	того или	4	10
168	тех же	2	10
169	в нашей	1	10
170	тем самым	2	10
171	от того	1	10
172	в своей	15	9
173	можно сказать	9	9
174	что все	3	9
175	xix века	1	9
176	в которой	2	9
177	но для	1	9
178	рядом с	5	9
179	здесь не	2	9
180	слова как	2	9
181	или иного	4	9
182	ни в	5	9
183	не имеет	2	9
184	что мы	1	9
185	не потому	1	9
186	но это	2	9
187	и для	5	9
188	дает нам	1	9
189	и вот	1	9
190	а также	4	9
191	ли не	1	9
192	но уже	1	9
193	на то	4	9
194	в целом	2	9
195	своего рода	19	8
196	в этих	7	8
197	но все	2	8
198	в первую	2	8
199	пушкинской прозы	1	8
200	может служить	1	8
201	что они	4	8
202	по преимуществу	6	8
203	с одной	4	8
204	в таком	3	8
205	тому что	8	8
206	в чем	1	8
207	смысл и	1	8
208	в своих	4	8
209	отнюдь не	4	8
210	заключается в	1	8
211	да и	5	8
212	то и	5	8
213	слов и	1	8
214	что я	4	8
215	состоит в	8	8
216	с его	9	8
217	этом случае	1	8
218	независимо от	1	8
219	на самом	2	8
220	и как	1	8
221	об этом	8	8
222	в частности	10	8
223	далеко не	1	8
224	и о	8	8
225	же в	3	8
226	что на	4	8
227	же и	3	7
228	например в	3	7
229	а именно	1	7
230	казалось бы	12	7
231	в котором	5	7
232	в одном	3	7
233	свою очередь	1	7
234	была бы	3	7
235	на том	3	7
236	внимание на	3	7
237	так сказать	3	7
238	а с	5	7
239	столь же	6	7
240	одной стороны	4	7
241	с ним	6	7
242	никак не	3	7
243	сводится к	7	7
244	но вот	1	7
245	как о	3	7
246	с ними	3	7
247	в слове	1	7
248	и более	2	7
249	когда мы	2	7
250	идет о	3	7
251	в свою	1	7
252	как например	2	7
253	до конца	3	7
254	в самой	2	7
255	все равно	2	7
256	в г	3	7
257	лишь с	1	7
258	есть в	1	7
259	нисколько не	1	7
260	не все	2	7
261	и потому	3	7
262	том случае	2	7
263	она не	6	7
264	не знает	2	7
265	когда он	2	7
266	только как	1	7
267	что касается	1	7
268	как он	4	7
269	не следует	2	7
270	были бы	1	6
271	только что	4	6
272	даже в	4	6
273	в корне	1	6
274	в соответствии	1	6
275	только для	4	6
276	отличается от	1	6
277	на этой	1	6
278	не всегда	1	6
279	о них	4	6
280	что именно	1	6
281	именно с	1	6
282	по поводу	3	6
283	она есть	1	6
284	гораздо более	1	6
285	на язык	1	6
286	мы знаем	4	6
287	в ее	16	6
288	не столько	4	6
289	прежде чем	2	6
290	от этого	2	6
291	той или	1	6
292	на этом	5	6
293	то или	1	6
294	или иное	1	6
295	я в	2	6
296	главным образом	1	6
297	его к	1	6
298	первую очередь	2	6
299	романа в	3	6
300	не на	1	6
301	разумеется не	2	6
302	этой точки	1	6
303	перед нами	13	6
304	а если	1	6
305	роль в	2	6
306	на основе	2	6
307	когда в	4	6
308	что если	1	6
309	же время	11	6
310	в отличие	1	6
311	соответствии с	2	6
312	в сфере	2	6
313	свое время	2	6
314	в свое	1	6
315	в себе	19	6
316	что оно	1	6
317	данном случае	3	6
318	мы не	2	6
319	или в	3	6
320	этого не	1	6
321	как будто	7	6
322	отличие от	1	6
323	дело не	2	6
324	не с	2	6
325	говоря о	2	6
326	чтобы не	3	6
327	это только	1	6
328	приводит к	5	6
329	как к	4	6
330	на себя	3	6
331	нуждается в	2	6
332	же это	2	6
333	и к	6	5
334	говорить и	1	5
335	еще более	1	5
336	не как	3	5
337	нас в	2	5
338	и даже	4	5
339	более или	1	5
340	в духе	6	5
341	на которых	1	5
342	вопрос этот	1	5
343	и того	1	5
344	нельзя было	2	5
345	в другом	3	5
346	превращается в	6	5
347	ни одного	1	5
348	установка на	1	5
349	могло бы	1	5
350	точка зрения	1	5
351	никогда не	8	5
352	и он	6	5
353	к себе	8	5
354	время в	1	5
355	чем в	1	5
356	как же	1	5
357	в конце	5	5
358	я и	7	5
359	в двух	2	5
360	же касается	2	5
361	и у	3	5
362	у него	13	5
363	но как	3	5
364	всего лишь	7	5
365	в форме	2	5
366	бы уже	1	5
367	в иных	1	5
368	так что	3	5
369	всех этих	1	5
370	смысле слова	1	5
371	мы в	1	5
372	интерес к	5	5
373	в отношении	1	5
374	к его	1	5
375	о котором	2	5
376	если можно	3	5
377	то он	1	5
378	относится к	1	5
379	быть не	1	5
380	и тогда	2	5
381	на примере	2	5
382	только о	2	5
383	на вопрос	2	5
384	не будем	1	5
385	бы на	2	5
386	о нем	4	5
387	п все	1	5
388	и от	6	5
389	но с	3	5
390	так в	2	5
391	по своему	3	5
392	или менее	1	5
393	это так	3	5
394	только не	3	5
395	в конечном	5	5
396	мы должны	1	5
397	учения о	1	5
398	или иначе	3	5
399	что можно	2	5
400	отношение к	3	5
401	и только	2	5
402	еще раз	2	4
403	а вот	2	4
404	о чем	9	4
405	одно из	4	4
406	как об	1	4
407	зрения на	2	4
408	иначе как	1	4
409	конечном счете	4	4
410	а а	2	4
411	как только	3	4
412	связано с	1	4
413	ответить на	2	4
414	так называемых	1	4
415	к этой	4	4
416	и прочих	1	4
417	точно так	1	4
418	в различных	1	4
419	есть продукт	1	4
420	именно так	2	4
421	к которому	1	4
422	что даже	2	4
423	не мог	1	4
424	и становится	1	4
425	из них	5	4
426	к нему	2	4
427	всего в	1	4
428	иначе говоря	2	4
429	но еще	3	4
430	иных случаях	1	4
431	как можно	1	4
432	его в	5	4
433	отношения между	2	4
434	но он	3	4
435	не о	3	4
436	будто бы	6	4
437	что за	1	4
438	характер и	3	4
439	но ведь	2	4
440	между ними	2	4
441	же как	4	4
442	в ряду	3	4
443	о которых	2	4
444	себе и	3	4
445	и это	7	4
446	в смысле	1	4
447	в каждом	1	4
448	отнестись к	1	4
449	в лучшем	1	4
450	эти слова	3	4
451	сюда же	1	4
452	не дает	1	4
453	лишь что	1	4
454	если же	1	4
455	собственно и	2	4
456	это действительно	1	4
457	как известно	1	4
458	могла бы	2	4
459	тот или	1	4
460	что для	1	4
461	и все	10	4
462	пушкина и	1	4
463	же мы	1	4
464	и по	3	4
465	однако и	5	4
466	на деле	1	4
467	во втором	2	4
468	уже на	1	4
469	как таковой	1	4
