N	4gram	Tiupa_Narr	FransuaR
1	в то же время	7	55
2	в том числе и	1	17
3	до сих пор еще	1	15
4	дело в том что	2	13
5	и в то же	2	12
6	в той или иной	1	10
7	с одной стороны и	1	5
8	между жизнью и смертью	1	5
9	в связи с этим	1	4
10	один и тот же	1	4
11	и не может быть	2	4
12	одного и того же	2	3
13	играют существенную роль в	1	3
14	мы еще вернемся к	1	3
15	той или иной степени	1	3
16	одна и та же	1	2
17	может быть и не	1	2
18	бы то ни было	1	2
19	то же время они	1	2
20	с большей или меньшей	1	2
21	имеет дело не с	1	2
22	одним и тем же	1	2
23	какой бы то ни	1	2
24	в том или ином	1	2
25	как она есть на	1	1
26	хотя они и не	1	1
27	что с точки зрения	1	1
28	в нем не только	1	1
29	не принимает участия в	1	1
30	большей или в меньшей	1	1
31	или в меньшей степени	1	1
32	в первом случае мы	1	1
33	в то время как	1	1
34	на самом деле в	1	1
35	к жизни и смерти	1	1
36	как если бы она	1	1
37	и в самом деле	1	1
38	в следующей главе в	1	1
39	она есть на самом	1	1
40	одно и то же	2	1
41	же как и в	1	1
42	людей так и его	1	1
43	сих пор еще можно	1	1
44	если бы она была	1	1
45	состоит в том что	5	1
46	то что не имеет	1	1
47	к себе самому и	1	1
48	в том случае если	1	1
49	своего рода ключом к	1	1
50	в связи с этой	1	1
51	прежде всего тем что	1	1
52	вот и все что	1	1
53	и то же слово	1	1
54	ни в чем не	1	1
55	и видит в нем	1	1
56	и в конечном счете	1	1
57	в большей или в	1	1
58	что одно и то	2	1
59	к тому же в	2	1
