N	2gram	Tiupa_Disk	Myslijsy
1	потому что	7	182
2	то есть	29	142
3	и в	27	121
4	может быть	29	107
5	в том	29	103
6	то что	10	83
7	в слове	1	78
8	что в	8	73
9	и не	25	73
10	только в	9	72
11	не только	36	67
12	а не	35	67
13	таким образом	4	64
14	в языке	2	60
15	в этом	29	59
16	но и	22	59
17	том что	27	59
18	то же	12	56
19	не в	8	54
20	если бы	1	53
21	в себе	22	53
22	по себе	3	52
23	не может	17	52
24	того что	4	47
25	было бы	1	45
26	в нем	16	45
27	не есть	3	42
28	как и	27	42
29	так что	1	39
30	вместе с	3	39
31	что и	5	38
32	мы не	2	38
33	при этом	22	37
34	как в	16	37
35	так и	14	37
36	тем что	4	33
37	и что	2	32
38	по отношению	13	30
39	а в	5	30
40	что не	4	29
41	между тем	5	29
42	но не	17	29
43	вовсе не	1	28
44	мы можем	1	28
45	для него	9	28
46	с этим	3	27
47	могут быть	5	27
48	не было	9	26
49	независимо от	1	26
50	то и	1	26
51	отношению к	13	26
52	языка и	3	25
53	этого слова	1	25
54	в то	8	24
55	с тем	1	23
56	как бы	9	23
57	от того	1	23
58	а потому	1	22
59	по мере	2	22
60	с другой	14	22
61	не имеет	1	22
62	но в	15	22
63	и потому	3	21
64	не менее	6	21
65	мысль о	3	20
66	в одном	5	20
67	это не	5	20
68	в ней	2	20
69	мысли и	2	19
70	и как	9	19
71	но это	3	19
72	сказать что	4	19
73	того же	5	19
74	тем не	1	19
75	что это	1	19
76	и то	4	19
77	из этих	3	19
78	о том	12	19
79	заключает в	1	19
80	тем самым	6	19
81	должно быть	2	19
82	в самом	4	18
83	в таком	1	18
84	там же	3	18
85	не могут	2	18
86	очевидно что	1	18
87	бы не	1	18
88	в каком	1	18
89	тогда как	28	18
90	еще не	20	18
91	точки зрения	6	17
92	крайней мере	3	17
93	со стороны	17	17
94	по крайней	3	17
95	слова и	2	17
96	заметить что	2	17
97	уже в	2	17
98	в его	9	17
99	во всяком	3	17
100	слова в	2	17
101	и на	8	16
102	к тому	6	16
103	в своем	11	16
104	в которой	2	16
105	а только	1	16
106	в них	6	16
