N	3gram	Vinokur_St	Otkroven
1	для того чтобы	13	3
2	а не в	1	2
3	никогда не было	1	2
4	не может быть	5	2
5	что же это	1	2
6	же это за	1	2
7	но и в	2	2
8	и никогда не	1	2
9	и в этом	4	2
10	что у него	1	2
11	нужно искать не	2	2
12	характере и в	1	1
13	вовсе не так	1	1
14	сам по себе	1	1
15	он должен был	2	1
16	о том что	19	1
17	я имею в	1	1
18	в том что	29	1
19	не в том	3	1
20	и характер его	1	1
21	а иногда и	2	1
22	в том случае	1	1
23	в том-то и	2	1
24	он попал в	1	1
25	он никогда не	1	1
26	и то что	2	1
27	в иных случаях	2	1
28	считать установленным что	1	1
29	не могут и	1	1
30	в этих словах	2	1
31	в силе и	1	1
32	потому что ведь	1	1
33	отличается от всех	1	1
34	как и в	2	1
35	к одной женщине	1	1
36	и дело что	1	1
37	то что в	3	1
38	в самом деле	7	1
39	и не в	1	1
40	а вовсе не	1	1
41	как будто бы	1	1
42	хотя бы даже	1	1
43	смысле этого слова	1	1
44	во всяком случае	8	1
45	имею в виду	1	1
46	в каждом из	1	1
47	не потому ли	2	1
48	и в самом	3	1
49	в другом месте	1	1
50	вокруг которого сосредоточивается	1	1
51	вместо того чтобы	1	1
52	о том как	1	1
53	это бы еще	1	1
54	в этом отношении	13	1
55	и все это	1	1
56	по сравнению с	1	1
57	в которую он	1	1
58	но он и	1	1
59	на то что	5	1
60	или лучше сказать	2	1
61	должен был бы	1	1
62	том что в	4	1
63	он не только	2	1
64	и в том	3	1
65	влагает в уста	1	1
66	том-то и дело	2	1
67	даже и в	1	1
68	после того как	5	1
69	было не по	1	1
70	в россии в	1	1
71	и не может	1	1
