N	4gram	Bakhtin_Pr	Myshleni
1	состоит в том что	1	17
2	одной и той же	1	15
3	один и тот же	1	12
4	одно и то же	1	12
5	в том числе и	13	10
6	как мы уже говорили	2	9
7	в собственном смысле слова	1	9
8	все более и более	1	8
9	к одному и тому	2	7
10	одному и тому же	2	7
11	по самой своей природе	1	6
12	не что иное как	1	6
13	одним и тем же	1	6
14	в этом и заключается	1	5
15	прежде чем перейти к	1	5
16	что с точки зрения	1	4
17	смысле можно сказать что	1	4
18	одну и ту же	1	4
19	есть не что иное	1	4
20	мы уже говорили что	1	3
21	мы имеем в виду	3	3
22	о которой мы говорили	1	3
23	дело в том что	2	3
24	не чем иным как	1	3
25	или во всяком случае	1	3
26	но тем не менее	1	2
27	мы можем говорить о	1	2
28	с нашей точки зрения	1	2
29	так как если бы	1	2
30	в то же время	8	2
31	которую можно было бы	1	2
32	нет и не может	3	2
33	на самом же деле	2	2
34	в собственном смысле и	2	2
35	и тем более от	1	2
36	к одной и той	1	2
37	и в известной мере	1	2
38	рядом друг с другом	1	2
39	в той или иной	1	2
40	и с точки зрения	1	2
41	и не может быть	5	2
42	с самого начала в	1	2
43	мы остановимся только на	1	2
44	в основе их лежит	1	2
45	с точки зрения того	1	2
46	мы имеем дело с	1	2
47	во всей своей полноте	1	2
48	никогда не может быть	1	1
49	отношению к ним как	1	1
50	и то же конкретное	1	1
51	в этом смысле можно	1	1
52	не с точки зрения	1	1
53	до сих пор почти	2	1
54	и до наших дней	2	1
55	с точки зрения логики	1	1
56	только они могут быть	1	1
57	то что он не	1	1
58	до сих пор в	1	1
59	идея о том что	1	1
60	самом же деле это	1	1
61	тому что совершается в	1	1
62	является одним из самых	1	1
63	этом мы можем закончить	1	1
64	друг с другом как	1	1
65	как и во всех	1	1
66	этом смысле можно сказать	1	1
67	на этом мы можем	1	1
68	в целом и в	1	1
69	и в конце концов	1	1
70	а вместе с ним	1	1
71	по отношению ко всем	1	1
72	которой мы говорили в	1	1
73	это один и тот	1	1
74	мы старались показать что	1	1
75	по своей внешней форме	1	1
76	точки зрения своей собственной	1	1
77	в результате всего этого	1	1
78	и в то же	3	1
79	в дальнейшем мы будем	1	1
80	звенья этой цепи в	1	1
81	так как это не	1	1
82	мы можем сказать что	1	1
83	мы пытались раскрыть в	1	1
84	сих пор почти не	1	1
85	с точки зрения своей	1	1
86	по отношению к ним	1	1
87	с точки зрения истории	1	1
88	их отношение к другим	1	1
89	до своего предела в	1	1
90	как бы он ни	1	1
91	в этом смысле и	1	1
92	такие разнородные явления как	1	1
93	почти до самого конца	1	1
94	пространство и время и	2	1
95	по мере того как	1	1
96	в том что на	1	1
97	в строгом смысле слова	1	1
98	какое огромное значение имеет	1	1
99	если только они могут	1	1
100	друг от друга в	1	1
101	которые сами по себе	1	1
102	на то что он	1	1
103	если мы теперь от	1	1
104	их друг от друга	1	1
105	в начале своего развития	1	1
