N	3gram	Losev_Vesc	Marksizm
1	с точки зрения	6	46
2	не может быть	22	25
3	в самом деле	7	19
4	то же время	4	15
5	в то же	5	15
6	в том что	9	14
7	в связи с	1	14
8	и не может	1	12
9	то ни было	12	12
10	бы то ни	12	12
11	для того чтобы	2	11
12	до сих пор	1	11
13	одного и того	1	9
14	и того же	1	9
15	но в то	1	9
16	в отношении к	2	8
17	то же самое	1	8
18	может быть и	1	8
19	смысле этого слова	1	7
20	с другой стороны	3	7
21	в свою очередь	5	7
22	как мы знаем	1	7
23	и пр и	1	6
24	на то что	7	6
25	во всяком случае	2	6
26	с одной стороны	3	6
27	и как бы	1	5
28	к тому что	2	5
29	самом же деле	1	5
30	на самом же	1	5
31	в этом случае	1	5
32	в этом отношении	2	5
33	внутреннего и внешнего	2	4
34	в первом случае	2	4
35	в зависимости от	1	4
36	в нем нет	2	4
37	быть и речи	1	4
38	и прежде всего	1	4
39	но все же	2	4
40	о том что	4	4
41	можно сказать что	3	4
42	каких бы то	1	4
43	и здесь мы	1	4
44	том что он	2	4
45	в той или	2	3
46	и тот же	1	3
47	не только в	5	3
48	в применении к	2	3
49	тем не менее	11	3
50	первым и вторым	1	3
51	одной стороны и	1	3
52	хотя бы и	2	3
53	и пр но	1	3
54	более или менее	4	3
55	и то же	5	3
56	друг с другом	2	3
57	в конце концов	2	3
58	или хотя бы	1	3
59	а не в	2	3
60	и в этом	2	3
61	но и в	1	3
62	в данный момент	1	3
63	один и тот	1	3
64	в ту или	1	3
65	на первый план	1	3
66	какой бы то	1	3
67	и не в	3	3
68	и что это	1	3
69	не было бы	1	3
70	– одна из	1	3
71	одно и то	5	3
72	ни в какой	1	3
73	можно было бы	3	3
74	что он не	1	2
75	– и это	1	2
76	а не к	2	2
77	таким образом между	1	2
78	слова и не	1	2
79	в этом смысле	2	2
80	и в результате	1	2
81	самом деле в	1	2
82	мы говорили о	1	2
83	в собственном смысле	3	2
84	она могла бы	2	2
85	в коем случае	1	2
86	и у нас	1	2
87	как раз эта	1	2
88	так или иначе	5	2
89	мы видели что	3	2
90	внутренней и внешней	1	2
91	– в смысле	3	2
92	само по себе	4	2
93	в данном случае	2	2
94	в том или	2	2
95	сама по себе	7	2
96	с ними в	1	2
97	а не только	2	2
98	не то что	1	2
99	сами по себе	3	2
100	нужно прибавить еще	1	2
101	от того что	4	2
102	какого бы то	2	2
103	и в особенности	1	2
104	по крайней мере	10	2
105	ту или иную	3	2
106	если мы возьмем	3	2
107	а следовательно и	2	2
108	– не может	1	2
109	в этом и	2	2
110	в чем же	5	2
111	на почве этого	1	2
112	независимо от того	1	2
113	ни в коем	1	2
114	так же как	2	2
115	есть прежде всего	4	2
116	хотя бы в	2	2
117	с тем что	1	2
118	не есть вещь	4	2
119	и в самом	1	2
120	если мы скажем	1	2
121	вопрос о том	2	2
122	является одним из	1	2
123	это и есть	4	2
124	тот или иной	1	2
125	но и здесь	1	2
126	тонкое и глубокое	1	1
127	ясно также что	1	1
128	что у нас	1	1
129	она так или	1	1
130	как она есть	3	1
131	быть не может	1	1
132	как и во	1	1
133	бы и не	1	1
134	все то что	2	1
135	точки зрения и	1	1
136	это не значит	1	1
137	взятая сама по	1	1
138	в другом –	1	1
139	все это –	2	1
140	том что это	1	1
141	ни в каком	6	1
