N	2gram	Ircho_Kome	Myslijsy
1	потому что	8	182
2	то есть	1	142
3	и в	40	121
4	может быть	16	107
5	в том	19	103
6	то что	8	83
7	что в	12	73
8	и не	19	73
9	только в	6	72
10	не только	12	67
11	а не	1	67
12	таким образом	13	64
13	в этом	9	59
14	но и	14	59
15	том что	19	59
16	так как	6	59
17	то же	7	56
18	не в	8	54
19	если бы	4	53
20	в себе	3	53
21	по себе	2	52
22	не может	3	52
23	того что	1	47
24	в сознании	4	46
25	в душе	1	45
26	было бы	8	45
27	в нем	8	45
28	как и	12	42
29	так что	6	39
30	вместе с	8	39
31	что и	10	38
32	мы не	4	38
33	при этом	5	37
34	как в	8	37
35	так и	17	37
36	точно так	1	35
37	тем что	5	33
38	и что	2	32
39	по отношению	5	30
40	а в	9	30
41	что не	1	29
42	между тем	9	29
43	но не	3	29
44	вовсе не	3	28
45	мы можем	6	28
46	для него	1	28
47	с этим	5	27
48	могут быть	3	27
49	не было	1	26
50	независимо от	5	26
51	и т	11	26
52	то и	3	26
53	отношению к	5	26
54	этого слова	1	25
55	в то	14	24
56	с тем	5	23
57	как бы	3	23
58	того как	3	23
59	от того	3	23
60	то это	3	22
61	с другой	7	22
62	не имеет	1	22
63	но в	6	22
64	и потому	1	21
65	не менее	6	21
66	в одном	10	20
67	это не	2	20
68	в ней	2	20
69	и как	3	19
70	но это	2	19
71	сказать что	1	19
72	с ним	1	19
73	того же	4	19
74	тем не	3	19
75	что это	5	19
76	из этих	5	19
77	о том	12	19
78	тем самым	1	19
79	в самом	5	18
80	в таком	1	18
81	там же	4	18
82	для того	3	18
83	по поводу	7	18
84	не могут	1	18
85	очевидно что	1	18
86	бы не	1	18
87	в каком	1	18
88	еще не	7	18
89	точки зрения	7	17
90	со стороны	3	17
91	слова и	1	17
92	заметить что	1	17
93	уже в	9	17
94	в его	8	17
95	во всяком	4	17
96	только что	2	16
97	и на	9	16
98	к тому	15	16
99	так же	4	16
100	в своем	6	16
101	в которой	9	16
102	а только	1	16
103	в них	7	16
104	каждый раз	1	16
105	на то	3	16
106	в этих	5	15
107	только как	1	15
108	с одной	5	15
109	и тем	2	15
110	и по	6	15
111	что он	11	15
112	стало быть	1	15
113	в свою	2	15
114	т д	4	15
115	прежде всего	8	15
116	тому как	1	15
117	все же	7	14
118	в одно	1	14
119	в котором	6	14
120	в действительности	4	14
121	то в	1	14
122	связи с	3	14
123	во всех	4	14
124	столь же	9	14
125	бы ни	1	14
126	там где	1	14
127	сам по	1	14
128	в истории	10	14
129	же время	5	14
130	и без	3	14
131	само по	1	14
132	те же	1	13
133	например в	1	13
134	а между	1	13
135	как на	2	13
136	из них	16	13
137	что все	1	13
138	т п	7	13
139	и все	4	13
140	не следует	2	13
141	смысле этого	1	13
142	образом в	2	13
143	значение слова	1	13
144	и его	17	13
145	от него	1	12
146	одно из	1	12
147	другой стороны	6	12
148	до сих	3	12
149	более или	1	12
150	и при	1	12
151	хотя и	6	12
152	в чем	3	12
153	сих пор	3	12
154	в каждом	2	12
155	все остальные	3	12
156	всяком случае	4	12
157	что же	2	12
158	относится к	2	12
159	друг друга	2	12
160	только потому	2	12
161	все это	7	12
162	или менее	2	12
163	тем более	1	12
164	как мы	5	12
165	что на	4	12
166	все что	3	11
167	и если	2	11
168	в первом	2	11
169	имеет для	1	11
170	только для	1	11
171	из себя	1	11
172	только на	2	11
173	и это	3	11
174	к нему	5	11
175	в состоянии	3	11
176	его в	6	11
177	и притом	2	11
178	подобно тому	1	11
179	в силу	4	11
180	мы видели	2	11
181	того чтобы	4	11
182	быть не	1	11
183	к ней	2	11
184	той же	3	11
185	с нею	1	11
186	со словом	1	11
187	что для	1	11
188	что например	1	11
189	если не	1	11
190	к одному	1	11
191	и только	1	11
192	и их	3	11
193	же что	1	11
194	указывает на	2	11
195	же в	7	11
196	и с	8	10
197	хотя бы	2	10
198	одной стороны	5	10
199	находится в	2	10
200	представить себе	3	10
201	а и	1	10
202	это слово	4	10
203	и следовательно	2	10
204	в других	3	10
205	бы в	3	10
206	что только	1	10
207	и от	2	10
208	бы быть	1	10
209	он не	5	10
210	то время	8	10
211	тех пор	2	10
212	если мы	1	10
213	тем же	2	10
214	и для	4	10
215	слово в	1	10
216	и другое	1	10
217	так в	6	10
218	между прочим	2	10
219	тому что	4	10
220	ко всем	1	9
221	и даже	5	9
222	а вместе	1	9
223	вопрос о	5	9
224	об отношении	2	9
225	до того	1	9
226	на него	4	9
227	что она	3	9
228	подобным образом	1	9
229	во время	11	9
230	один из	9	9
231	известно что	4	9
232	никто не	3	9
233	это было	5	9
234	не все	2	9
235	и других	7	9
236	до тех	1	9
237	далеко не	1	9
238	в целом	6	9
239	и о	3	9
240	таким же	1	9
241	во всем	1	8
242	говорить о	3	8
243	но все	4	8
244	вслед за	4	8
245	слова с	1	8
246	именно в	5	8
247	что по	3	8
248	их в	1	8
249	в более	4	8
250	так например	1	8
251	что даже	1	8
252	что они	4	8
253	слово как	1	8
254	от них	3	8
255	судя по	6	8
256	не так	1	8
257	с и	5	8
258	с ними	2	8
259	в которых	1	8
260	внимание на	1	8
261	и тогда	1	8
262	нельзя сказать	1	8
263	в самой	2	8
264	тот же	5	8
265	на вопрос	1	8
266	говоря о	1	8
267	на самом	1	8
268	все равно	1	8
269	или в	5	8
270	и более	2	8
271	такое же	1	8
272	помнить что	1	8
273	на все	3	8
274	по его	2	8
275	с этой	3	7
276	в разных	1	7
277	тем как	2	7
278	на основании	7	7
279	связь с	2	7
280	все эти	1	7
281	слово может	1	7
282	в жизни	1	7
283	в собственном	1	7
284	в данном	1	7
285	было в	1	7
286	даже и	1	7
287	этого последнего	1	7
288	не всегда	2	7
289	превращается в	1	7
290	самого начала	2	7
291	видно что	1	7
292	указания на	2	7
293	что именно	3	7
294	к этому	8	7
295	что у	6	7
296	то оно	1	7
297	несмотря на	5	7
298	судить о	1	7
299	одном из	4	7
300	в эту	2	7
301	на себе	1	7
302	в своих	2	7
303	и та	1	7
304	и тот	1	7
305	за пределы	2	7
306	этом смысле	2	7
307	могла бы	2	7
308	значение и	1	7
309	них не	1	7
310	а как	1	7
311	самое слово	1	7
312	за ним	2	7
313	к одной	1	7
314	его с	2	7
315	для себя	2	7
316	в другой	1	7
317	не более	2	7
318	в памяти	1	7
319	о котором	1	7
320	этот образ	1	7
321	бы и	1	7
322	развития и	1	7
323	и теперь	3	7
324	только один	2	7
325	и во	4	7
326	том же	1	7
327	из него	1	7
328	дает нам	1	7
329	которое мы	1	7
330	не имеют	1	7
331	его к	1	7
332	с самого	3	7
333	в искусстве	1	7
334	не с	1	7
335	на это	3	7
336	не знаем	1	7
337	место в	7	7
338	и к	2	6
339	несомненно что	1	6
340	для всех	5	6
341	нас в	3	6
342	в виду	2	6
343	вопрос об	1	6
344	каким образом	1	6
345	если и	1	6
346	в своей	3	6
347	одно время	1	6
348	между двумя	1	6
349	себе в	1	6
350	к которому	4	6
351	связанное с	1	6
352	после того	3	6
353	ни было	4	6
354	в ее	2	6
355	у него	6	6
356	но он	2	6
357	что его	1	6
358	в мире	3	6
359	могло бы	1	6
360	мы уже	1	6
361	хотя в	1	6
362	же самое	2	6
363	главным образом	4	6
364	друг другу	2	6
365	таких же	1	6
366	состоит не	1	6
367	в последнем	1	6
368	двух слов	1	6
369	в сущности	3	6
370	от их	1	6
371	из сказанного	1	6
372	которые могут	1	6
373	да и	5	6
374	друг от	2	6
375	и уже	2	6
376	приводит в	1	6
377	в этой	9	6
378	указывают на	1	6
379	мог бы	3	6
380	в образе	4	6
381	но если	4	6
382	представления и	1	6
383	в основании	1	6
384	то он	1	6
385	у нас	3	6
386	в их	6	6
387	в виде	3	6
388	что ни	1	6
389	от друга	2	6
390	и слова	1	6
391	в стороне	1	6
392	при таком	1	6
393	на его	5	6
394	в каждой	1	6
395	об этом	2	6
396	предположить что	1	6
397	все более	4	6
398	его не	1	6
399	как он	2	6
400	в один	2	6
401	мы бы	1	6
402	жизни и	4	6
403	в создании	1	6
404	в той	2	5
405	были бы	1	5
406	даже в	3	5
407	или нет	1	5
408	на нас	1	5
409	не столько	1	5
410	всех остальных	2	5
411	по времени	1	5
412	или от	1	5
413	по мнению	2	5
414	времени и	2	5
415	и другим	1	5
416	когда в	3	5
417	в переносном	1	5
418	природы в	1	5
419	состоит в	1	5
420	только под	1	5
421	значительной степени	1	5
422	конечно не	1	5
423	в нашем	2	5
424	что само	1	5
425	уже по	1	5
426	или лучше	1	5
427	лишь тогда	1	5
428	время и	3	5
429	на том	1	5
430	из того	2	5
431	только при	3	5
432	а с	1	5
433	одним из	3	5
434	одна из	4	5
435	о которых	6	5
436	и у	3	5
437	лица и	1	5
438	рядом с	1	5
439	представления в	1	5
440	время когда	2	5
441	можно было	5	5
442	к первому	1	5
443	если это	2	5
444	однако в	4	5
445	мысль в	1	5
446	за другим	1	5
447	можно только	1	5
448	если в	3	5
449	представлений в	1	5
450	время как	6	5
451	то на	1	5
452	для создания	1	5
453	перед нами	1	5
454	вытекает из	1	5
455	в течение	5	5
456	эта мысль	1	5
457	отношении к	1	5
458	ее не	1	5
459	на этот	5	5
460	и здесь	6	5
461	ответ на	2	5
462	они не	1	5
463	мы имеем	1	5
464	без слов	1	5
465	то к	1	5
466	за тем	2	5
467	в какой	2	5
468	от своего	1	5
469	но уже	1	5
470	и таким	2	5
471	в области	3	5
472	что эти	1	5
473	не говоря	4	5
474	том случае	1	5
475	человека в	2	5
476	мертвых душ	1	5
477	а к	2	5
478	бы только	1	5
479	но при	1	5
480	этого не	1	5
481	в начале	7	5
482	с понятием	1	5
483	не по	5	5
484	отношение к	3	5
485	не к	2	5
486	человек может	1	4
487	или по	3	4
488	еще более	2	4
489	в применении	1	4
490	не имели	1	4
491	нам не	1	4
492	имеет в	2	4
493	в другом	5	4
494	не вполне	2	4
495	не что	1	4
496	так называемых	3	4
497	что различные	1	4
498	что иное	1	4
499	не мог	4	4
500	общих чертах	1	4
501	бы то	4	4
502	все его	1	4
503	не противоречит	1	4
504	с известным	1	4
505	проявляется в	1	4
506	говорит он	1	4
507	не знает	1	4
508	не говорит	1	4
509	это сравнение	1	4
510	в связи	3	4
511	внешней формы	1	4
512	следовательно и	1	4
513	от этого	2	4
514	с его	4	4
515	на этом	3	4
516	в наше	1	4
517	эти слова	1	4
518	не дает	1	4
519	ту же	2	4
520	то ни	4	4
521	не один	2	4
522	явления в	1	4
523	чем больше	1	4
524	не могла	2	4
525	иметь в	1	4
526	и затем	1	4
527	он в	1	4
528	не зная	1	4
529	его как	1	4
530	в общих	1	4
531	если оно	1	4
532	ничего не	4	4
533	из этого	2	4
534	чтобы не	1	4
535	ведет к	1	4
536	та же	1	4
537	нашего времени	1	4
538	ни в	9	4
539	и вполне	1	4
540	не на	1	4
541	но без	1	4
542	так или	4	4
543	этой точки	1	4
544	отношения к	1	4
545	к которым	1	4
546	и они	1	4
547	более чем	4	4
548	в понятие	1	4
549	между людьми	2	4
550	произведения и	1	4
551	то она	1	4
552	он может	1	4
553	что во	1	4
554	в деятельности	1	4
555	известных нам	1	4
556	ему в	2	4
557	данном случае	1	4
558	одна и	1	4
559	не без	1	4
560	на что	1	4
561	и хотя	4	4
562	этом отношении	3	4
563	в науке	1	4
564	со своим	6	4
565	от своих	1	4
566	отказаться от	2	4
567	что к	2	4
568	из двух	2	4
569	к своему	1	4
570	по своему	5	4
571	мы находим	2	4
572	искать в	3	4
573	а его	1	4
574	что касается	5	4
575	без нее	1	4
576	одного из	7	4
577	в голову	1	4
578	такой же	2	4
579	в разговоре	1	4
580	иное как	1	4
581	с которыми	1	3
582	мы и	1	3
583	говоря уже	4	3
584	к этой	1	3
585	до него	1	3
586	дело с	3	3
587	в результате	5	3
588	ясно что	9	3
589	в различных	1	3
590	одной из	6	3
591	ни малейшего	2	3
592	на такой	1	3
593	из всего	2	3
594	на первый	1	3
595	самого поэта	1	3
596	также что	2	3
597	я вижу	1	3
598	ответить на	1	3
599	следовало бы	1	3
600	себе все	1	3
601	применении к	1	3
602	служит для	1	3
603	уже о	4	3
604	нечто такое	1	3
605	и когда	1	3
606	они с	2	3
607	что речь	1	3
608	вместе со	1	3
609	было сказано	1	3
610	по которым	6	3
611	именно так	1	3
612	быть в	1	3
613	а мы	2	3
614	к этим	3	3
615	к ее	2	3
616	не представляется	1	3
617	от ее	1	3
618	которые в	3	3
619	а потом	1	3
620	между его	1	3
621	от его	1	3
622	первом случае	1	3
623	что уже	1	3
624	мы знаем	5	3
625	то для	1	3
626	него самого	1	3
627	и сама	1	3
628	человека хотя	1	3
629	не была	1	3
630	ее от	1	3
631	для развития	1	3
632	большинстве случаев	2	3
633	о которой	1	3
634	в двух	6	3
635	в себя	3	3
636	же касается	1	3
637	чтобы понять	1	3
638	как теперь	2	3
639	при чтении	1	3
640	что нет	1	3
641	мысль и	1	3
642	со многими	1	3
643	и необходимость	1	3
644	совсем не	2	3
645	как человек	1	3
646	к новым	1	3
647	здесь мы	3	3
648	было только	2	3
649	как это	7	3
650	что эта	1	3
651	в форме	2	3
652	даже не	4	3
653	на стороне	1	3
654	но всегда	1	3
655	или вовсе	3	3
656	и др	1	3
657	всех сторон	1	3
658	теми же	1	3
659	в общем	2	3
660	поэтического творчества	1	3
661	сказать о	2	3
662	и ее	5	3
663	наше время	2	3
664	доказывает что	2	3
665	на чем	2	3
666	не нашел	1	3
667	которых мы	2	3
668	ср с	1	3
669	видно из	4	3
670	и из	2	3
671	утверждает что	1	3
672	для них	2	3
673	в отношении	6	3
674	идет от	1	3
675	такого же	1	3
676	к самому	1	3
677	должен был	1	3
678	в мыслях	1	3
679	из тех	1	3
680	связанные с	2	3
681	в известном	2	3
682	вспомнить что	1	3
683	бы с	1	3
684	в первое	1	3
685	со всех	1	3
686	что сила	1	3
687	и поэтому	2	3
688	это только	1	3
689	а может	1	3
690	окажется что	1	3
691	время в	1	3
692	свойств и	1	3
693	именно на	2	3
694	с так	1	3
695	идеи в	1	3
696	прибавляет к	1	3
697	уже при	1	3
698	после этого	3	3
699	ни с	1	3
700	ее в	2	3
701	б и	4	3
702	видеть в	2	3
703	к первой	1	3
704	наоборот в	1	3
705	из своих	1	3
706	а второй	1	3
707	с которым	1	3
708	однако не	2	3
709	или другими	1	3
710	или иначе	4	3
711	не составляют	1	3
712	а то	3	3
713	этой цели	3	3
714	и я	2	3
715	разницы между	1	3
716	должен быть	1	3
717	в одной	1	3
718	отличие от	4	3
719	это в	1	3
720	случае если	1	3
721	в самых	1	3
722	который мы	1	3
723	пор не	1	3
724	в развитии	2	3
725	несколько раз	2	3
726	в большинстве	2	3
727	нам по	1	3
728	по всей	1	3
729	как для	1	3
730	речь и	1	3
731	различие в	1	3
732	людьми и	1	3
733	и прежде	1	3
734	как будто	3	3
735	и относительно	1	3
736	место из	1	3
737	для этого	2	3
738	без помощи	1	3
739	является в	1	2
740	можем судить	2	2
741	еще раз	1	2
742	можно говорить	1	2
743	познания и	1	2
744	значение для	1	2
745	до самого	3	2
746	к более	1	2
747	следует что	1	2
748	и служат	1	2
749	может служить	2	2
750	известное место	1	2
751	по общему	1	2
752	сомнение в	1	2
753	время не	1	2
754	на известное	1	2
755	его от	1	2
756	то ли	2	2
757	становится возможным	1	2
758	иначе чем	1	2
759	этим объясняется	3	2
760	а напротив	1	2
761	разной мере	1	2
762	с морем	1	2
763	ни одна	2	2
764	и сам	5	2
765	по одному	2	2
766	без следа	1	2
767	же образом	1	2
768	или на	2	2
769	уже на	1	2
770	голода и	1	2
771	мы получаем	1	2
772	стороны в	1	2
773	приходит в	1	2
774	роль в	2	2
775	внимание что	1	2
776	один ряд	1	2
777	отличается от	1	2
778	в это	3	2
779	для их	3	2
780	когда бы	2	2
781	жизни к	1	2
782	необходимые для	1	2
783	и нет	1	2
784	это опять	1	2
785	ничего но	1	2
786	сплошь да	2	2
787	не могли	2	2
788	сначала это	1	2
789	человека не	1	2
790	она могла	1	2
791	в противоположность	2	2
792	по возможности	1	2
793	и другой	1	2
794	времени в	2	2
795	слов но	2	2
796	и трудно	1	2
797	людей и	1	2
798	в глаза	1	2
799	делятся на	1	2
800	друг на	1	2
801	и формы	2	2
802	и еще	5	2
803	по которой	1	2
804	что последние	1	2
805	затем в	2	2
806	следующим образом	1	2
807	во времена	2	2
808	есть по	1	2
809	это что	1	2
810	на те	2	2
811	на две	3	2
812	по объему	1	2
813	который в	2	2
814	воспоминания о	1	2
815	так у	1	2
816	но конечно	1	2
817	себя в	2	2
818	едва ли	16	2
