N	2gram	Berdyaev_N	KulturaY
1	и в	16	84
2	в том	8	74
3	потому что	4	68
4	не только	5	60
5	в этом	7	57
6	было бы	1	53
7	и не	11	52
8	может быть	7	47
9	что в	9	44
10	том что	2	44
11	того чтобы	2	44
12	в самом	1	41
13	для того	1	41
14	у нас	1	38
15	хотя бы	2	37
16	так как	1	36
17	в области	1	34
18	а не	17	33
19	можно было	2	32
20	не в	6	30
21	и пр	3	30
22	в его	1	30
23	прежде всего	4	30
24	не менее	4	28
25	все эти	2	28
26	уже не	2	26
27	в силу	1	26
28	то что	4	25
29	не может	16	25
30	вопрос о	3	24
31	с другой	3	24
32	еще не	3	24
33	только в	1	23
34	так и	2	23
35	по себе	1	20
36	во всяком	1	20
37	и что	2	20
38	но и	3	20
39	тем что	1	19
40	о том	4	19
41	что он	1	19
42	зависимости от	1	19
43	всяком случае	1	19
44	но в	2	19
45	и с	2	18
46	с тем	3	18
47	к тому	3	18
48	в сущности	1	18
49	вместе с	2	18
50	все это	5	18
51	в той	1	17
52	другой стороны	2	17
53	как это	2	17
54	это не	4	17
55	в виду	1	16
56	в зависимости	1	16
57	что не	1	16
58	в русском	2	16
59	но не	2	16
60	как на	1	15
61	том чтобы	2	15
62	не было	4	15
63	ни к	2	15
64	только потому	1	15
65	а в	2	15
66	лишь в	6	15
67	должно быть	4	15
68	в них	4	14
69	и на	2	14
70	сказать что	3	14
71	хотя и	2	14
72	что такое	3	14
73	я не	2	14
74	сих пор	1	14
75	в ней	5	14
76	до сих	1	14
77	что она	2	13
78	в этой	1	13
79	не случайно	1	13
80	не могут	1	13
81	это и	2	13
82	по существу	2	13
83	и его	1	13
84	говорить о	1	12
85	но также	1	12
86	того же	1	12
87	вопроса о	1	12
88	могут быть	2	12
89	как в	3	12
90	для этого	2	12
91	должен быть	5	11
92	в своем	1	11
93	он не	8	11
94	в нем	5	11
95	должна быть	3	11
96	из этих	1	11
97	уже в	1	11
98	слова в	1	11
99	как и	7	10
100	так же	2	10
101	конечно не	3	10
102	этом смысле	2	10
103	в то	2	10
104	в каком	1	10
105	с этим	2	10
106	они не	1	10
107	от того	1	10
108	в своей	3	9
109	можно сказать	1	9
110	что все	2	9
111	xix века	5	9
112	в которой	1	9
113	но для	2	9
114	мы говорим	2	9
115	и есть	10	9
116	ни в	6	9
117	не имеет	4	9
118	что мы	1	9
119	но это	6	9
120	и для	4	9
121	а также	1	9
122	своего рода	1	8
123	в этих	1	8
124	но все	1	8
125	по преимуществу	1	8
126	с одной	2	8
127	не есть	3	8
128	в чем	1	8
129	в статье	1	8
130	с его	6	8
131	же и	1	7
132	в котором	1	7
133	к вопросу	1	7
134	не значит	3	7
135	одной стороны	2	7
136	и должно	2	7
137	с ним	1	7
138	есть лишь	4	7
139	и более	1	7
140	когда мы	2	7
141	в свою	1	7
142	в истории	3	7
143	как например	1	7
144	бы сказать	1	7
145	есть в	2	7
146	и потому	4	7
147	том случае	1	7
148	она не	3	7
149	не знает	6	7
150	только для	1	6
151	не всегда	1	6
152	в ее	3	6
153	не столько	1	6
154	от этого	1	6
155	должны быть	1	6
156	за пределы	3	6
157	не на	1	6
158	оно не	1	6
159	роль в	2	6
160	в отличие	1	6
161	в себе	2	6
162	мы не	2	6
163	этого не	1	6
164	то это	1	6
165	как будто	2	6
166	может иметь	1	6
167	это конечно	1	6
168	отличие от	1	6
169	не с	1	6
170	приводит к	1	6
171	на себя	1	6
172	нуждается в	1	6
173	в каком-то	1	6
174	и к	5	5
175	думаю что	1	5
176	и даже	2	5
177	в духе	3	5
178	а во-вторых	1	5
179	вопрос этот	1	5
180	нужно будет	1	5
181	и того	1	5
182	превращается в	1	5
183	и еще	1	5
184	вопросу о	1	5
185	никогда не	6	5
186	на протяжении	2	5
187	к себе	1	5
188	в конце	1	5
189	и у	1	5
190	у него	2	5
191	одного и	1	5
192	также что	1	5
193	смысле слова	3	5
194	мы в	1	5
195	то он	1	5
196	быть не	1	5
197	переход от	1	5
198	но если	1	5
199	а это	1	5
200	и от	2	5
201	а на	1	5
202	по своему	4	5
203	и их	1	5
204	говорим о	1	5
205	мы должны	1	5
206	как не	8	5
207	в каких	1	5
208	и только	1	5
209	связано с	1	4
210	к этой	1	4
211	вот почему	2	4
212	с большим	1	4
213	быть в	2	4
214	к которому	1	4
215	как я	1	4
216	из них	1	4
217	к нему	1	4
218	но он	1	4
219	будто бы	1	4
220	это есть	7	4
221	характер и	1	4
222	но ведь	1	4
223	же как	2	4
224	себе и	1	4
225	и это	2	4
226	в смысле	2	4
227	чтобы понять	1	4
228	ли это	2	4
229	эти слова	1	4
230	есть вместе	1	4
231	и все	4	4
232	наше время	4	4
233	это уже	1	4
234	том и	2	4
235	я хочу	1	4
236	который не	1	4
237	в известном	1	4
238	все они	2	4
239	не имеют	2	4
240	не должно	1	4
241	он есть	1	4
242	что вообще	1	4
243	формы и	2	4
244	и было	2	4
245	свидетельствует о	1	4
246	что ничего	1	4
247	в такой	1	4
248	к одному	1	4
249	в наши	3	4
250	на это	1	4
251	такой же	2	4
252	не к	2	4
253	все что	1	3
254	мысли и	2	3
255	не хочет	1	3
256	вопрос об	1	3
257	помнить что	2	3
258	жизнь в	1	3
259	давно уже	1	3
260	в это	1	3
261	борьба за	1	3
262	говорит что	1	3
263	всего что	1	3
264	к ним	3	3
265	наряду с	3	3
266	все время	2	3
267	который в	2	3
268	в большинстве	1	3
269	к жизни	3	3
270	политика в	1	3
271	что его	1	3
272	быть только	1	3
273	большинстве случаев	1	3
274	и вместе	1	3
