N	3gram	Tiupa_Lite	Marksizm
1	с точки зрения	4	46
2	не может быть	5	25
3	в самом деле	1	19
4	по отношению к	4	15
5	то же время	12	15
6	в то же	12	15
7	в том что	15	14
8	в связи с	4	14
9	и не может	1	12
10	то ни было	1	12
11	бы то ни	1	12
12	для того чтобы	1	11
13	до сих пор	1	11
14	в отличие от	6	10
15	с самого начала	1	10
16	в большинстве случаев	1	9
17	одного и того	1	9
18	и того же	1	9
19	но в то	1	9
20	в отношении к	1	8
21	с другой стороны	5	7
22	в свою очередь	2	7
23	как мы знаем	1	7
24	на то что	1	6
25	на самом деле	1	6
26	во всяком случае	2	6
27	с одной стороны	8	6
28	к тому что	1	5
29	той или иной	1	5
30	как мы видели	1	5
31	в этом случае	2	5
32	в этом отношении	5	5
33	внутреннего и внешнего	1	4
34	в зависимости от	1	4
35	и прежде всего	4	4
36	но все же	1	4
37	о том что	3	4
38	том что он	1	4
39	не только в	4	3
40	тем не менее	4	3
41	и тем же	1	3
42	одной стороны и	1	3
43	в том числе	2	3
44	и то же	1	3
45	но при этом	2	3
46	все более и	1	3
47	в конце концов	1	3
48	того же слова	1	3
49	вовсе не является	1	3
50	не могут быть	1	3
51	в значительной степени	1	3
52	а не в	1	3
53	и в этом	1	3
54	в этом последнем	1	3
55	какой бы то	1	3
56	более и более	1	3
57	одним и тем	1	3
58	одно и то	1	3
59	можно было бы	2	3
60	именно в том	1	3
61	что он не	1	2
62	если б мы	1	2
63	тех пор пока	2	2
64	так или иначе	8	2
65	внутренней и внешней	1	2
66	ничего общего с	2	2
67	мы никогда не	1	2
68	между тем как	1	2
69	в данном случае	6	2
70	в пределах одной	1	2
71	к тому же	1	2
72	в последнее время	1	2
73	а не только	1	2
74	для него как	1	2
75	чуть ли не	2	2
76	что едва ли	1	2
77	в знаковом материале	2	2
78	к себе самому	1	2
79	первого лица в	1	2
80	по крайней мере	2	2
81	том или ином	1	2
82	ту или иную	2	2
83	в этом и	1	2
84	до тех пор	2	2
85	в соединении с	1	2
86	крайней мере двух	1	2
87	является одним из	1	2
88	прежде всего в	4	2
89	нет и не	1	2
90	тот или иной	1	2
91	быть не может	1	1
92	как и во	1	1
93	при этом однако	1	1
94	все то что	1	1
95	однако и в	1	1
96	для него в	2	1
97	в конечном счете	8	1
98	нас и в	1	1
99	на том что	1	1
100	обстоит дело и	1	1
101	при этом как	3	1
102	имеется в виду	1	1
103	однако и здесь	1	1
104	в основе всех	1	1
105	не столько в	1	1
106	и даже в	1	1
107	говоря уже о	2	1
108	с этой точки	3	1
109	он не может	1	1
110	в том же	3	1
111	как и всякое	1	1
112	по отношению ко	2	1
113	становится массовым явлением	1	1
114	только при условии	1	1
115	но и он	1	1
116	как бы между	1	1
117	что он сам	1	1
118	которая не поддается	1	1
119	во многих отношениях	1	1
120	лишь в той	1	1
121	текста но и	1	1
122	может быть от	1	1
123	не сводится к	3	1
124	по аналогии с	3	1
125	первого и второго	1	1
126	всего в том	1	1
127	в соответствии с	2	1
128	по ту сторону	1	1
129	а с другой	2	1
130	в xviii веке	1	1
131	но даже и	1	1
132	может быть названа	2	1
133	и в пределах	1	1
134	существует как бы	1	1
135	слова в его	1	1
136	не переставая быть	1	1
137	как раз и	1	1
138	в наше время	1	1
139	имел в виду	2	1
140	не нуждается в	1	1
141	перед нами не	1	1
142	с внешним миром	1	1
143	художественной или иной	1	1
144	в равной степени	2	1
145	могли бы быть	1	1
146	ни к какой	1	1
147	а как бы	1	1
148	то есть в	1	1
149	себе самому и	1	1
150	все же в	2	1
151	одним из наиболее	2	1
152	тем что в	2	1
153	и этот последний	1	1
154	в этом же	1	1
155	в русской литературе	5	1
156	в одной из	1	1
157	имеет место лишь	1	1
158	а не как	1	1
159	из которых он	1	1
160	и в соответствии	1	1
161	здесь как и	1	1
162	в другом месте	1	1
163	и вовсе не	1	1
164	же время он	1	1
165	этой точки зрения	3	1
166	в целом ряде	2	1
167	речь в данном	1	1
168	и не было	1	1
169	то с другой	1	1
170	и тем более	1	1
171	том же году	3	1
172	как бы во	1	1
173	пор пока не	1	1
174	в себе не	1	1
175	не может стать	1	1
176	не говоря уже	3	1
177	дело в том	2	1
178	во внутренний мир	1	1
179	в лучшем случае	1	1
180	подобно тому как	4	1
181	является по преимуществу	1	1
182	что перед нами	1	1
183	и т.д и	1	1
184	и не менее	1	1
185	к прошлому и	1	1
186	во всех этих	1	1
187	с предшествующим и	1	1
188	во втором лице	2	1
189	в этом качестве	1	1
190	предшествующим и последующим	1	1
191	в нашем понимании	1	1
192	у него нет	1	1
193	в затруднительное положение	1	1
194	в сущности только	1	1
195	принципиальное различие между	1	1
196	друг для друга	2	1
197	и в сущности	1	1
198	не выходит за	1	1
199	и в году	1	1
200	это свидетельствует о	1	1
201	в основе своей	1	1
202	между прочим и	1	1
203	жизни и в	2	1
204	приводит к тому	1	1
205	в известном отношении	1	1
206	это прежде всего	1	1
207	после того как	1	1
208	том что не	1	1
209	мы не можем	1	1
210	в этом контексте	1	1
