N	3gram	Berdyaev_V	StatiiOP
1	в том что	2	47
2	и т д	2	32
3	с другой стороны	1	13
4	вместе с тем	1	9
5	к тому что	3	8
6	в конце концов	1	7
7	но все же	1	7
8	и в этом	1	7
9	том что он	2	7
10	так и в	1	6
11	я думаю что	1	6
12	по крайней мере	1	6
13	за то что	3	5
14	но и в	2	5
15	после того как	1	5
16	бы то ни	1	3
17	в известном смысле	1	3
18	хотя бы и	1	2
19	в жизни и	1	2
20	что он был	1	2
21	а между тем	2	2
22	и вместе с	1	2
23	то что я	2	2
24	по этому пути	2	2
25	т д и	1	2
26	в этих словах	1	2
27	в одно целое	1	2
28	как и в	1	2
29	в вопросе о	2	1
30	он говорит что	1	1
31	и не любя	2	1
32	по сравнению с	1	1
33	потому что оно	1	1
34	д и т	1	1
35	и никогда не	1	1
36	не могут и	1	1
37	и все это	1	1
38	во что бы	1	1
39	все это имеет	1	1
40	против того что	1	1
41	вместо того чтобы	2	1
42	самого себя и	1	1
43	во всем мире	1	1
44	так как не	2	1
45	на этом пути	1	1
46	в истории человечества	1	1
47	никогда не было	1	1
48	отказывает в праве	1	1
49	было не по	1	1
50	то ни стало	1	1
51	того что он	1	1
52	и теперь еще	1	1
53	и во всяком	1	1
54	и не было	1	1
55	не к тому	1	1
56	и можно ли	1	1
57	что бы то	1	1
58	а к тому	1	1
59	если оно не	1	1
60	для него не	1	1
61	это еще не	2	1
62	и что в	1	1
63	не могут быть	1	1
64	все что было	1	1
