N	4gram	Bakhtin_Fr	KulturaY
1	в то же время	13	6
2	одного и того же	1	4
3	можно было бы привести	1	4
4	до сих пор еще	2	4
5	в том случае если	1	3
6	большей или меньшей степени	2	3
7	в большей или меньшей	2	3
8	в той или иной	2	2
9	что на самом деле	1	2
10	примеров можно было бы	1	2
11	и что на самом	1	2
12	не что иное как	1	2
13	одной и той же	2	2
14	и в то же	2	2
15	один и тот же	3	2
16	по отношению же к	1	2
17	в первом случае мы	1	2
18	одним и тем же	1	2
19	в узком смысле слова	2	1
20	ни в коем случае	1	1
21	в настоящее время совершенно	1	1
22	в коем случае нельзя	1	1
23	той или иной форме	1	1
24	все более и более	1	1
25	прежде всего тем что	1	1
26	и дает нам право	1	1
27	все дело в том	1	1
28	здесь как мы видим	1	1
29	в данном очерке в	1	1
30	ровно ничего не дает	1	1
31	дело в том что	2	1
32	с помощью которого они	1	1
33	и не может быть	1	1
34	в то время как	1	1
35	в связи с этим	1	1
36	в своей книге о	1	1
37	о том что в	1	1
38	хотя бы и не	1	1
39	свидетельствует о том что	1	1
40	это и дает нам	1	1
41	той или иной степени	1	1
42	мы имеем в виду	2	1
43	он стал работать в	1	1
44	бы то ни было	1	1
45	во всяком случае в	1	1
46	в нашем смысле но	1	1
47	языка но и для	1	1
48	в тех или иных	1	1
49	какой бы то ни	1	1
50	в этой же связи	1	1
51	есть не что иное	1	1
