N	2gram	Nazirov_Tv	Narrotol
1	не только	16	62
2	и не	12	50
3	при этом	14	47
4	но и	10	45
5	а не	9	38
6	в качестве	2	35
7	в частности	4	31
8	может быть	11	30
9	и в	40	30
10	в том	13	29
11	в этом	11	28
12	тогда как	3	28
13	своего рода	7	28
14	том что	14	28
15	а в	10	27
16	такого рода	1	26
17	представляет собой	4	25
18	только в	7	25
19	в данном	2	24
20	как и	16	24
21	не в	3	23
22	то что	9	23
23	то есть	16	22
24	в тексте	1	22
25	не может	9	20
26	в рассказе	4	18
27	в себе	3	17
28	данном случае	2	17
29	так и	5	17
30	со стороны	1	16
31	в его	19	16
32	к тому	2	15
33	можно сказать	2	15
34	но в	11	15
35	в жизни	3	14
36	и его	14	14
37	то же	19	13
38	в своей	8	13
39	уже не	6	13
40	о том	9	13
41	в своем	4	13
42	у него	11	13
43	времени и	4	13
44	все же	9	12
45	на протяжении	3	12
46	сводится к	2	12
47	как в	10	12
48	перед нами	3	12
49	как бы	26	12
50	прежде всего	10	12
51	по отношению	3	11
52	об этом	4	11
53	к себе	1	11
54	хотя и	5	11
55	в мире	8	11
56	если бы	4	11
57	и тем	2	11
58	в этой	7	11
59	в нем	4	11
60	героя в	4	11
61	жизни в	9	11
62	в отличие	3	11
63	отличие от	3	11
64	тем самым	10	11
65	отношению к	3	11
66	один из	5	10
67	как правило	3	10
68	никогда не	13	10
69	тому же	2	10
70	всего лишь	1	10
71	между тем	2	10
72	как это	2	10
73	в то	23	10
74	и все	6	10
75	не является	3	10
76	жизни и	3	10
77	с его	12	10
78	ничего не	3	10
79	того что	3	10
80	но не	7	10
81	в соответствии	7	9
82	как раз	2	9
83	тем не	2	9
84	той или	1	9
85	не сводится	1	9
86	я в	1	9
87	столь же	2	9
88	отнюдь не	9	9
89	что в	17	9
90	с ним	4	9
91	истории в	1	9
92	что он	11	9
93	еще не	5	9
94	потому что	10	9
95	во времени	3	9
96	для него	9	9
97	далеко не	3	9
98	в рамках	1	9
99	и к	1	8
100	в самом	6	8
101	в таком	4	8
102	о чем	1	8
103	по мысли	1	8
104	не менее	8	8
105	не мог	3	8
106	одна из	5	8
107	он не	10	8
108	действующих лиц	1	8
109	и он	4	8
110	самом деле	4	8
111	внимание на	1	8
112	мы имеем	1	8
