N	2gram	Tiupa_Anal	EvropaiC
1	таким образом	5	34
2	в том	36	31
3	и в	30	24
4	том что	21	20
5	все эти	3	19
6	то что	11	18
7	не может	26	18
8	может быть	33	17
9	до сих	1	15
10	все же	4	15
11	сих пор	1	15
12	точки зрения	10	14
13	в этом	31	13
14	все это	2	13
15	самом деле	3	12
16	между тем	7	12
17	в своем	2	12
18	по отношению	10	11
19	но и	29	11
20	культуры и	1	11
21	отношению к	9	11
22	все что	3	10
23	не только	30	10
24	так и	16	10
25	как и	23	10
26	культуры в	2	10
27	во всех	5	10
28	из себя	1	10
29	как бы	15	10
30	что в	7	9
31	при этом	20	9
32	в результате	3	9
33	не в	17	9
34	и все	5	9
35	и не	33	9
36	с другом	2	9
37	потому что	3	9
38	и что	2	9
39	на то	2	9
40	друг с	2	9
41	того же	7	9
42	в самом	12	8
43	с точки	6	8
44	более или	2	8
45	или менее	2	8
46	к тому	12	8
47	для того	4	8
48	если бы	6	8
49	того чтобы	3	8
50	а между	1	8
51	так же	1	8
52	а и	1	8
53	из этих	2	8
54	так как	3	7
55	того что	5	7
56	приобщение к	1	7
57	что и	5	7
58	на самом	2	7
59	что он	3	7
60	в психике	2	7
61	не менее	5	7
62	о котором	1	7
63	из этого	2	7
64	о том	11	7
65	вместе с	6	7
66	по своей	6	7
67	в этой	12	7
68	в сознании	6	7
69	в силу	4	7
70	по существу	1	7
71	для этого	2	7
72	и на	10	6
73	несмотря на	5	6
74	с ним	6	6
75	что с	1	6
76	только в	8	6
77	тому же	6	6
78	в мире	14	6
79	отличается от	3	6
80	еще не	5	6
81	все они	2	6
82	и если	2	6
83	должна быть	1	6
84	так что	3	6
85	и при	1	6
86	к чужой	1	6
87	тогда как	30	6
88	что касается	4	6
89	как на	1	6
90	в каждый	1	6
91	в общем	1	6
92	начало и	1	6
93	с другой	7	6
94	в то	10	6
95	лишь при	4	6
96	и для	3	6
97	и к	5	5
98	как к	2	5
99	между собою	1	5
100	должно быть	2	5
101	в состоянии	1	5
102	в его	15	5
103	что это	1	5
104	другой стороны	2	5
105	у него	5	5
106	его в	2	5
107	так или	1	5
108	в которой	3	5
109	но все	1	5
110	и с	2	5
111	или иначе	2	5
112	именно в	6	5
113	по своему	1	5
114	на все	2	5
115	случае если	1	5
116	быть и	1	5
117	не будет	3	5
118	между двумя	7	5
119	и их	2	5
120	далеко не	6	5
121	его собственной	1	5
122	лишь в	12	5
123	в себе	17	5
124	и от	1	5
125	что все	2	5
126	столь же	7	5
127	как будто	6	5
128	к этому	2	5
129	в целом	9	5
130	из них	2	5
131	но в	11	5
132	иначе говоря	17	4
133	не так	3	4
134	и то	4	4
135	ее и	1	4
136	та же	1	4
137	на вопрос	5	4
138	из того	5	4
139	этом случае	4	4
140	хотя и	4	4
141	тем не	3	4
142	совершенно не	2	4
143	из которых	4	4
144	все прочие	3	4
145	в их	8	4
146	в виде	1	4
147	связи с	2	4
148	что его	1	4
149	одним из	3	4
150	в конце	4	4
151	в таком	5	4
152	с тем	1	4
153	в в	1	4
154	не есть	8	4
155	не могут	3	4
156	между собой	2	4
157	как сказано	1	4
158	том случае	1	4
159	а с	3	4
160	что мы	3	4
161	данный момент	2	4
162	культуре и	1	4
163	мы уже	2	4
164	в течение	1	4
165	хотя бы	4	4
166	то ни	3	4
167	в такой	2	4
168	мы должны	2	4
169	и т.д	4	4
170	отношение к	2	4
171	что для	1	4
172	что как	3	4
173	том же	2	4
174	и конец	1	4
175	в области	4	4
176	он не	4	4
177	всех этих	2	4
178	то же	12	4
179	никогда не	4	4
180	во всем	1	3
181	бы то	3	3
182	от него	2	3
183	что оно	1	3
184	возможно лишь	1	3
185	данном случае	3	3
186	только что	1	3
187	и по	2	3
188	в начале	3	3
189	с одной	7	3
190	тогда когда	3	3
191	культуры а	1	3
192	даже в	5	3
193	ни было	4	3
194	в нашем	3	3
195	в разных	1	3
196	указанных выше	1	3
197	с более	1	3
198	как у	1	3
199	для нас	1	3
200	прежде всего	8	3
201	у нас	1	3
202	одно из	2	3
203	же не	3	3
204	в этих	3	3
205	ко всем	2	3
206	от тех	1	3
207	в нем	3	3
208	заключается в	2	3
209	очевидно что	1	3
210	в жизни	1	3
211	в связи	2	3
212	не подлежит	1	3
213	различия в	1	3
214	случаях когда	1	3
215	по одному	1	3
216	но по	1	3
217	может не	2	3
218	вследствие этого	5	3
219	в сторону	6	3
220	тем более	2	3
221	жизнь и	1	3
222	только одно	2	3
223	и того	5	3
224	и потому	2	3
225	на этой	2	3
226	всему этому	1	3
227	в данном	6	3
228	отличие от	8	3
229	вопрос о	2	3
230	в ней	1	3
231	и может	1	3
232	с этой	2	3
233	может служить	3	3
234	это не	7	3
235	в тех	1	3
236	тем самым	9	3
237	и до	3	3
238	уже и	1	3
239	не вполне	2	3
240	в совершенно	1	3
241	при помощи	2	3
242	к которой	1	3
243	каждый из	3	3
244	а в	11	3
245	как известно	4	3
246	было бы	4	3
247	как мы	3	3
248	национальной и	1	3
249	даже если	1	3
250	мы будем	1	3
251	образом в	1	3
252	но не	13	3
253	является ли	1	3
254	таким же	1	3
255	бы в	3	3
256	как для	1	3
257	одного и	2	3
258	тот же	2	3
259	и наконец	2	3
260	одной и	1	2
261	представить себе	1	2
262	от нее	1	2
263	только не	6	2
264	во втором	1	2
265	но на	1	2
266	мы и	1	2
267	то есть	19	2
268	этот процесс	1	2
269	то в	2	2
270	на том	1	2
271	для себя	3	2
272	начале этой	1	2
273	двумя крайними	1	2
274	от которого	4	2
275	для него	5	2
276	следует что	2	2
277	тем как	2	2
278	те же	3	2
279	а затем	3	2
280	то и	2	2
281	но как	1	2
282	борьбы с	3	2
283	не от	1	2
284	будет иметь	1	2
285	в виду	2	2
286	сводится к	6	2
287	том и	2	2
288	страсть к	1	2
289	однако при	3	2
290	всех прочих	2	2
291	в своих	1	2
292	не было	1	2
293	не знает	4	2
294	эволюции в	1	2
295	и сам	4	2
296	помнить что	1	2
297	и там	1	2
298	том виде	1	2
299	вовсе не	4	2
300	что такой	1	2
301	такой же	3	2
302	веры в	1	2
303	в один	4	2
304	жизни и	1	2
305	и будет	1	2
306	в процессе	2	2
307	чтобы быть	1	2
308	если он	1	2
309	вся его	1	2
310	тому что	2	2
311	представляет собою	2	2
312	имеет место	6	2
313	я не	2	2
314	между ними	1	2
315	как не	1	2
316	с ними	2	2
317	их в	1	2
318	есть в	4	2
319	между прочим	1	2
320	которые могут	1	2
321	при таком	2	2
322	в которых	1	2
323	никто не	3	2
324	они не	1	2
325	себя и	5	2
326	не имеет	1	2
327	со своей	2	2
328	приобщения к	1	2
329	почти все	1	2
330	ему и	1	2
331	кстати что	1	2
332	зависимости от	1	2
333	в себя	8	2
334	что оба	1	2
335	на каждом	2	2
336	должен быть	6	2
337	в эту	3	2
338	на себе	3	2
339	по его	2	2
340	в них	1	2
341	этих двух	1	2
342	во всяком	1	2
343	ко всему	1	2
344	и состоит	5	2
345	в основе	6	2
346	и более	5	2
347	в котором	5	2
348	до тех	1	2
349	и только	1	2
350	на этом	4	2
351	к своим	1	2
352	при отсутствии	1	2
353	всяком случае	1	2
354	к нему	4	2
355	в свою	1	2
356	одной стороны	6	2
357	можно лишь	1	2
358	также и	3	2
359	одну из	2	2
360	только мы	1	2
361	в другом	4	2
362	не более	4	2
363	же касается	1	2
364	и уже	1	2
365	нашем случае	3	2
366	только тогда	1	2
367	только один	1	2
368	к тем	1	2
369	говорить о	3	2
370	тех же	1	2
371	из него	1	2
372	не следует	6	2
373	и те	2	2
374	этот вопрос	1	2
375	же время	7	2
376	от своей	1	2
377	сил и	1	2
378	из одного	1	2
379	свою очередь	1	2
380	а всякое	1	2
381	я в	5	2
382	что же	3	2
383	широком смысле	2	2
384	к ним	1	2
385	между людьми	1	2
386	со своими	1	2
387	тех пор	1	2
388	той же	4	2
389	которые уже	1	2
390	том чтобы	7	2
391	при условии	1	2
392	на него	3	2
393	в глазах	1	2
394	на первый	1	2
395	по этому	1	2
396	понять что	1	2
397	во всей	1	2
398	все без	1	2
399	что она	1	2
400	в частности	32	2
401	культуры с	1	2
402	одна из	1	2
403	этого слова	10	2
404	весьма часто	1	2
405	в сущности	10	2
406	но если	1	2
407	и его	9	2
408	от них	1	2
409	от себя	4	2
410	отнюдь не	22	2
411	в отдельных	1	2
412	в ту	1	2
413	в точке	1	2
414	независимо от	2	2
415	с ее	2	2
416	тем же	1	2
417	в самой	1	2
418	они могут	1	2
419	и особенно	4	2
420	точку зрения	1	2
421	и ее	1	2
422	что на	3	2
423	друг друга	1	2
424	из этой	1	2
425	всего в	3	1
426	были бы	1	1
427	начиная с	1	1
428	само собой	1	1
429	они являются	1	1
430	не происходит	1	1
431	аспекта одного	1	1
432	к действительности	1	1
433	между всеми	1	1
434	не принадлежат	1	1
435	которой я	1	1
436	равной мере	2	1
437	или бессознательно	1	1
438	из возможных	2	1
439	в состав	3	1
440	для всех	1	1
441	мы видим	1	1
442	более высокой	2	1
443	науки о	2	1
444	произведение и	1	1
445	один из	4	1
446	собой и	1	1
447	оно может	3	1
448	это делает	1	1
449	за ним	2	1
450	говоря уже	1	1
451	у друга	1	1
452	к их	1	1
453	как другие	1	1
454	второй случай	1	1
455	она и	1	1
456	они оба	1	1
457	без такого	1	1
458	нами два	1	1
459	менее в	1	1
460	и должны	1	1
461	же и	1	1
462	создания и	2	1
463	непосредственного восприятия	1	1
464	когда два	1	1
465	под словом	1	1
466	на тех	1	1
467	если в	3	1
468	свидетельствует о	4	1
469	рассказ о	3	1
470	зависит от	1	1
471	столкновение с	1	1
472	бы себе	1	1
473	том числе	3	1
474	уже в	1	1
475	мы не	1	1
476	из одних	1	1
477	чем объясняется	1	1
478	он при	1	1
479	некоторой степени	1	1
480	ним и	2	1
481	что я	1	1
482	случае мы	1	1
483	без исключения	2	1
484	как проявление	1	1
485	еще более	1	1
486	этот чисто	1	1
487	была бы	4	1
488	или с	1	1
489	целого а	1	1
490	за пределами	3	1
491	в своей	7	1
492	смысл и	3	1
493	до некоторой	1	1
494	именно она	1	1
495	на этих	1	1
496	он и	3	1
497	или нет	1	1
498	строго говоря	3	1
499	в ее	2	1
500	никак не	2	1
501	не требует	1	1
502	не приходится	2	1
503	не вызывает	1	1
504	от начала	1	1
505	общего плана	1	1
506	сам автор	1	1
507	тут не	1	1
508	в принципе	8	1
509	ее в	2	1
510	своей истории	1	1
511	может показаться	1	1
512	в качестве	38	1
513	я во	3	1
514	для другой	1	1
515	ее нет	1	1
516	впечатление совершенно	1	1
517	в тот	1	1
518	одному из	2	1
519	не являются	2	1
520	почему мы	1	1
521	со своим	4	1
522	до всякого	1	1
523	на которой	2	1
524	из своих	2	1
525	и другими	2	1
526	особенно если	1	1
527	с другими	4	1
528	в широком	4	1
529	это слово	1	1
530	а все	1	1
531	самое что	1	1
532	смысле этого	1	1
533	как нечто	1	1
534	быть может	2	1
535	и художественное	1	1
536	в отношении	2	1
537	сознательно или	1	1
538	же эти	1	1
539	когда же	1	1
540	с другим	5	1
541	же самые	1	1
542	в ином	2	1
543	как с	1	1
544	в центре	3	1
545	состоит именно	1	1
546	однако не	4	1
547	человека этот	1	1
548	в зависимости	1	1
549	борьбу с	2	1
550	затем и	1	1
551	что объективная	1	1
552	в борьбе	2	1
553	т.д в	2	1
554	этой точки	2	1
555	по пути	1	1
556	различных аспекта	1	1
557	здесь мы	1	1
558	более точного	1	1
559	отличаются от	1	1
560	или иной	8	1
561	в первом	3	1
562	этого не	1	1
563	элементы в	1	1
564	не ставит	1	1
565	когда оно	1	1
566	скорее в	1	1
567	самые разнообразные	1	1
568	который как	1	1
569	будто бы	4	1
570	этот факт	1	1
571	ему самому	1	1
572	мысль о	2	1
573	о своей	2	1
574	откровения на	1	1
575	на себя	5	1
576	и эта	1	1
577	развития в	1	1
578	тем что	2	1
579	и другое	1	1
580	а то	3	1
581	из собственного	1	1
582	себя лично	1	1
583	я и	8	1
584	том или	4	1
585	например в	1	1
586	отношения к	4	1
587	в равной	4	1
588	случае не	2	1
589	в кавычках	1	1
590	в наиболее	3	1
591	факт не	1	1
592	этом последнем	1	1
593	ценностей и	1	1
594	лишь на	1	1
595	долгое время	1	1
596	и как	6	1
597	как о	2	1
598	но он	1	1
599	к его	3	1
600	есть нечто	1	1
601	на ноги	1	1
602	может только	1	1
603	виде в	1	1
604	себя как	1	1
605	а именно	3	1
606	выход из	2	1
607	уже о	1	1
608	выбирать между	1	1
609	без которого	1	1
610	и просто	2	1
611	но когда	1	1
612	как в	3	1
613	данный человек	1	1
614	жизни в	1	1
615	что ни	2	1
616	к концу	1	1
617	к своему	2	1
618	внимание что	1	1
619	или выражаясь	1	1
620	приводит к	2	1
621	только для	3	1
622	или ином	4	1
623	одному лишь	1	1
624	сливаются в	1	1
625	смертью в	2	1
626	бы не	3	1
627	на всем	1	1
628	социальной группы	1	1
629	да и	2	1
630	с постоянным	1	1
631	согласие с	1	1
632	же после	1	1
633	у одного	1	1
634	мы находим	1	1
635	именно эта	1	1
636	дело тут	1	1
637	которая по	1	1
638	это было	1	1
639	несколько ниже	1	1
640	языка то	1	1
641	на точку	1	1
642	роль в	3	1
643	со стороны	5	1
644	или их	1	1
645	на его	4	1
646	вследствие этой	1	1
647	темы с	1	1
648	себе и	1	1
649	среди других	1	1
650	всей своей	1	1
651	отсюда вытекает	1	1
652	и постоянно	1	1
653	мира в	2	1
654	но мы	2	1
655	частной жизни	1	1
656	художественное произведение	5	1
657	смысл этого	1	1
658	что тот	1	1
659	и таким	1	1
660	уже не	6	1
661	а так	1	1
662	по крайней	4	1
663	свой смысл	1	1
664	все их	1	1
665	перед нами	1	1
666	науки в	1	1
667	и другого	4	1
668	же даже	1	1
669	вопроса о	4	1
670	который и	1	1
671	высокой ступени	1	1
672	ближайшие к	1	1
673	на место	3	1
674	первый взгляд	1	1
675	всех своих	1	1
676	его к	3	1
677	остается в	2	1
678	нет ничего	2	1
679	не говоря	2	1
680	истинный смысл	1	1
681	тем в	1	1
682	только лишь	1	1
683	еще и	1	1
684	определенной сфере	1	1
685	ни на	1	1
686	результате которой	1	1
687	приходится ограничиваться	1	1
688	не имея	2	1
689	ними нет	1	1
690	на природу	1	1
691	не является	3	1
692	и эти	2	1
693	наличности в	1	1
694	только к	1	1
695	и третий	1	1
696	же я	1	1
697	бы с	2	1
698	что этот	1	1
699	все три	1	1
700	данной культурной	1	1
701	а его	1	1
702	в целях	1	1
703	эти понятия	1	1
704	она должна	1	1
705	своей собственной	2	1
706	предполагает что	1	1
707	от элементов	1	1
708	и убеждения	1	1
709	рода которые	1	1
710	ставит себя	2	1
711	состоит лишь	2	1
712	и даже	10	1
713	дело только	1	1
714	сам не	1	1
715	и заключается	2	1
716	все остальные	1	1
717	на той	1	1
718	не могу	2	1
719	но при	2	1
720	момента когда	1	1
721	эти слова	1	1
722	зрения в	2	1
723	становится очевидной	1	1
724	в значительной	1	1
725	входит в	1	1
726	на котором	3	1
727	и позволяют	1	1
728	только такие	1	1
729	некий общий	1	1
730	а от	1	1
731	или не	2	1
732	не будучи	1	1
733	по этой	2	1
734	нельзя не	1	1
735	к разрешению	1	1
736	ниже их	1	1
737	в разные	1	1
738	а может	1	1
739	или может	1	1
740	в борьбу	1	1
741	низкой степени	1	1
742	двух других	1	1
743	из его	2	1
744	из перечисленных	1	1
745	просто не	1	1
746	точно и	1	1
747	это по	1	1
748	у того	1	1
749	их умственные	1	1
750	постановкой вопроса	1	1
751	есть всегда	1	1
752	должна была	2	1
753	смысле слова	1	1
754	как сам	1	1
755	которой он	1	1
756	об отношении	1	1
757	на нем	1	1
758	только на	3	1
759	а во-вторых	1	1
760	два различных	2	1
761	борьбе с	2	1
762	вступает в	4	1
763	одно и	2	1
764	и та	2	1
765	в науке	1	1
766	все те	1	1
767	над другими	1	1
768	в различных	1	1
769	связь между	1	1
770	это была	2	1
771	них обоих	1	1
772	других людей	2	1
773	и наиболее	1	1
774	друг у	1	1
775	есть лишь	1	1
776	и была	1	1
777	себя на	1	1
778	в истинном	1	1
779	говоря о	2	1
780	даже при	1	1
781	для своей	1	1
782	этой стороны	1	1
783	и жизни	1	1
784	проникнуть в	1	1
785	а только	1	1
786	что ее	1	1
787	из нас	1	1
788	решение вопроса	1	1
789	идет об	1	1
790	можно было	1	1
791	ведь если	1	1
792	еще один	1	1
793	не случайно	11	1
794	же самое	3	1
795	себя свою	1	1
796	делает его	1	1
797	состоит в	16	1
798	право в	1	1
799	затем уже	1	1
800	упускать из	2	1
801	и той	1	1
802	числе и	1	1
803	из виду	3	1
804	наиболее существенные	2	1
