N	2gram	Propp_Isto	OGranits
1	и в	40	13
2	и его	5	12
3	прежде всего	15	9
4	может быть	37	8
5	и не	19	8
6	не может	19	8
7	и пр	11	7
8	в его	10	7
9	и их	4	7
10	таким образом	13	6
11	не только	28	6
12	мы должны	17	6
13	только в	16	6
14	то что	17	6
15	как бы	6	6
16	хотя бы	5	5
17	в материале	1	5
18	художественного произведения	1	5
19	в процессе	1	5
20	но ведь	1	5
21	все же	17	5
22	и эта	1	5
23	и наконец	5	5
24	мы можем	7	4
25	до тех	1	4
26	мы не	12	4
27	то же	21	4
28	еще и	2	4
29	было бы	11	4
30	все это	6	4
31	материала в	1	4
32	в своей	2	4
33	в двух	1	4
34	тех пор	1	4
35	но мы	2	4
36	но в	13	4
37	с этим	5	3
38	что в	19	3
39	и то	3	3
40	связана с	7	3
41	ни один	8	3
42	материала и	2	3
43	и уже	1	3
44	так и	13	3
45	не как	3	3
46	говорить о	1	3
47	в одном	8	3
48	не столько	1	3
49	отношению к	6	3
50	по отношению	6	3
51	превращается в	4	3
52	поставить вопрос	2	3
53	в пределах	4	3
54	в их	6	3
55	при анализе	1	3
56	в ее	2	3
57	здесь мы	9	3
58	самом деле	2	3
59	не в	11	3
60	в которой	2	3
61	что же	4	3
62	и все	1	3
63	тела и	1	3
64	в себе	6	3
65	так как	20	3
66	да и	3	3
67	но и	21	3
68	и для	5	3
69	как и	5	3
70	точку зрения	3	3
71	никогда не	25	3
72	в области	2	2
73	к сожалению	3	2
74	своего рода	2	2
75	во всем	3	2
76	нет ничего	2	2
77	и к	1	2
78	что они	13	2
79	того или	1	2
80	может иметь	2	2
81	материалом для	1	2
82	из тела	1	2
83	мы видим	16	2
84	иное как	3	2
85	мы уже	7	2
86	и этот	1	2
87	а как	2	2
88	в этом	13	2
89	что иное	3	2
90	в целях	3	2
91	в языке	1	2
92	с одной	8	2
93	мог бы	3	2
94	в течение	1	2
95	входит в	1	2
96	не чем	1	2
97	одной стороны	7	2
98	и должно	3	2
99	роль в	3	2
100	в другом	6	2
101	при этом	6	2
102	несмотря на	1	2
103	между тем	2	2
104	в полном	1	2
105	для него	2	2
106	в этот	1	2
107	и тем	2	2
108	и может	1	2
109	те же	1	2
110	связанные с	3	2
111	ее в	7	2
112	не исчерпывается	1	2
113	в том	12	2
114	в которую	3	2
115	что эта	3	2
116	мы получим	2	2
117	в тех	4	2
118	в отношении	1	2
119	вслед за	7	2
120	организации в	1	2
121	ни одно	1	2
122	другой стороны	7	2
123	не что	3	2
124	но так	3	2
125	не на	2	2
126	от этого	2	2
127	так же	18	2
128	в них	2	2
129	самого начала	4	2
130	а в	15	2
131	связанных с	2	2
132	если бы	8	2
133	и делают	1	2
134	а также	2	2
135	в книге	4	2
136	соответствии с	2	2
137	еще в	2	2
138	в ней	10	2
139	с самого	4	2
140	тем что	7	2
141	она является	1	2
142	и др	11	2
143	могут быть	5	2
144	вовсе не	3	2
145	в действительности	2	2
146	между собою	1	2
147	его на	1	2
148	чем иным	1	2
149	в связи	7	2
150	в зависимости	3	2
151	во всей	2	2
152	с ними	2	2
153	материал в	3	2
154	все явления	1	2
155	все эти	6	2
156	с другой	8	2
157	как в	7	2
158	иным как	1	2
159	и внутренняя	1	2
160	не менее	7	2
161	нуждается в	1	2
162	там где	5	2
163	можем поставить	1	2
164	том что	11	2
165	в нем	8	2
166	уже в	2	2
167	и следовательно	1	2
168	или иного	1	2
169	зависимости от	3	2
170	не мог	4	2
171	а не	18	2
172	всей своей	1	2
173	в целом	3	2
174	и ее	3	2
175	тот же	3	2
176	подойти к	2	2
177	собственно говоря	1	2
178	к тому	6	2
179	есть не	2	2
180	кажется что	1	2
181	этот материал	4	2
182	бы в	2	2
183	в дальнейшем	6	1
184	данной области	1	1
185	в особенности	3	1
186	в некоторых	4	1
187	всего в	2	1
188	отражает историческую	1	1
189	себе в	1	1
190	этого и	1	1
191	к которому	5	1
192	изучения но	1	1
193	и наоборот	1	1
194	точное и	1	1
195	который является	1	1
196	из вас	1	1
197	часто мы	1	1
198	то он	2	1
199	не зная	1	1
200	ее и	1	1
201	для всех	2	1
202	еще одну	3	1
203	это конечно	3	1
204	и других	1	1
205	и он	4	1
206	мышления в	1	1
207	один из	10	1
208	можно установить	3	1
209	можно говорить	2	1
210	другого материала	1	1
211	и здесь	15	1
212	бы несколько	1	1
213	такое утверждение	1	1
214	образом мы	3	1
215	то это	9	1
216	она и	2	1
217	отличие от	3	1
218	одном случае	1	1
219	вопрос о	8	1
220	что мы	9	1
221	же мотив	1	1
222	на этом	3	1
223	они не	8	1
224	сложную систему	1	1
225	которую мы	1	1
226	пр с	1	1
227	не имеют	1	1
228	может принять	1	1
229	тесно связана	1	1
230	играло роль	1	1
231	исторической связи	2	1
232	же объясняется	1	1
233	ее на	2	1
234	как средство	1	1
235	жили и	1	1
236	душа и	1	1
237	указать на	1	1
238	должно быть	2	1
239	того как	6	1
240	человеческого тела	1	1
241	если он	1	1
242	в самых	1	1
243	которой он	1	1
244	и социальной	3	1
245	и вот	2	1
246	на том	1	1
247	другими словами	8	1
248	такого рода	1	1
249	это все	1	1
250	эти слова	3	1
251	более или	5	1
252	это особенно	1	1
253	внимание на	1	1
254	теперь мы	1	1
255	здесь она	1	1
256	потому что	12	1
257	в значительной	1	1
258	нам удалось	1	1
259	должны быть	4	1
260	от первого	1	1
261	но даже	1	1
262	того чтобы	3	1
263	и если	4	1
264	же как	7	1
265	или иных	1	1
266	бы мы	2	1
267	и более	3	1
268	мы имеем	25	1
269	и у	1	1
270	также и	3	1
271	ту же	1	1
272	с миром	1	1
273	это и	1	1
274	уже у	2	1
275	для того	1	1
276	совсем не	1	1
277	тому как	3	1
278	тому что	1	1
279	и дает	2	1
280	с одним	4	1
281	его себе	1	1
282	быть не	2	1
283	его за	1	1
284	и голос	1	1
285	он и	3	1
286	важна не	1	1
287	его и	6	1
288	не всегда	9	1
289	в своем	5	1
290	в разных	2	1
291	или же	1	1
292	и тогда	3	1
293	этот момент	3	1
294	этом отношении	1	1
295	эту связь	3	1
296	тем как	1	1
297	две формы	2	1
298	связанное с	1	1
299	время в	2	1
300	что при	3	1
301	и закономерности	1	1
302	явствует что	1	1
303	остается только	1	1
304	материала так	1	1
305	тем не	7	1
306	но тем	1	1
307	здесь он	2	1
308	и во-вторых	1	1
309	и сквозь	1	1
310	в другой	4	1
311	как это	6	1
312	вследствие этого	2	1
313	переходит от	1	1
314	не думает	1	1
315	что такое	3	1
316	к тем	1	1
317	мы в	4	1
318	составить предмет	2	1
319	то мы	6	1
320	о всемирном	1	1
321	только на	2	1
322	общения с	1	1
323	об этом	11	1
324	или почти	1	1
325	вступает в	2	1
326	остановиться на	1	1
327	разница в	1	1
328	никто не	3	1
329	при наличии	1	1
330	и что	14	1
331	на самом	3	1
332	природе не	1	1
333	если там	1	1
334	для них	1	1
335	и тот	3	1
336	можно было	8	1
337	в этой	9	1
338	напоминает нам	1	1
339	у других	1	1
340	иметь в	2	1
341	в начале	3	1
342	в виду	2	1
343	в нашей	2	1
344	что к	1	1
345	и один	1	1
346	есть акт	1	1
347	сводится к	1	1
348	здесь уже	1	1
349	нет никакого	1	1
350	и есть	5	1
351	для своей	1	1
352	конечно не	2	1
353	подобно тому	3	1
354	и вполне	2	1
355	уже видели	4	1
356	не хотят	1	1
357	но это	8	1
358	только то	1	1
359	и развивается	1	1
360	не вполне	3	1
361	по себе	4	1
362	в совершенно	2	1
363	этот вопрос	7	1
364	в истории	2	1
365	по своей	2	1
366	эта аналогия	1	1
367	лежит в	2	1
368	как исторически	1	1
369	и иных	1	1
370	его в	15	1
371	возразить что	1	1
372	на основе	6	1
373	отметить что	1	1
374	на всю	1	1
375	его явления	1	1
376	как то	1	1
377	развития не	1	1
378	каждый из	1	1
379	а на	1	1
380	они-то и	1	1
381	до того	1	1
382	высокой и	1	1
383	связь с	8	1
384	или иное	1	1
385	однако если	1	1
386	мы здесь	8	1
387	и часто	4	1
388	не было	3	1
389	когда мы	4	1
390	связи с	10	1
391	ко всем	1	1
392	теперь к	2	1
393	же не	3	1
394	их исторической	1	1
395	состоит в	1	1
396	аналогия между	1	1
397	и несколько	1	1
398	не знает	7	1
399	или в	6	1
400	в основе	4	1
401	же только	1	1
402	почему же	1	1
403	на то	6	1
404	то не	3	1
405	же самое	3	1
406	как их	1	1
407	сказал что	3	1
408	слова могут	1	1
409	среди них	1	1
410	и над	1	1
411	равно как	1	1
412	вся эта	1	1
413	вопрос в	2	1
414	в отличие	3	1
415	их в	7	1
416	и вне	1	1
417	к телу	1	1
418	полно и	1	1
419	хотя они	1	1
420	одним из	2	1
421	не совсем	5	1
422	сам собой	1	1
423	природы и	1	1
424	раз навсегда	1	1
425	весь этот	1	1
426	но столь	1	1
427	сказать что	7	1
428	на себя	2	1
