N	2gram	Bakhtin_Pr	Poddanst
1	не только	9	17
2	и в	38	14
3	и не	42	12
4	в области	11	11
5	в этом	15	10
6	в том	8	9
7	то же	5	9
8	но в	4	9
9	хотя бы	4	8
10	в пределах	6	8
11	только в	13	7
12	же время	3	7
13	в то	4	7
14	в ней	4	6
15	было бы	8	6
16	но и	9	6
17	в смысле	1	6
18	и пр	2	5
19	может быть	26	5
20	н о	1	5
21	отношении к	1	5
22	с другой	7	5
23	не в	7	5
24	и о	5	5
25	в которых	1	5
26	и к	3	4
27	что в	7	4
28	в котором	2	4
29	по себе	1	4
30	и если	1	4
31	и потому	4	4
32	мы должны	2	4
33	с т	1	4
34	не может	27	4
35	а в	6	4
36	то что	8	4
37	как бы	22	4
38	если бы	3	4
39	а также	1	4
40	в своем	5	4
41	том что	3	4
42	в себе	4	3
43	что мы	1	3
44	с одной	3	3
45	это не	5	3
46	одной стороны	3	3
47	для того	2	3
48	между тем	7	3
49	с точки	6	3
50	хотя и	3	3
51	с тем	1	3
52	она есть	1	3
53	прежде всего	13	3
54	тем самым	4	3
55	сами по	1	3
56	в россии	2	3
57	но не	12	3
58	могут быть	5	3
59	и т	14	3
60	и как	8	3
61	с ними	4	3
62	столь же	2	3
63	в нем	15	3
64	и без	1	3
65	точки зрения	8	3
66	во всех	11	2
67	именно как	1	2
68	и это	3	2
69	и других	2	2
70	осуществляется в	1	2
71	и мы	1	2
72	было в	1	2
73	которую мы	3	2
74	при посредстве	2	2
75	если в	1	2
76	пути в	1	2
77	и вот	1	2
78	время в	1	2
79	в значительной	2	2
80	не будем	3	2
81	еще более	1	2
82	по сравнению	1	2
83	так называемые	1	2
84	в ее	4	2
85	и тем	3	2
86	того что	2	2
87	в частности	2	2
88	в его	43	2
89	не о	1	2
90	а не	5	2
91	для нас	1	2
92	все это	3	2
93	в которую	1	2
94	говорить о	3	2
95	в тот	1	2
96	для них	1	2
97	может и	4	2
98	и есть	2	2
99	стороны и	1	2
100	как мир	1	2
101	о с	1	2
102	в виде	2	2
103	в них	5	2
104	творчества и	5	2
105	не было	2	2
106	к чему	2	2
107	и с	17	2
108	из важнейших	3	2
109	в начале	2	2
110	слова но	3	2
111	в общем	1	2
112	которое в	1	2
113	в сфере	1	2
114	потому в	1	2
115	именно в	1	2
116	должно быть	5	2
117	отношения к	6	2
118	во всей	1	2
119	помнить что	3	2
120	одна из	2	2
121	в мире	3	2
122	например в	3	2
123	не менее	4	2
124	отнюдь не	19	2
125	да и	3	2
126	точек зрения	1	2
127	не нужно	5	2
128	из них	1	2
129	есть не	2	2
130	есть в	1	2
131	не к	6	2
132	бы ни	1	2
133	этих двух	1	1
134	и мир	2	1
135	целому ряду	1	1
136	и некоторой	1	1
137	поскольку она	1	1
138	как к	2	1
139	от нее	1	1
140	вполне и	1	1
141	могли бы	1	1
142	ни к	2	1
143	не есть	6	1
144	у в	3	1
145	и теперь	1	1
146	находятся в	1	1
147	эти суждения	1	1
148	но как	2	1
149	ибо только	2	1
150	бы и	1	1
151	мы можем	6	1
152	и эти	1	1
153	в данном	4	1
154	с его	2	1
155	что оно	2	1
156	стремиться к	1	1
157	имеют в	1	1
158	и более	2	1
159	можно говорить	2	1
160	вместе с	1	1
161	и здесь	2	1
162	в определенный	2	1
163	план в	1	1
164	пр в	1	1
165	в процесс	1	1
166	в иных	3	1
167	и на	3	1
168	как возможность	1	1
169	отличие от	5	1
170	в самом	7	1
171	мир в	2	1
172	вопрос о	1	1
173	времени эта	1	1
174	два направления	1	1
175	они не	3	1
176	технике в	1	1
177	этой области	2	1
178	творчестве достоевского	1	1
179	них в	1	1
180	поэтики в	1	1
181	в момент	1	1
182	это в	1	1
183	только что	1	1
184	поскольку мы	1	1
185	в философии	1	1
186	в наши	1	1
187	к этой	1	1
188	и первое	1	1
189	что каждая	1	1
190	она не	2	1
191	должна быть	4	1
192	эти ценности	1	1
193	применении к	3	1
194	в творчестве	1	1
195	только как	6	1
196	того чтобы	2	1
197	ему на	1	1
198	в применении	3	1
199	должны здесь	1	1
200	и иных	1	1
201	на основе	6	1
202	есть для	1	1
203	и менее	1	1
204	и всегда	1	1
205	вопросу о	1	1
206	и должна	3	1
207	из всех	1	1
208	в пустоте	1	1
209	формы в	1	1
210	что это	2	1
211	не более	2	1
212	что называют	1	1
213	конечно и	4	1
214	подчеркнуть что	1	1
215	за последние	2	1
216	с трудом	1	1
217	есть как	1	1
218	не были	1	1
219	и уже	1	1
220	мысли и	1	1
221	и смысла	2	1
222	что с	1	1
223	как таковые	1	1
224	именно на	1	1
225	не как	1	1
226	и другие	2	1
227	только один	1	1
228	можно наметить	1	1
229	что дело	1	1
230	неизбежно останется	1	1
231	всей полноте	1	1
232	и вся	2	1
233	что уже	1	1
234	мы все	1	1
235	в каждом	2	1
236	из мира	1	1
237	только на	1	1
238	и этим	6	1
239	не с	4	1
240	обе эти	1	1
241	что эта	2	1
242	последние годы	2	1
243	чем тот	1	1
244	религиозно и	1	1
245	в других	4	1
246	и при	2	1
247	и что	2	1
248	науки и	1	1
249	ощущается как	1	1
250	и живое	1	1
251	не могла	1	1
252	что и	2	1
253	ценности и	2	1
254	связывается с	1	1
255	эта задача	1	1
256	как проблема	1	1
257	другой стороны	4	1
258	как ни	1	1
259	ни были	1	1
260	этом смысле	3	1
261	бы что	1	1
262	как явление	2	1
263	эта проблема	1	1
264	далеко не	5	1
265	в современной	2	1
266	в этих	2	1
267	не вполне	2	1
268	что все	2	1
269	в истории	2	1
270	как оно	1	1
271	различия между	1	1
272	так же	1	1
273	человека с	1	1
274	также и	3	1
275	его в	9	1
276	бы из	1	1
277	это имеет	1	1
278	совершенно новое	1	1
279	в большинстве	5	1
280	мы вполне	1	1
281	все же	6	1
282	идет речь	1	1
283	стремления и	1	1
284	в настоящее	1	1
285	как таковую	1	1
