N	3gram	Tiupa_Narr	KulturaY
1	и т п	2	93
2	и т д	1	42
3	для того чтобы	4	38
4	с точки зрения	2	36
5	в том что	11	33
6	в самом деле	3	29
7	можно было бы	1	25
8	тем не менее	6	19
9	во всяком случае	2	19
10	с другой стороны	1	17
11	в зависимости от	3	16
12	до сих пор	3	14
13	по отношению к	5	13
14	по крайней мере	1	13
15	только потому что	1	13
16	в связи с	3	12
17	и в самом	1	11
18	не может быть	6	11
19	в этом отношении	5	11
20	в этом смысле	1	10
21	о том что	3	10
22	того или иного	3	9
23	не в том	1	8
24	само по себе	1	8
25	на самом деле	1	8
26	не только в	12	8
27	мере в какой	1	7
28	в той мере	1	7
29	той мере в	1	7
30	в том случае	1	7
31	а с другой	2	7
32	в свою очередь	2	7
33	с одной стороны	5	7
34	в отличие от	6	6
35	к тому же	8	6
36	то же время	7	6
37	той или иной	6	6
38	этой точки зрения	1	6
39	в то же	7	6
40	с этой точки	1	5
41	так и в	1	5
42	речь идет о	3	5
43	более или менее	2	5
44	на мой взгляд	1	5
45	в соответствии с	7	5
46	в данном случае	12	5
47	т п все	1	5
48	но все же	1	5
49	на этот вопрос	1	5
50	как мы видели	1	5
51	лишь в том	1	4
52	в конечном счете	4	4
53	что все эти	1	4
54	так или иначе	1	4
55	сам по себе	1	4
56	в первом случае	3	4
57	и того же	2	4
58	а в том	2	4
59	к тому что	4	4
60	состоит в том	5	4
61	одного и того	2	4
62	сих пор еще	1	4
63	и потому что	1	4
64	на то что	2	4
65	только то что	1	4
66	точно так же	2	4
67	так же как	1	4
68	в той же	1	3
69	что я не	1	3
70	но для того	1	3
71	в таком случае	1	3
72	вместо того чтобы	1	3
73	точки зрения в	1	3
74	как раз и	1	3
75	в известном смысле	4	3
76	точки зрения на	1	3
77	не то что	1	3
78	большей или меньшей	1	3
79	мере того как	1	3
80	в том смысле	1	3
81	по мере того	1	3
82	на себя внимание	3	3
83	в то время	1	3
84	в большей или	1	3
85	в противном случае	1	3
86	прежде всего следует	1	3
87	при этом что	1	3
88	том случае если	1	3
89	уже не только	1	3
90	но с другой	1	3
91	в ряде случаев	2	2
92	потому что я	1	2
93	в той или	1	2
94	что в ней	1	2
95	в большинстве случаев	1	2
96	и в другом	1	2
97	самом деле в	1	2
98	внимание на то	2	2
99	у нас нет	2	2
100	обращает на себя	3	2
101	в том числе	1	2
102	и в других	1	2
103	и тот же	1	2
104	между тем не	1	2
105	потому что в	1	2
106	друг от друга	1	2
107	является ли это	1	2
108	в строгом смысле	1	2
109	но они не	1	2
110	по природе своей	1	2
111	и то же	2	2
112	п все эти	1	2
113	может быть только	1	2
114	сами по себе	2	2
115	то же слово	1	2
116	иметь в виду	1	2
117	и в то	2	2
118	том что на	1	2
119	хотя и не	2	2
120	что с точки	1	2
121	бы то ни	1	2
122	из того что	1	2
123	что можно сказать	1	2
124	а то и	1	2
125	самом деле не	1	2
126	и тем же	1	2
127	в данный момент	1	2
128	первом случае мы	1	2
129	так и не	2	2
130	всего тем что	1	2
131	один и тот	1	2
132	том или ином	1	2
133	можно сказать что	5	2
134	то что мы	1	2
135	по сравнению с	1	2
136	это действительно так	1	2
137	вовсе еще не	1	2
138	мы тем не	1	2
139	одним и тем	1	2
140	может быть не	2	2
141	мы не знаем	1	2
142	вследствие того что	2	2
143	тем или иным	2	2
144	по большей части	5	2
145	что иное как	1	2
146	едва ли не	2	2
147	точки зрения как	1	2
148	если бы не	1	2
149	может быть и	1	2
150	за которым не	1	1
151	именно это и	1	1
152	своей точки зрения	1	1
153	не могла бы	1	1
154	языком в качестве	1	1
155	которой и составляет	1	1
156	о них в	1	1
157	возможна не только	1	1
158	событие и его	1	1
159	она не владеет	1	1
160	никак не может	1	1
161	и как именно	1	1
162	войне и мире	2	1
163	в рамках одного	1	1
164	он уже не	1	1
165	на том что	1	1
166	то что даже	1	1
167	то что не	1	1
168	ничего не говорит	1	1
169	и к этому	1	1
170	но и на	2	1
171	со своей точки	1	1
172	было ясно что	1	1
173	слова во втором	1	1
