N	2gram	Medvedev_U	IolandNe
1	и с	2	3
2	что в	1	2
3	он не	1	2
4	так напр	1	2
5	ничего не	2	2
6	и не	8	2
7	в этом	7	2
8	неудивительно что	2	1
9	это было	2	1
10	творчества то	1	1
11	что для	1	1
12	для него	3	1
13	тем что	2	1
14	не случайно	2	1
15	художественного творчества	5	1
16	и др	1	1
17	первую очередь	1	1
18	с другой	4	1
19	более чем	2	1
20	точно и	1	1
21	значительной мере	1	1
22	очевидно что	3	1
23	другой стороны	3	1
24	то и	1	1
25	в первую	1	1
26	что при	1	1
27	если бы	2	1
28	в художественном	5	1
29	по существу	2	1
30	того что	1	1
31	ученики и	1	1
32	только для	1	1
33	так то	1	1
34	так и	1	1
35	художественном творчестве	2	1
36	в значительной	1	1
37	без этого	1	1
38	а для	1	1
39	бы в	1	1
40	и в	14	1
41	никогда не	1	1
42	все это	5	1
