N	2gram	Vinokur_St	TeoriaLi
1	в качестве	7	33
2	не только	36	24
3	и в	61	24
4	в частности	6	23
5	то есть	2	22
6	может быть	16	22
7	при этом	4	20
8	в том	56	20
9	в тексте	12	19
10	тогда как	1	18
11	я в	1	18
12	и не	23	17
13	а в	18	15
14	но и	28	14
15	а не	19	14
16	так и	15	14
17	в себе	3	14
18	такого рода	2	13
19	но не	5	13
20	в этом	37	12
21	но в	16	12
22	в его	19	12
23	то же	7	12
24	своего рода	7	11
25	том что	49	11
26	точки зрения	16	11
27	и его	11	11
28	что в	41	10
29	по отношению	3	10
30	как это	6	10
31	лишь в	3	10
32	отношению к	3	10
33	только в	11	9
34	в данном	16	9
35	с другой	11	9
36	не в	15	9
37	в то	10	9
38	в своей	12	8
39	же время	5	8
40	как бы	8	8
41	по своей	2	8
42	не может	10	8
43	в самом	14	7
44	не столько	6	7
45	или иной	1	7
46	в отличие	1	7
47	в своем	8	7
48	себя в	1	7
49	мы имеем	2	7
50	а также	4	7
51	отличие от	1	7
52	во второй	10	7
53	отношение к	3	7
54	однако в	1	7
55	место в	2	7
56	в области	16	7
57	в нем	9	7
58	другой стороны	9	6
59	более или	2	6
60	как и	11	6
61	не менее	8	6
62	еще не	4	6
63	в основе	4	6
64	то что	27	6
65	со стороны	7	6
66	уже не	1	6
67	с его	3	6
68	в ее	6	6
69	или иначе	3	6
70	между ними	1	6
71	или менее	2	6
72	в русской	4	6
73	того или	4	6
74	тем самым	2	6
75	в первой	12	6
76	или иного	4	6
77	ни в	5	5
78	в виду	6	5
79	так или	3	5
80	как в	15	5
81	можно сказать	2	5
82	не является	5	5
83	того чтобы	15	5
84	для того	15	5
85	я с	3	5
86	как правило	2	5
87	иначе говоря	1	5
88	на почве	2	5
89	как к	3	5
90	данном случае	7	5
91	для него	10	5
92	того что	14	5
93	между тем	7	5
94	он не	11	5
95	и тем	3	5
96	в пределах	1	5
97	и о	4	5
98	могут быть	5	5
99	художественного произведения	1	5
100	не случайно	1	5
101	текст в	2	4
102	без исключения	1	4
103	в отношении	11	4
104	не на	3	4
105	по пути	1	4
106	не следует	1	4
107	и сам	4	4
108	в этих	5	4
109	отношения к	2	4
110	что он	23	4
111	в слове	5	4
112	совпадает с	3	4
113	входит в	1	4
114	в другом	5	4
115	говорить о	3	4
116	отношении к	3	4
117	сказать что	9	4
118	в нашем	1	4
119	в текстах	1	4
120	к тому	9	4
121	этого слова	2	4
122	текста как	1	4
123	никогда не	7	4
124	или иным	3	4
125	это не	8	4
126	хотя и	4	4
127	слова в	1	4
128	в их	3	4
129	его в	4	4
130	читателя в	1	4
131	но он	5	4
132	не знает	2	4
133	так в	1	4
134	по своему	2	4
135	а только	1	4
136	первой строфе	2	4
137	и что	8	4
138	в форме	2	4
139	далеко не	1	4
140	того же	4	4
141	в целом	5	4
142	текста в	5	3
143	и к	5	3
144	во втором	5	3
145	в таком	4	3
146	на меня	2	3
147	в момент	1	3
148	для себя	3	3
149	с этой	5	3
150	даже в	5	3
151	была бы	10	3
152	о чем	4	3
153	только не	2	3
154	данного текста	1	3
155	если бы	11	3
156	оказывается в	2	3
157	все эти	7	3
158	а именно	3	3
159	в романе	4	3
160	именно в	8	3
161	по мысли	1	3
162	например в	8	3
163	к его	2	3
164	в соответствии	1	3
165	их в	2	3
166	никто не	4	3
167	роль в	1	3
168	в иной	1	3
169	из которого	2	3
170	тем не	4	3
171	культуры в	3	3
172	следует подчеркнуть	1	3
173	перед нами	1	3
174	но их	1	3
175	между собой	1	3
176	в роли	1	3
177	потому что	13	3
178	одной стороны	2	3
179	искусства и	1	3
180	в одном	7	3
181	на две	1	3
182	мог бы	1	3
183	во всей	1	3
184	не все	3	3
185	от себя	1	3
186	из этих	7	3
187	и для	4	3
188	о ней	1	3
189	таким образом	16	3
190	и то	6	3
191	с одной	3	3
192	и вот	1	3
193	том числе	3	3
194	и потому	3	3
195	с точки	10	3
196	ни к	1	3
197	к которому	4	3
198	как раз	10	3
199	есть в	2	3
200	прежде всего	11	3
201	а на	4	3
202	и притом	1	3
203	связи с	3	3
204	или в	1	3
205	и позволяет	1	3
206	одним из	2	3
207	в равной	2	3
208	как говорит	3	3
209	и как	2	3
210	его текст	1	3
211	в сторону	2	3
212	вовсе не	24	3
213	той или	1	3
214	во всех	8	3
215	а с	6	3
216	однако если	1	3
217	в которой	13	3
218	не будет	1	3
219	он должен	2	3
220	не с	1	3
221	этом смысле	2	3
222	в этой	13	3
223	и др	1	3
224	в узком	1	3
225	столь же	5	3
226	и по	6	3
227	в культуре	1	3
228	в той	9	2
229	и другие	3	2
230	на деле	1	2
231	однако с	1	2
232	один из	1	2
233	и здесь	2	2
234	и на	7	2
235	легкой руки	1	2
236	если в	2	2
237	которая в	1	2
238	и который	3	2
239	в литературной	1	2
240	к числу	3	2
241	на этом	1	2
242	из которых	1	2
243	а затем	1	2
244	мы в	1	2
245	в году	3	2
246	знаков в	1	2
247	о в	1	2
248	по себе	3	2
249	не могут	2	2
250	в них	2	2
251	оно не	3	2
252	и даже	8	2
253	самом деле	14	2
254	русской поэзии	2	2
255	заключается в	5	2
256	на свою	1	2
257	обращается к	1	2
258	значения и	1	2
