N	3gram	Voloshinov	Psycholo
1	в том что	4	78
2	в самом деле	1	51
3	о том что	1	34
4	совершенно ясно что	1	33
5	то же самое	2	31
6	с точки зрения	2	29
7	с одной стороны	2	28
8	не может быть	7	23
9	до сих пор	3	23
10	с другой стороны	2	20
11	мы увидим что	1	19
12	на самом деле	2	17
13	с самого начала	1	16
14	в зависимости от	2	15
15	так же как	1	14
16	во всяком случае	1	14
17	в то время	1	14
18	в этом отношении	1	14
19	можно было бы	1	13
20	и в этом	1	13
21	то время как	1	13
22	сам по себе	1	12
23	этой точки зрения	3	12
24	мы никогда не	2	11
25	в конечном счете	1	11
26	в художественном произведении	3	11
27	подобно тому как	1	11
28	сами по себе	1	10
29	в данном случае	2	9
30	в том и	1	9
31	и то же	2	8
32	и таким образом	1	8
33	мы все время	2	7
34	в этом смысле	1	7
35	только то что	1	7
36	в свою очередь	1	7
37	можно сказать что	5	7
38	одно и то	2	7
39	как и в	1	7
40	сама по себе	1	6
41	по самому существу	1	6
42	и та же	1	6
43	и тот же	1	6
44	тем не менее	3	6
45	более или менее	1	6
46	по себе не	1	6
47	то что мы	1	6
48	при таком понимании	1	6
49	друг к другу	1	6
50	как если бы	4	5
51	ни в какой	1	5
52	один и тот	1	5
53	и в частности	1	5
54	зависимости от того	1	5
55	в каком отношении	2	5
56	в жизни и	2	5
57	в лучшем случае	1	5
58	же как и	1	5
59	нам кажется что	1	5
60	имеет в виду	3	4
61	а между тем	1	4
62	в настоящее время	2	4
63	это на примере	1	4
64	к тому же	1	4
65	имеет дело с	1	4
66	таким образом мы	1	4
67	и тем же	1	4
68	тому же самому	1	4
69	формы и содержания	2	4
70	том что в	1	4
71	и не может	3	4
72	все более и	1	4
73	более и более	1	4
74	одним и тем	1	4
75	одна и та	1	4
76	как это делает	1	4
77	в основе своей	1	4
78	искусство таким образом	1	3
79	из этого что	1	3
80	и что она	1	3
81	то что оно	1	3
82	в отношении к	2	3
83	по аналогии с	1	3
84	что до сих	1	3
85	но если бы	1	3
86	так как в	1	3
87	по отношению к	11	3
88	это не так	2	3
89	и в поэзии	1	3
90	там же где	1	3
91	художественного произведения и	2	3
92	дело в том	4	3
93	прежде всего тем	1	3
94	может быть и	3	3
95	в высшей степени	1	3
96	бы то ни	3	3
97	то же время	1	3
98	смысл и значение	2	3
99	является то что	1	3
100	мы обратимся к	1	3
101	ничего общего с	1	3
102	в то же	1	3
103	не может стать	1	3
104	и здесь мы	1	3
105	бы показать что	1	3
106	одной стороны и	2	2
107	уверенностью сказать что	1	2
108	никогда не поймем	1	2
109	с уверенностью сказать	1	2
110	так и было	1	2
111	с ним в	1	2
112	бы не было	1	2
113	не совпадает с	1	2
114	она не может	1	2
115	между тем как	1	2
116	и на этом	1	2
117	к вопросу о	1	2
118	все же не	1	2
119	мы имеем дело	1	2
120	можно найти в	1	2
121	кажется что мы	1	2
122	все зависит от	1	2
123	но и в	1	2
124	по крайней мере	1	2
125	художественного произведения с	1	2
126	здесь вовсе не	1	2
127	самом деле в	1	2
128	и в своем	1	2
129	мы имеем в	1	2
130	мы таким образом	1	2
131	тогда когда он	1	2
132	если мы обратимся	1	2
133	искусства и в	1	2
134	обстоит дело и	1	2
135	а не к	1	2
136	это только одна	1	2
137	ли из этого	1	2
138	чрезвычайно важный для	1	2
139	может быть только	1	2
140	в такой же	2	2
141	было бы показать	1	2
142	тех или иных	1	2
143	они как бы	1	2
144	то ни было	3	2
145	несмотря на это	1	2
146	сих пор не	1	2
147	равно как и	1	2
148	что мы воспринимаем	1	2
149	сказать то что	1	2
150	всякого художественного произведения	1	2
151	если бы оно	1	2
152	кто не знает	1	2
153	имеем в виду	2	2
154	она как бы	1	2
155	все эти три	1	2
156	то что я	1	2
157	что не только	1	2
158	к содержанию как	1	2
159	имеем дело с	1	2
160	следствием того что	1	1
161	даже тогда когда	1	1
162	но то же	1	1
163	увидим что не	1	1
164	том что поэт	1	1
165	это как бы	3	1
166	в особом объяснении	1	1
167	он не должен	1	1
168	в чем не	1	1
169	и тогда когда	1	1
170	теории искусства и	1	1
171	только там где	1	1
172	так относится к	1	1
173	мы не найдем	1	1
174	однако он не	1	1
175	с другими формами	1	1
176	в коем случае	1	1
177	в какой степени	2	1
178	вступает в свои	1	1
