N	2gram	Voloshinov	Narrotol
1	не только	1	62
2	и не	1	50
3	но и	1	45
4	а не	1	38
5	может быть	1	30
6	и в	3	30
7	не может	4	20
8	в его	1	16
9	к тому	1	15
10	то же	1	13
11	если бы	1	11
12	один из	2	10
13	точки зрения	1	10
14	в то	1	10
15	и все	1	10
16	для него	1	9
17	не менее	1	8
18	же время	1	8
19	и на	1	7
20	в ней	1	7
21	из этих	1	6
22	в центре	2	5
23	исходя из	1	5
24	ситуации и	1	4
25	несмотря на	1	4
26	тому что	1	4
27	с точки	1	3
28	связи с	1	3
29	во второй	1	3
30	персонажей и	1	3
31	язык как	1	2
32	достоевского и	2	2
33	русской литературы	1	2
34	в системе	1	2
35	бы в	1	2
36	смысл и	1	2
37	и событий	1	2
38	в особенности	1	2
39	если в	2	2
40	увидеть в	1	2
41	можно назвать	1	2
42	так называемая	1	2
43	художественного целого	1	2
44	по своим	1	2
45	бы на	1	2
46	на нее	1	2
47	его от	1	1
48	общения и	2	1
49	о художественной	1	1
50	языка как	1	1
51	именно с	1	1
52	всякого высказывания	1	1
53	с другими	1	1
54	тех же	1	1
55	и должно	1	1
56	литературного произведения	1	1
57	не смог	1	1
58	и школы	2	1
59	нет и	1	1
60	не из	1	1
61	может не	1	1
62	себя от	1	1
63	ни один	1	1
64	может и	1	1
65	событий и	1	1
