N	2gram	Nazirov_Tr	RusskieA
1	и в	18	79
2	в том	2	64
3	том что	4	59
4	что в	4	57
5	т е	1	54
6	не только	8	41
7	в этом	9	33
8	как бы	7	31
9	но и	4	31
10	в и	1	30
11	как и	5	28
12	и на	7	28
13	может быть	7	28
14	одна из	2	24
15	о том	2	23
16	и т	1	23
17	при этом	3	22
18	в поле	3	22
19	это не	5	20
20	как мы	1	20
21	все это	4	18
22	с тем	2	17
23	таким образом	1	17
24	то что	4	17
25	вместе с	1	17
26	об этом	4	17
27	потому что	2	17
28	один из	3	15
29	в них	1	14
30	и с	7	14
31	не менее	1	14
32	тем не	1	14
33	как это	3	14
34	и что	4	14
35	и не	7	14
36	для нас	1	14
37	в xix	1	14
38	уже не	2	13
39	так что	2	13
40	и по	1	13
41	как в	3	13
42	еще не	4	13
43	не может	5	13
44	тем что	2	12
45	между собой	1	12
46	этом случае	1	12
47	в виде	2	12
48	а затем	1	11
49	не имеет	2	11
50	но это	4	11
51	а на	1	11
52	что на	1	11
53	все же	5	10
54	представляет собой	1	10
55	его в	2	10
56	между тем	1	10
57	что и	2	10
58	так и	5	10
59	а также	1	10
60	то же	5	9
61	о чем	3	9
62	к жизни	5	9
63	по улицам	1	9
64	и все	4	9
65	данном случае	2	9
66	того как	1	9
67	но в	6	9
68	в русском	2	9
69	но не	1	9
70	одно из	1	8
71	представление о	1	8
72	так же	4	8
73	связи с	1	8
74	на себя	1	8
75	во всех	1	8
76	что это	5	8
77	в россии	1	8
78	того чтобы	1	8
79	того что	1	8
80	в данном	2	8
81	в это	2	7
82	в своем	3	7
83	на них	1	7
84	к нему	3	7
85	не в	2	7
86	из сибири	1	7
87	только в	1	7
88	еще в	2	7
89	а не	1	7
90	до конца	2	7
91	ничего не	2	7
92	и как	3	7
93	в сибири	1	7
94	как будто	3	7
95	в году	9	6
96	с собой	1	6
97	к тому	2	6
98	что этот	2	6
99	только на	1	6
100	но они	2	6
101	в одном	2	6
102	что она	2	6
103	после того	1	6
104	в таком	2	6
105	тому что	1	6
106	на земле	1	6
107	на этом	1	6
108	должны были	1	6
109	в этой	4	6
110	в нем	4	6
111	с ними	1	6
112	на стол	1	6
113	друг друга	2	6
114	на нее	1	6
115	все эти	3	6
116	она не	1	6
117	и их	1	6
118	и о	1	6
119	например в	1	5
120	тогда как	1	5
121	вопрос о	2	5
122	связь между	1	5
123	к ним	1	5
124	по поводу	2	5
125	не было	1	5
126	в связи	1	5
127	можно было	1	5
128	и др	1	5
129	в то	5	5
130	прежде всего	4	5
131	в особенности	1	5
132	его с	1	5
133	с ним	3	5
134	что он	6	5
135	то и	2	5
136	к себе	1	5
137	или вообще	1	5
138	но если	1	5
139	в его	3	5
140	за этим	1	5
141	к вам	1	5
142	и потому	1	5
143	отнюдь не	3	5
144	в целом	4	5
145	вплоть до	1	5
146	во всем	1	4
147	не столько	1	4
148	но все	2	4
149	именно в	1	4
150	во всяком	1	4
151	в котором	1	4
152	в глаза	2	4
153	в отличие	2	4
154	не просто	2	4
155	она как	2	4
156	несмотря на	5	4
157	но он	1	4
158	а за	1	4
159	не был	2	4
160	здесь мы	1	4
161	тем и	1	4
162	могут быть	1	4
163	и от	1	4
164	своего рода	3	4
165	и здесь	2	4
166	по всем	1	4
167	в основном	3	4
168	и при	1	4
169	вряд ли	2	4
170	бросается в	2	4
171	он же	1	4
172	и до	2	4
173	на две	1	4
174	в образе	6	4
175	этого слова	1	4
176	всяком случае	1	4
177	уже в	3	4
178	а к	1	4
179	отличие от	2	4
180	в ней	1	4
181	к ней	1	4
182	и ее	2	4
183	говорит о	2	3
184	в виду	1	3
185	из самых	2	3
186	есть в	1	3
187	детей и	1	3
188	говорится о	1	3
189	восходит к	1	3
190	эта связь	1	3
191	он был	2	3
192	что ее	1	3
193	и еще	1	3
194	к числу	1	3
195	что все	2	3
196	что именно	1	3
197	тут же	2	3
198	никогда не	2	3
199	с одной	1	3
200	в ее	2	3
201	чем у	1	3
202	в которой	1	3
203	сходство с	1	3
204	iii в	3	3
205	в области	1	3
206	и это	2	3
207	на другой	1	3
208	в форме	1	3
209	на улицу	1	3
210	за все	1	3
211	чтобы не	1	3
212	любви и	2	3
213	то есть	3	3
214	также что	1	3
215	известно что	1	3
216	в своей	1	3
217	жизни в	1	3
218	значение и	1	3
219	на этот	1	3
220	и то	2	3
221	только по	1	3
222	это и	1	3
223	что с	3	3
224	же не	1	3
225	ее к	2	3
226	своей книге	1	3
227	игры в	1	3
228	на все	1	3
229	жизнь и	3	3
230	есть и	1	3
231	как он	1	3
232	в селе	1	3
233	считает что	1	3
234	в период	1	3
235	и его	6	3
236	это в	1	3
237	слова в	1	3
238	не к	1	3
239	от него	1	2
240	с последним	1	2
241	к этой	1	2
242	с этой	1	2
243	не как	1	2
244	и лучше	2	2
245	чтобы она	1	2
246	по себе	1	2
247	этим объясняется	2	2
248	в духе	1	2
249	если он	1	2
250	случай не	1	2
251	когда в	1	2
252	в момент	1	2
253	и начинают	1	2
254	но мы	1	2
255	в дальнейшем	5	2
256	поле в	1	2
257	и дело	1	2
258	в настоящей	1	2
259	раз и	2	2
260	iii и	1	2
261	и должна	1	2
262	вот почему	1	2
263	этой связи	1	2
264	же говорит	1	2
265	с другим	1	2
266	который в	2	2
267	все в	1	2
268	мы видим	1	2
269	и он	3	2
270	должно быть	3	2
271	но еще	1	2
272	что при	1	2
273	место где	1	2
274	и за	2	2
275	у него	6	2
276	тот кто	1	2
277	одним из	1	2
278	как его	1	2
279	в конце	3	2
280	в двух	1	2
281	в чем	1	2
282	могло бы	1	2
283	под влиянием	2	2
284	и даже	4	2
285	ту же	1	2
286	он не	2	2
287	в развитии	1	2
288	имеет целью	1	2
289	что эта	1	2
290	т п	1	2
291	ту сторону	1	2
292	его как	1	2
293	в себе	4	2
294	не значит	1	2
295	он показывает	1	2
296	для чего	1	2
297	не случайно	2	2
298	и особенно	1	2
299	на всю	1	2
300	от нее	1	2
301	не так	2	2
302	над ними	1	2
303	на западе	1	2
304	самом деле	1	2
305	на столе	1	2
306	с г	2	2
307	нет в	2	2
308	перед нами	2	2
309	совершенно не	1	2
310	не является	1	2
311	и если	1	2
312	таком виде	1	2
313	крест и	1	2
314	быть не	1	2
315	и теперь	1	2
316	всей европе	1	2
317	он есть	1	2
318	к людям	3	2
319	на улице	1	2
320	с его	2	2
