N	2gram	Tiupa_Disk	OGranits
1	и в	27	13
2	и его	4	12
3	прежде всего	17	9
4	может быть	29	8
5	и не	25	8
6	не может	17	8
7	в его	9	7
8	и т.п	18	7
9	и их	1	7
10	эстетический объект	1	7
11	точки зрения	6	7
12	таким образом	4	6
13	не только	36	6
14	мы должны	1	6
15	только в	9	6
16	то что	10	6
17	как бы	9	6
18	языка и	3	5
19	хотя бы	3	5
20	с точки	3	5
21	и т.д	5	5
22	художественного произведения	1	5
23	в процессе	6	5
24	все же	8	5
25	эстетического объекта	1	5
26	и наконец	2	5
27	в каждом	2	4
28	мы можем	1	4
29	не является	5	4
30	произведения как	2	4
31	мы не	2	4
32	то же	12	4
33	еще и	1	4
34	было бы	1	4
35	все это	2	4
36	слов и	1	4
37	лишь в	4	4
38	в своей	10	4
39	на фоне	1	4
40	но в	15	4
41	вопроса о	1	4
42	с этим	3	3
43	что в	8	3
44	к одному	2	3
45	понятно что	1	3
46	и то	4	3
47	со всей	1	3
48	т.п и	1	3
49	ни один	1	3
50	экспрессивной интонации	1	3
51	в искусстве	1	3
52	так и	14	3
53	не как	5	3
54	говорить о	3	3
55	одно и	2	3
56	в одном	5	3
57	не столько	3	3
58	за пределы	2	3
59	отношению к	13	3
60	по отношению	13	3
61	превращается в	1	3
62	слово в	1	3
63	в пределах	4	3
64	в поэтике	1	3
65	в их	5	3
66	в ее	4	3
67	самом деле	2	3
68	не в	8	3
69	в которой	2	3
70	что же	4	3
71	и все	5	3
72	но для	2	3
73	в себе	22	3
74	да и	2	3
75	но и	22	3
76	как и	27	3
77	никогда не	3	3
78	в области	3	2
79	своего рода	15	2
80	истории литературы	1	2
81	в самом	4	2
82	во всем	2	2
83	и к	4	2
84	представляет себе	2	2
85	что они	1	2
86	того или	3	2
87	в данном	9	2
88	а как	1	2
89	в своих	6	2
90	в этом	29	2
91	данном случае	6	2
92	героя и	2	2
93	на язык	1	2
94	которой является	1	2
95	человеческой речи	1	2
96	которое мы	1	2
97	в языке	2	2
98	с одной	12	2
99	в произведении	3	2
100	мог бы	1	2
101	которое может	2	2
102	входит в	2	2
103	для себя	6	2
104	наконец в	1	2
105	и при	1	2
106	одной стороны	12	2
107	и должно	2	2
108	роль в	10	2
109	в другом	5	2
110	при этом	22	2
111	несмотря на	1	2
112	между тем	5	2
113	в полном	2	2
114	для него	9	2
115	речи не	1	2
116	только его	1	2
117	в этот	1	2
118	и тем	2	2
119	с помощью	1	2
120	и классификации	1	2
121	и может	3	2
122	те же	1	2
123	ее в	1	2
124	и композиция	1	2
125	не исчерпывается	1	2
126	в том	29	2
127	общения и	4	2
128	с этой	2	2
129	высказывание и	1	2
130	и является	1	2
131	в тех	2	2
132	вслед за	1	2
133	литературного произведения	3	2
134	ни одно	2	2
135	другой стороны	5	2
136	всякий литературный	1	2
137	не на	3	2
138	от этого	1	2
139	в них	6	2
140	самого начала	2	2
141	а в	5	2
142	в г	2	2
143	события художественного	1	2
144	если бы	1	2
145	их внутренней	1	2
146	а также	15	2
147	в книге	2	2
148	соответствии с	5	2
149	на две	1	2
150	еще в	6	2
151	в ней	2	2
152	с самого	2	2
153	тем что	4	2
154	и др	3	2
155	могут быть	5	2
156	вовсе не	1	2
157	в действительности	3	2
158	его на	1	2
159	учение о	1	2
160	в связи	1	2
161	имеет место	4	2
162	объект и	1	2
163	с ними	1	2
164	может стать	1	2
165	все эти	2	2
166	с другой	14	2
167	как в	16	2
168	разрыв между	1	2
169	не менее	6	2
170	иерархическое место	1	2
171	не имеет	1	2
172	с историей	1	2
173	там где	1	2
174	к предмету	1	2
175	в структуре	1	2
176	том что	27	2
177	в нем	16	2
178	уже в	2	2
179	и следовательно	1	2
180	или иного	2	2
181	не мог	1	2
182	а не	35	2
183	всей своей	2	2
184	в чем	2	2
185	в целом	5	2
186	в языковом	1	2
187	и ее	5	2
188	как индивидуальное	1	2
189	к тому	6	2
190	слова и	2	2
191	в лингвистике	3	2
192	более того	2	2
193	и последовательно	1	1
194	этого термина	2	1
195	это некое	1	1
196	в особенности	5	1
197	его к	1	1
198	науки о	1	1
199	в некоторых	1	1
200	всего в	2	1
201	как к	2	1
202	в каждой	3	1
203	к которому	2	1
204	и наоборот	1	1
205	литературы в	2	1
206	состоит не	1	1
207	из вас	1	1
208	обычно в	1	1
209	не зная	1	1
210	о влиянии	1	1
211	для всех	2	1
212	произведении как	1	1
213	относятся и	1	1
214	и других	1	1
215	и он	2	1
216	является для	1	1
217	один из	3	1
218	со времен	1	1
219	можно говорить	2	1
220	вообще в	1	1
221	общения в	3	1
222	художественного образа	1	1
223	и столь	1	1
224	значение так	2	1
225	выходит за	1	1
226	как возможность	1	1
227	она и	1	1
228	отличие от	13	1
229	вопрос о	2	1
230	на этом	3	1
231	этим путем	1	1
232	они не	2	1
233	на нем	1	1
234	другое дело	1	1
235	не имеют	2	1
236	этой структуре	1	1
237	которая как	1	1
238	или иная	1	1
239	в хх	1	1
240	эта особенность	1	1
241	сознания с	2	1
242	указать на	3	1
243	должно быть	2	1
244	на три	1	1
245	картины мира	8	1
246	отсюда и	1	1
247	в самых	1	1
248	слову в	1	1
249	которой он	1	1
250	своего времени	2	1
251	необходимо чтобы	2	1
252	разных местах	1	1
253	сводятся к	1	1
254	не могу	1	1
255	на том	2	1
256	такого рода	11	1
257	но при	3	1
258	высказывания и	3	1
259	более или	2	1
260	внимание на	5	1
261	потому что	7	1
262	в значительной	3	1
263	должны быть	3	1
264	хх веке	1	1
265	и остаются	1	1
266	он всегда	2	1
267	же как	1	1
268	или иных	1	1
269	автора и	1	1
270	всю совокупность	1	1
271	бы мы	1	1
272	ту или	1	1
273	и более	1	1
274	но такая	1	1
275	мы имеем	4	1
276	не должно	2	1
277	также и	6	1
278	с миром	2	1
279	находил ее	1	1
280	это и	2	1
281	тому как	5	1
282	а представляет	1	1
283	все то	1	1
284	литературы как	1	1
285	организации художественного	1	1
286	его себе	1	1
287	есть его	1	1
288	представляет собою	1	1
289	эстетическим объектом	1	1
290	как выражение	1	1
291	его и	1	1
292	не всегда	2	1
293	в своем	11	1
294	в разных	1	1
295	или же	1	1
296	говорить не	1	1
297	и поэтики	1	1
298	речи и	2	1
299	этом отношении	4	1
300	однако этот	1	1
301	эту связь	1	1
302	тем как	1	1
303	с языком	1	1
304	из наиболее	2	1
305	поэтических индивидуальностей	1	1
306	мысли и	2	1
307	тем не	1	1
308	и во-вторых	1	1
309	как это	2	1
310	вследствие этого	4	1
311	что такое	1	1
312	объединены в	1	1
313	мы все	2	1
314	только на	2	1
315	общения с	4	1
316	из того	1	1
317	об этом	3	1
318	содержания и	1	1
319	только потому	1	1
320	не приходится	2	1
321	в науке	2	1
322	при наличии	1	1
323	общих для	1	1
324	в нескольких	1	1
325	и что	2	1
326	говоря словами	1	1
327	на самом	1	1
328	или иную	1	1
329	для человека	1	1
330	в различных	2	1
331	для них	1	1
332	в этой	5	1
333	для данного	3	1
334	это слово	1	1
335	включается в	1	1
336	в начале	2	1
337	во все	1	1
338	в виду	2	1
339	в нашей	1	1
340	что к	1	1
341	и один	1	1
342	одном ряду	1	1
343	к другому	3	1
344	и до	2	1
345	сводится к	7	1
346	среде и	1	1
347	интонации и	3	1
348	с их	3	1
349	и есть	2	1
350	для своей	1	1
351	подобно тому	4	1
352	и вполне	1	1
353	но это	3	1
354	только то	2	1
355	позиции в	1	1
356	не вполне	1	1
357	по себе	3	1
358	в истории	5	1
359	они хотят	1	1
360	вспомнить о	1	1
361	косвенной речи	1	1
362	по своей	15	1
363	же время	9	1
364	в новых	1	1
365	лежит в	1	1
366	и иных	1	1
367	его в	1	1
368	о литературе	2	1
369	никакого отношения	1	1
370	которую он	1	1
371	со всеми	1	1
372	с понятием	2	1
373	отметить что	1	1
374	каждый из	2	1
375	и часто	1	1
376	мыслью и	1	1
377	событий и	1	1
378	не было	9	1
379	когда мы	1	1
380	связи с	4	1
381	события и	1	1
382	он весь	1	1
383	как известно	1	1
384	их исторической	1	1
385	что касается	2	1
386	о возможности	1	1
387	состоит в	20	1
388	высказывание от	1	1
389	и несколько	1	1
390	как свой	1	1
391	не знает	4	1
392	или в	2	1
393	от одного	1	1
394	в основе	11	1
395	каждом индивидуальном	1	1
396	в организации	2	1
397	на то	1	1
398	апелляции к	1	1
399	ни о	2	1
400	исторической поэтики	3	1
401	и там	1	1
402	их по	1	1
403	же самое	2	1
404	и глубоко	1	1
405	как их	2	1
406	и всякое	2	1
407	равно как	1	1
408	в описании	1	1
409	в отличие	13	1
410	про себя	1	1
411	носителем и	1	1
412	их в	2	1
413	и вне	2	1
414	нет и	1	1
415	заключается в	3	1
416	функций и	1	1
417	одним из	2	1
418	объекта и	3	1
419	отношение к	6	1
420	жизнь как	2	1
421	как художественного	1	1
422	утверждаю что	1	1
423	сказать что	4	1
424	на себя	2	1
425	в конечном	2	1
426	из литературы	1	1
427	возможно только	2	1
428	речи в	2	1
429	та или	1	1
430	в эпоху	5	1
431	ему в	3	1
432	виду что	2	1
433	или менее	2	1
434	в определенной	1	1
435	или на	3	1
436	всем протяжении	1	1
437	где нет	1	1
438	положения что	1	1
439	преображения и	1	1
440	представление о	1	1
441	конечном счете	2	1
442	он говорит	1	1
443	такой же	1	1
444	анализ художественного	1	1
445	к другим	3	1
446	в конце	1	1
447	выбор слова	1	1
448	его понимании	2	1
449	в эстетической	1	1
450	одной из	4	1
451	например в	4	1
452	порвать с	1	1
453	а подлинный	1	1
454	были высказаны	1	1
455	в контексте	3	1
456	в образе	1	1
457	о теории	1	1
458	по мере	2	1
459	античной греции	2	1
460	действительность с	1	1
461	слово не	2	1
462	взаимодействия людей	1	1
463	но далеко	1	1
464	познания в	1	1
465	к более	1	1
466	к этому	4	1
467	не знаем	1	1
468	в одной	4	1
469	за которым	2	1
470	и как	9	1
471	в понимании	1	1
472	как о	1	1
473	вплоть до	2	1
474	отождествляется с	1	1
475	до конца	2	1
476	что он	6	1
477	столь же	6	1
478	письменной речи	1	1
479	в собственном	1	1
480	времени в	3	1
481	звучит один	2	1
482	в словесной	1	1
483	им и	1	1
484	случаях когда	1	1
485	что она	1	1
486	себя как	1	1
487	или даже	2	1
488	лишь часть	1	1
489	не существует	1	1
490	далеко не	10	1
491	и о	4	1
492	в античной	2	1
493	бы быть	3	1
494	является не	2	1
495	в мире	9	1
496	на который	1	1
497	вместе с	3	1
498	для понимания	2	1
499	науке о	2	1
500	понимания и	1	1
501	одна из	1	1
502	этого слова	1	1
503	другом месте	1	1
504	в которых	5	1
505	но не	17	1
506	в литературоведении	2	1
507	так в	1	1
508	включает в	1	1
509	в лирике	7	1
510	в ряду	4	1
511	но если	1	1
512	одно из	4	1
513	с его	9	1
514	и утверждаю	1	1
515	при изучении	1	1
516	что до	1	1
517	ли не	3	1
518	при таком	1	1
519	на одном	1	1
520	и именно	1	1
521	себя и	2	1
522	и стилистически	1	1
523	поэзии в	1	1
524	тех или	1	1
525	в такой	1	1
526	на всем	1	1
527	утверждая что	1	1
528	быть и	2	1
529	в то	8	1
530	тут же	3	1
531	не отвечает	1	1
532	общем виде	2	1
533	должно было	2	1
534	отнюдь не	11	1
535	не создает	1	1
536	нем только	1	1
537	о которых	1	1
538	понятие о	3	1
539	может и	4	1
540	и оно	1	1
541	в условиях	1	1
542	в себя	7	1
543	не знала	1	1
544	воздействия на	1	1
545	в системе	1	1
546	для этого	1	1
547	с ее	3	1
548	художественного творчества	1	1
549	как весьма	2	1
550	и это	3	1
551	переходе от	2	1
552	возможности но	1	1
553	и чем	1	1
554	того же	5	1
555	есть она	1	1
556	из одного	1	1
557	в едином	2	1
558	в виде	1	1
559	только о	2	1
560	эта возможность	1	1
561	не должна	1	1
562	это единая	1	1
563	к нему	1	1
564	до его	1	1
565	едва ли	2	1
566	часто и	1	1
567	еще одно	1	1
568	говорит как	1	1
569	угадывается в	1	1
570	общения а	1	1
571	мысли в	1	1
572	тем более	1	1
573	искусства в	1	1
574	формы и	1	1
575	как система	1	1
576	особенно в	1	1
577	которая и	2	1
578	внутренней речи	5	1
579	своего развития	1	1
580	на материале	1	1
581	себе а	1	1
582	фигурирует в	1	1
583	и сами	1	1
584	на все	1	1
585	еще не	20	1
586	ценностный кругозор	1	1
587	тех случаях	1	1
