N	4gram	Vygotskiy_	VeschiIm
1	не что иное как	2	12
2	бы то ни было	1	12
3	есть не что иное	1	8
4	одно и то же	6	5
5	с этой точки зрения	4	4
6	ни в каком случае	1	4
7	в то время как	5	4
8	указывает на то что	1	3
9	какого бы то ни	1	2
10	заключается в том что	16	2
11	в том что он	1	2
12	мы должны сказать что	2	1
13	и не потому что	1	1
14	только в том что	4	1
15	в том смысле что	2	1
16	одном и том же	2	1
17	к одному и тому	5	1
18	не только то что	1	1
19	что с точки зрения	1	1
20	и более или менее	1	1
21	с одной стороны и	1	1
22	мы видим таким образом	5	1
23	одного и того же	5	1
24	при каких условиях не	1	1
25	что как бы ни	1	1
26	не только потому что	1	1
27	это значит что в	1	1
28	но само по себе	1	1
29	из того что мы	1	1
30	для этого метода является	1	1
31	том что он не	1	1
32	не содержит в себе	1	1
33	если мы скажем что	1	1
34	ни при каких условиях	2	1
35	связанных друг с другом	1	1
36	одному и тому же	5	1
37	то время как другие	1	1
38	видим таким образом что	5	1
39	в этом и заключается	2	1
40	заключается в том чтобы	2	1
41	и вместе с тем	2	1
42	в том что это	1	1
43	не только в смысле	1	1
44	один и тот же	6	1
