1	и т д в	2	3
2	с этой точки зрения	2	3
3	и т д но	5	2
4	но вместе с тем	1	2
5	но в том-то и	1	2
6	с одной стороны и	3	1
7	и т д эти	1	1
8	прийти к выводу что	1	1
9	дело не только в	1	1
10	состоит в том что	2	1
11	не только в том	1	1
12	приводят к тому что	1	1
13	на вопрос о том	4	1
14	но с другой стороны	1	1
15	точно так же как	1	1
16	как мы уже знаем	2	1
17	и т д и	1	1
18	бы то ни было	1	1
19	во всяком случае не	2	1
20	только в том чтобы	1	1
21	том-то и дело что	1	1
22	ответ на вопрос о	1	1
23	в том что он	1	1
24	но дело не только	1	1
25	о том что такое	5	1
26	в зависимости от того	1	1
27	в свое время не	2	1
28	ответ на вопрос что	1	1
29	ответ на этот вопрос	2	1
30	в том-то и дело	1	1
31	а в том чтобы	1	1
32	то же самое и	1	1
