N	2gram	Tiupa_Lite	Problemy
1	и в	26	106
2	и не	19	90
3	как бы	8	70
4	может быть	24	66
5	в его	9	56
6	в этом	19	52
7	в нем	4	51
8	не может	10	49
9	как и	13	44
10	что он	8	44
11	у достоевского	2	43
12	точки зрения	8	40
13	но и	25	40
14	для него	6	39
15	и его	7	39
16	а не	28	38
17	о себе	7	37
18	то же	13	36
19	не только	29	36
20	в пределах	4	35
21	то что	14	33
22	но в	5	33
23	прежде всего	14	32
24	он не	4	29
25	в то	12	29
26	чужого слова	1	29
27	и все	1	28
28	в одном	2	27
29	не в	11	27
30	к другому	1	27
31	к себе	3	26
32	же время	12	26
33	в самом	4	25
34	и с	4	25
35	к нему	1	25
36	с точки	4	25
37	в сущности	5	25
38	и т	2	25
39	себе самому	1	25
40	с самим	1	24
41	не как	4	24
42	вовсе не	3	24
43	героя и	2	24
44	самом деле	2	24
45	рядом с	1	23
46	и на	5	23
47	слова и	6	23
48	в каждом	2	22
49	что я	4	22
50	таким образом	4	22
51	как мы	2	21
52	все же	6	20
53	никогда не	5	20
54	только в	8	20
55	потому что	5	20
56	что же	1	19
57	что в	7	19
58	достоевского в	1	19
59	с его	5	19
60	отношению к	4	19
61	слова в	2	19
62	уже не	9	18
63	по отношению	6	18
64	т п	2	18
65	в себе	8	18
66	еще не	4	18
67	о нем	1	18
68	на самом	1	18
69	но не	8	18
70	все эти	2	18
71	и к	1	17
72	самим собою	2	17
73	с ним	2	17
74	а в	5	17
75	в том	22	17
76	это не	4	17
77	так и	7	17
78	так же	1	16
79	если бы	1	16
80	в своей	5	16
81	в другом	3	16
82	о мире	1	15
83	у него	5	15
84	до конца	3	15
85	и для	1	15
86	и наконец	2	15
87	и сам	6	14
88	на чужое	1	14
89	в своем	12	14
90	как раз	6	14
91	в конце	6	14
92	а как	2	14
93	в отношении	2	14
94	себя самого	1	14
95	так как	2	14
96	я не	8	14
97	он и	5	14
98	с другим	1	14
99	лишь в	4	14
100	но все	1	13
101	на него	1	13
102	с другими	1	13
103	его в	4	13
104	большинстве случаев	1	13
105	в мире	9	13
106	героя в	2	13
107	в романе	1	13
108	себя и	3	13
109	перед нами	1	13
110	в большинстве	1	13
111	в целом	10	13
112	при этом	23	12
113	даже в	6	12
114	отношении к	2	12
115	и как	2	12
116	и даже	9	12
117	к тому	3	12
118	во всяком	3	12
119	в котором	1	12
120	к чужому	1	12
121	что и	3	12
122	не знает	3	12
123	так сказать	1	12
124	себе и	2	12
125	так что	4	12
126	и что	2	12
127	за пределы	3	12
128	было бы	4	12
129	между тем	2	12
130	одного сознания	1	12
131	как в	5	12
132	том что	19	12
133	но это	2	12
134	ничего не	3	12
135	в одной	1	12
136	в плане	1	12
137	тем что	6	11
138	с другой	11	11
139	он сам	2	11
140	должно быть	1	11
141	бы в	1	11
142	не могут	1	11
143	сознания и	1	11
144	она не	1	11
145	как будто	2	11
146	конце концов	1	11
147	а я	2	11
148	более того	1	11
149	самого начала	1	10
150	в произведении	1	10
151	что не	3	10
152	сих пор	1	10
153	в него	1	10
154	до сих	1	10
155	для себя	6	10
156	в слове	3	10
157	приводит к	4	10
158	в творчестве	2	10
159	той же	5	10
160	к одному	1	10
161	далеко не	4	10
162	отношение к	1	10
163	в той	1	9
164	другой стороны	5	9
165	в них	1	9
166	хотя бы	3	9
167	достоевского но	1	9
168	но он	1	9
169	с самого	1	9
170	могут быть	4	9
171	всяком случае	2	9
172	самим собой	2	9
173	да и	3	9
174	романе достоевского	1	9
175	или в	1	9
176	раз и	2	9
177	и потому	1	9
178	человека в	5	9
179	же и	3	8
180	в результате	2	8
181	и до	1	8
182	о том	3	8
183	художественного видения	2	8
184	все время	1	8
185	из них	5	8
186	и он	3	8
187	несмотря на	3	8
188	ни было	2	8
189	но как	3	8
190	одним из	8	8
191	здесь не	1	8
192	и у	1	8
193	я вам	1	8
194	и от	1	8
195	должна быть	3	8
196	был бы	1	8
197	что это	1	8
198	никак не	2	8
199	не на	2	8
200	в диалоге	1	8
201	наконец в	2	8
202	из его	2	8
203	самого автора	1	8
204	в произведениях	1	8
205	как к	4	8
206	уже в	7	8
207	того что	7	8
208	с их	3	8
209	с другом	1	8
210	в стиле	1	8
211	знает и	1	8
212	и о	1	8
213	от него	2	7
214	тем как	1	7
215	мысли и	1	7
216	в виду	4	7
217	в жизни	7	7
218	чужого сознания	4	7
219	отличается от	1	7
220	вопрос о	1	7
221	в себя	5	7
222	только на	3	7
223	сказать что	1	7
224	от себя	2	7
225	что они	1	7
226	это я	1	7
227	не было	5	7
228	не о	1	7
229	героя с	2	7
230	я все	3	7
231	между ними	1	7
232	себя как	2	7
233	в этих	2	7
234	во всех	4	7
235	то ни	1	7
236	кажется что	1	7
237	и др	4	7
238	бы то	1	7
239	например в	3	7
240	автора и	1	7
241	он в	1	7
242	тот же	1	7
243	в их	3	7
244	все равно	1	7
245	в виде	1	7
246	мира и	1	7
247	к своему	2	7
248	такой же	3	7
249	во всем	1	6
250	время не	2	6
251	него в	2	6
252	сознаний в	1	6
253	в своих	5	6
254	в построении	1	6
255	самому и	1	6
256	не менее	11	6
257	на фоне	5	6
258	и нет	4	6
259	но эти	1	6
260	превращается в	2	6
261	достоевского это	1	6
262	как на	3	6
263	одна из	8	6
264	не мог	3	6
265	на почве	2	6
266	в художественном	6	6
267	на этом	3	6
268	слово как	1	6
269	а с	2	6
270	но зато	2	6
271	можно было	3	6
272	в этой	7	6
273	я в	12	6
274	себя в	7	6
275	во время	1	6
276	он говорил	1	6
277	и здесь	1	6
278	за ним	1	6
279	от автора	2	6
280	отношения к	1	6
281	ни был	2	6
282	может стать	1	6
283	в которых	1	6
284	зависимости от	1	6
285	знает что	1	6
286	в основе	5	6
287	и вот	2	6
288	другого в	4	6
289	сознаний с	1	6
290	в отличие	6	6
291	и во	1	6
292	друг друга	5	6
293	на вопрос	1	6
294	но с	3	6
295	стремится к	1	6
296	по существу	4	6
297	что ж	1	6
298	отличие от	6	6
299	как он	2	6
300	в начале	4	6
301	художественного мира	3	6
