N	3gram	Nazirov_Vr	Russkaja
1	то же время	4	10
2	в то же	4	10
3	с точки зрения	2	9
4	в том что	2	7
5	во всяком случае	1	6
6	а между тем	1	5
7	до сих пор	1	5
8	не может быть	2	4
9	на то что	1	4
10	в конце концов	1	3
11	и то что	1	3
12	к вопросу о	1	3
13	и не может	1	3
14	точно так же	1	2
15	о том что	1	2
16	а следовательно и	1	2
17	но для нас	1	1
18	но при этом	1	1
19	на россию в	1	1
20	но в то	2	1
21	речь идет о	1	1
22	самим собой в	1	1
23	в нем самом	1	1
24	но и от	1	1
25	так же как	1	1
26	и во всем	1	1
27	не только от	1	1
28	по крайней мере	1	1
29	заключается в том	1	1
30	и что в	2	1
31	но мы знаем	1	1
32	на первый взгляд	1	1
33	тем что он	1	1
34	в связи с	3	1
35	и все же	5	1
36	в том же	1	1
37	за границей и	1	1
38	тем не менее	1	1
39	между прочим и	1	1
40	в этом отношении	1	1
41	в свою очередь	1	1
42	это и есть	1	1
43	тем более что	1	1
44	и в этом	1	1
45	идет не об	1	1
46	речь идет не	1	1
