N	4gram	Tiupa_Lite	SlovoVZh
1	дело в том что	2	4
2	бы то ни было	1	3
3	с одной стороны и	1	2
4	одно и то же	1	2
5	эти и подобные им	2	2
6	в руках у нас	1	1
7	закрепленные в словесном материале	1	1
8	мы имеем дело с	1	1
9	между людьми лишь отраженные	1	1
10	какой бы то ни	1	1
11	но в то же	1	1
12	отраженные и закрепленные в	1	1
13	со специфической социальной структурой	1	1
14	события со специфической социальной	1	1
15	одним и тем же	1	1
16	в том что в	1	1
17	не может быть ни	1	1
18	отношения между людьми лишь	1	1
19	все более и более	1	1
20	людьми лишь отраженные и	1	1
21	и закрепленные в словесном	1	1
22	художественного события со специфической	1	1
23	лишь отраженные и закрепленные	1	1
24	и не может быть	1	1
25	обстоит дело и с	1	1
26	то же время не	2	1
27	тех или иных приемов	1	1
28	в то же время	12	1
