N	3gram	Losev_Vesc	TeoriaLi
1	в том что	9	10
2	в то же	5	8
3	то же время	4	8
4	с другой стороны	3	6
5	более или менее	4	6
6	не может быть	22	5
7	для того чтобы	2	5
8	так или иначе	5	5
9	в данном случае	2	5
10	одного и того	1	4
11	и того же	1	4
12	в свою очередь	5	3
13	с точки зрения	6	3
14	в этом смысле	2	3
15	тем не менее	11	3
16	можно сказать что	3	3
17	подобно тому как	5	3
18	по своей природе	1	3
19	тех или иных	2	3
20	в связи с	1	3
21	с одной стороны	3	3
22	тот или иной	1	3
23	суть то что	1	2
24	в данный момент	1	2
25	этой точки зрения	3	2
26	и в самом	1	2
27	с этой точки	3	2
28	в самом деле	7	2
29	в коем случае	1	2
30	в самом начале	1	2
31	и то же	5	2
32	ни в коем	1	2
33	внутренней и внешней	1	2
34	в отношении к	2	2
35	одно и то	5	2
36	но в то	1	2
37	и в то	3	2
38	том что он	2	2
39	не только не	4	2
40	мы имеем дело	2	2
41	то ни было	12	2
42	сама по себе	7	2
43	к тому что	2	2
44	бы то ни	12	2
45	ту или иную	3	2
46	вслед за кантом	1	2
47	коем случае не	1	2
48	в основе своей	2	2
49	может быть и	1	2
50	что он не	1	1
51	в другом –	1	1
52	нести на себе	1	1
53	о том о	1	1
54	в той или	2	1
55	с тем же	1	1
56	не что иное	12	1
57	в одном и	2	1
58	не только мы	1	1
59	весьма узко и	1	1
60	все то что	2	1
61	и потому что	1	1
62	и том же	1	1
63	сводится к одному	2	1
64	превращая его в	2	1
65	и прежде всего	1	1
66	вещи но и	2	1
67	по себе а	1	1
68	вмещает в себя	1	1
69	основе своей является	1	1
70	никак не может	1	1
71	вбирает в себя	3	1
72	только о том	2	1
73	имя как раз	1	1
74	себя и что	1	1
75	не содержит в	1	1
76	по крайней мере	10	1
77	человек имеет дело	1	1
78	заключается в том	3	1
79	ту же самую	1	1
80	один из видов	1	1
81	не в состоянии	1	1
82	о том что	4	1
83	в xix веке	1	1
84	то или иное	1	1
85	есть как бы	3	1
86	вещей но в	1	1
87	с другой –	1	1
88	в свое время	2	1
89	дело не в	1	1
90	в себе и	1	1
91	она могла бы	2	1
92	в частности –	1	1
93	внутреннее и внешнее	1	1
94	какой бы то	1	1
95	не только к	2	1
96	в себя смысл	2	1
97	это и есть	4	1
98	с самим собою	2	1
99	и многих других	1	1
100	– не может	1	1
101	от этого в	1	1
102	на вопрос о	1	1
103	и как бы	1	1
104	одной стороны и	1	1
105	личности а не	1	1
106	имеем дело не	2	1
107	в самом общем	1	1
108	в себе никаких	1	1
109	относится не только	1	1
110	дело в том	4	1
111	для него не	1	1
112	у нее нет	1	1
113	именно потому что	1	1
114	чего бы то	2	1
115	и в частности	2	1
116	а и в	9	1
117	и здесь мы	1	1
118	как бы вбирает	1	1
119	самом деле –	1	1
120	в первом случае	2	1
121	по своей структуре	1	1
122	в самой себе	1	1
123	в то время	4	1
124	самим собою в	1	1
125	бы вбирает в	1	1
126	прежде всего к	1	1
127	таким образом что	1	1
128	а не сама	1	1
129	речь идет о	1	1
130	содержит в себе	11	1
131	как раз в	2	1
132	в зависимости от	1	1
133	том о чем	1	1
134	из того что	3	1
135	так же как	2	1
136	это уже не	1	1
137	предстают перед нами	1	1
138	уже не просто	2	1
139	в том или	2	1
140	в отдельности и	2	1
141	в этом случае	1	1
142	можно говорить о	2	1
143	я в свою	1	1
144	ни от кого	1	1
145	а в том	1	1
146	и а и	1	1
147	есть не что	8	1
148	слова в отличие	1	1
149	к другому человеку	1	1
150	в себя не	1	1
151	каждой из них	1	1
152	в новое время	1	1
153	то же самое	1	1
154	– независимо от	1	1
155	та или иная	1	1
156	что иное как	12	1
157	только то что	3	1
158	думаю что в	1	1
159	в одном случае	1	1
160	точки зрения и	1	1
161	одном и том	1	1
162	а не только	2	1
163	таким образом и	1	1
164	строго говоря и	1	1
165	является одним из	1	1
166	того же типа	1	1
167	еще и потому	1	1
168	что несмотря на	1	1
169	в полной мере	1	1
170	это было бы	1	1
