N	2gram	Bakhtin_Fr	NovoeSre
1	а не	6	17
2	не может	5	16
3	и в	68	16
4	во имя	1	15
5	нового времени	2	12
6	и не	25	11
7	и есть	5	10
8	что в	14	9
9	истории и	1	9
10	в эпоху	18	9
11	в том	12	8
12	жизни и	6	8
13	он не	11	8
14	в этом	28	7
15	может быть	10	7
16	средние века	2	7
17	в новой	1	7
18	это есть	2	7
19	культуры и	7	7
20	как и	17	7
21	к новому	2	7
22	ни в	6	6
23	не знает	1	6
24	не в	2	6
25	лишь в	3	6
26	высшей степени	1	6
27	с его	6	6
28	но это	5	6
29	в высшей	1	6
30	никогда не	2	6
31	и к	4	5
32	не только	21	5
33	в ней	6	5
34	все это	6	5
35	xix века	5	5
36	в жизни	1	5
37	в нем	12	5
38	с ее	1	5
39	культуры в	3	5
40	перестает быть	2	4
41	и потому	6	4
42	и xx	1	4
43	и мы	2	4
44	по своему	3	4
45	быть может	2	4
46	не во	1	4
47	со всех	1	4
48	должно быть	1	4
49	потому что	3	4
50	большую роль	3	4
51	xix и	1	4
52	это не	5	4
53	прежде всего	23	4
54	в них	19	4
55	то что	11	4
56	не было	7	4
57	новое время	1	4
58	есть лишь	1	4
59	и все	16	4
60	государства и	1	4
61	всех сторон	2	4
62	не менее	2	4
63	не имеет	1	4
64	и для	6	4
65	эпохи и	3	4
66	о том	5	4
67	к лицу	1	3
68	во всех	8	3
69	тому как	2	3
70	в ее	5	3
71	эти формы	1	3
72	смысле слова	5	3
73	что такое	1	3
74	в прошлом	2	3
75	лицом к	1	3
76	старого мира	4	3
77	конечно не	4	3
78	подобно тому	2	3
79	в истории	5	3
80	в новое	1	3
81	в духе	11	3
82	с другой	8	3
83	в основе	7	3
84	в средние	1	3
85	к ним	1	3
86	сказать что	3	3
87	французской революции	1	3
88	всех сферах	1	3
89	с тем	1	3
90	не значит	1	3
91	к жизни	2	3
92	xx веков	1	3
93	в своей	11	3
94	в мире	6	3
95	как в	4	3
96	жизни в	1	3
97	но и	17	3
98	это было	2	3
99	еще не	3	3
100	с этим	2	2
101	все они	5	2
102	и от	4	2
103	и весь	2	2
104	это и	4	2
105	ни к	1	2
106	силы и	2	2
107	права на	1	2
108	и что	2	2
109	возвращается к	1	2
110	не могли	1	2
111	на протяжении	7	2
112	с одной	5	2
113	хотя бы	2	2
114	такого рода	5	2
115	мы не	3	2
116	того чтобы	6	2
117	старый мир	2	2
118	хотя и	2	2
119	в нашу	2	2
120	так и	8	2
121	как это	1	2
122	самой жизни	2	2
123	не погиб	1	2
124	этот мир	2	2
125	думать что	2	2
126	одной стороны	4	2
127	не могла	1	2
128	можно было	3	2
129	и должно	1	2
130	не ставит	1	2
131	другой стороны	5	2
132	времени и	5	2
133	с их	5	2
134	у него	14	2
135	к самой	1	2
136	и гуманизм	1	2
137	а в	3	2
138	все время	3	2
139	и даже	7	2
140	века и	5	2
141	реального в	1	2
142	и с	15	2
143	государство и	1	2
144	от новой	2	2
145	на уровне	2	2
146	не хотят	1	2
147	и начинается	1	2
148	вернуться к	1	2
149	связана с	4	2
150	жизни как	2	2
151	для этого	3	2
152	нет и	1	2
153	xviii века	6	2
154	равно как	2	2
155	и культуры	1	2
156	в себе	5	2
157	том чтобы	1	2
158	и на	16	2
