N	3gram	Bakhtin_sl	DiskursI
1	в том что	4	28
2	в отличие от	12	26
3	по отношению к	2	17
4	с одной стороны	7	14
5	не может быть	11	12
6	в данном случае	3	12
7	то же время	15	10
8	той или иной	13	10
9	о том что	2	9
10	в то же	15	8
11	в этом отношении	2	8
12	как и в	2	7
13	так и в	5	6
14	по крайней мере	1	6
15	с точки зрения	11	6
16	одной стороны и	2	5
17	с другой стороны	5	5
18	в значительной степени	6	5
19	в свою очередь	3	5
20	и может быть	1	5
21	дело в том	1	5
22	не только в	3	5
23	до известной степени	3	4
24	тем не менее	2	4
25	можно сказать что	1	4
26	существенную роль в	1	4
27	в частности в	1	4
28	и прежде всего	1	4
29	и не может	2	4
30	в свое время	1	4
31	в этом случае	4	4
32	однако при этом	1	4
33	в том числе	1	3
34	и вследствие этого	1	3
35	более или менее	5	3
36	и то же	2	3
37	того или иного	2	3
38	по аналогии с	1	3
39	том числе и	1	3
40	а не в	1	3
41	то есть в	1	3
42	в этом жанре	1	3
43	и в частности	1	3
44	одно и то	2	3
45	том что в	1	3
46	во всяком случае	7	3
47	также и в	1	3
48	и столь же	1	2
49	бы то ни	1	2
50	все то что	1	2
51	но здесь это	1	2
52	точка зрения на	3	2
53	в большинстве случаев	11	2
54	сами по себе	1	2
55	хотя и в	1	2
56	речь идет о	1	2
57	большей или меньшей	5	2
58	и в то	6	2
59	а в том	1	2
60	то ни было	1	2
61	чужой речи и	1	2
62	точки зрения на	4	2
63	в новое время	2	2
64	а не только	1	2
65	и в том	2	2
66	в том и	2	2
67	в одном из	1	2
68	могла бы быть	1	2
69	своего и чужого	4	2
70	к чужому слову	6	2
71	дело не с	2	2
72	не столько в	1	2
73	но и в	2	2
74	а не как	2	2
75	и в особенности	5	2
76	и той же	1	2
77	один из важнейших	2	2
78	с той или	1	2
79	же время и	2	2
80	включает в себя	3	2
81	как мы видели	2	2
82	одной и той	1	2
83	одной из возможных	1	2
84	с самого начала	1	2
85	тем или иным	1	2
86	так и на	1	2
87	то есть к	1	2
88	а также и	3	2
89	прежде всего в	1	2
90	что он не	1	1
91	время от времени	1	1
92	в той или	12	1
93	обстоит дело в	1	1
94	между романом и	1	1
95	так и для	1	1
96	зоне контакта с	1	1
97	на каждом шагу	2	1
98	и даже не	1	1
99	в литературе и	1	1
100	в применении к	1	1
101	в чем не	1	1
102	между настоящим и	1	1
103	и в другом	2	1
104	с большей или	1	1
105	здесь не только	1	1
106	во всех его	8	1
107	но и на	1	1
108	то или иное	1	1
109	его текст в	1	1
110	одни и те	1	1
111	хотя бы и	5	1
112	быть отнесены к	1	1
113	от аристотеля и	1	1
114	но оно не	3	1
115	для того чтобы	1	1
116	она во всяком	1	1
117	с ним в	1	1
118	не стремится к	1	1
119	в окружающем его	1	1
120	отношение к своему	2	1
121	говорит о том	1	1
