N	4gram	Tiupa_Anal	Psycholo
1	заключается в том что	1	23
2	одной и той же	2	12
3	в том что он	2	7
4	не что иное как	1	6
5	один и тот же	1	5
6	одного и того же	4	4
7	состоит в том что	1	4
8	прибавим к этому что	1	3
9	и в том что	1	3
10	в то же время	7	3
11	том что он не	1	3
12	мысль о том что	1	3
13	одни и те же	1	3
14	дело в том что	3	3
15	состоит в том чтобы	1	3
16	в том или ином	1	3
17	в том что по	1	2
18	в такой же мере	1	2
19	это имеет место в	1	2
20	с другой стороны и	1	2
21	в конечном счете к	1	2
22	в том что мы	1	2
23	приходит к выводу что	1	2
24	ни одна из них	1	2
25	что в конце концов	1	2
26	не в том что	1	2
27	есть не что иное	1	2
28	лицом к лицу с	1	1
29	само по себе а	1	1
30	не для того чтобы	1	1
31	достигает своего апогея в	1	1
32	не может быть признано	1	1
33	брожу ли я вдоль	1	1
34	клянется ей в вечной	1	1
35	мы уже говорили о	1	1
36	я вдоль улиц шумных	1	1
37	мы видим что в	1	1
38	ей в вечной любви	1	1
39	того или иного произведения	1	1
40	мы будем иметь дело	1	1
41	может быть определена как	1	1
42	будем иметь дело с	1	1
43	они принадлежат к числу	1	1
44	в каждом отдельном случае	2	1
45	а в нас самих	1	1
46	обстоит дело и в	1	1
47	одного сознания к другому	1	1
48	о том что по	1	1
49	речь идет о том	1	1
50	ни к чему не	1	1
51	от одного сознания к	1	1
52	по крайней мере в	2	1
53	что по крайней мере	1	1
54	а между тем в	1	1
55	за минуту до этого	1	1
56	но в таком случае	1	1
57	понимается при этом как	1	1
58	как это имеет место	1	1
59	одна из них не	1	1
60	в одном из двух	1	1
61	хотя и не всегда	1	1
62	ли я вдоль улиц	1	1
63	мы имеем дело с	1	1
64	между тем оказывается что	1	1
65	но и в том	1	1
