N	3gram	Savitsky_E	Myslijsy
1	в том что	6	47
2	не может быть	2	19
3	заключает в себе	3	19
4	только тогда когда	1	17
5	и т д	1	15
6	само по себе	4	14
7	в свою очередь	2	14
8	то же время	14	13
9	в том смысле	1	13
10	в то же	15	13
11	более или менее	1	12
12	смысле этого слова	1	12
13	с другой стороны	2	12
14	и в этом	4	12
15	только в том	2	12
16	во всяком случае	3	12
17	для того чтобы	5	11
18	в то время	1	10
19	с одной стороны	8	10
20	одного и того	1	9
21	и того же	1	9
22	то и другое	1	9
23	на то что	2	9
24	но и в	1	9
25	мы не можем	1	9
26	не могут быть	1	9
27	так и в	2	8
28	как бы ни	3	8
29	с тем что	1	8
30	в этом смысле	3	7
31	можно думать что	3	7
32	с точки зрения	16	7
33	можно сказать что	3	7
34	не только в	4	7
35	друг от друга	2	6
36	не заключает в	1	6
37	в том случае	1	5
38	по себе не	2	5
39	к тому что	1	5
40	то что в	2	5
41	мы видели что	1	4
42	и тот же	1	4
43	в том же	1	4
44	том смысле что	1	4
45	с этой точки	5	4
46	вслед за тем	2	4
47	в данном случае	2	4
48	в некотором смысле	3	4
49	но не в	1	4
50	один и тот	1	4
51	на этот вопрос	1	4
52	тех и других	1	4
53	в противном случае	1	4
54	дело в том	1	4
55	и то и	1	4
56	не более как	1	4
57	то есть к	1	4
58	в этом отношении	3	4
59	то время как	1	4
60	одной стороны и	6	3
61	рано или поздно	2	3
62	нельзя сказать чтобы	1	3
63	в применении к	3	3
64	для нас в	1	3
65	и связанное с	1	3
66	в большинстве случаев	2	3
67	та и другая	1	3
68	хотя бы и	3	3
69	говоря уже о	1	3
70	то есть в	1	3
71	и тем самым	1	3
72	во многих случаях	1	3
73	и та и	1	3
74	в связи с	1	3
75	бы то ни	4	3
76	но так как	1	3
77	между тем в	3	3
78	в одном из	2	3
79	заключается в том	2	3
80	того что мы	1	3
81	из того что	2	3
82	не говоря уже	2	3
83	можно было бы	3	3
84	есть то что	1	3
85	этой точки зрения	5	3
86	мы увидим что	1	3
87	это потому что	1	3
88	что же касается	1	3
89	с течением времени	2	3
90	нам кажется что	2	3
91	во многих других	1	2
92	в себе в	1	2
93	что оно не	1	2
94	то есть чем	1	2
95	что само по	1	2
96	и не имеет	2	2
97	и во многих	1	2
98	есть такая же	1	2
99	но не только	2	2
100	того что в	2	2
101	что как бы	1	2
102	а тем более	2	2
103	очевидно что в	2	2
104	имеет для нас	1	2
105	то ни было	4	2
106	это значит что	1	2
107	можем сказать что	1	2
108	друг к другу	1	2
109	но и для	1	2
110	для нас значение	1	2
111	что в таком	1	2
112	и в отношении	1	2
113	вероятно что в	1	2
114	и не в	1	2
115	в некоторых случаях	1	2
116	к тому чтобы	2	2
117	и тем более	1	2
118	в своем развитии	1	2
119	во внимание что	1	2
120	в себе не	1	2
121	при известных условиях	1	2
122	и та же	1	2
123	так же как	5	2
124	связанное с ним	1	2
125	как мы видели	2	2
126	одна и та	1	2
127	том случае если	1	2
128	было бы совершенно	1	2
129	и не только	1	2
130	как же будет	1	1
131	но и эта	1	1
132	и чем больше	1	1
133	каждого из них	1	1
134	и в некотором	1	1
135	же время не	1	1
136	о котором мы	1	1
137	это должно быть	1	1
138	как одно из	1	1
139	в других случаях	1	1
140	и в этих	1	1
141	во всех этих	1	1
142	по сравнению с	2	1
143	мы оставим в	1	1
144	но и то	1	1
145	какова должна быть	1	1
146	о которых мы	1	1
147	есть не только	2	1
148	независимо от этого	1	1
149	и со стороны	2	1
150	значение и это	1	1
151	помнить что в	1	1
152	в своей совокупности	1	1
153	вовсе не в	1	1
154	более близкие к	1	1
155	их отношении к	3	1
156	ответить на этот	1	1
157	в том числе	1	1
158	главным образом из	1	1
159	себе не только	1	1
160	это зависит от	1	1
161	что во многих	1	1
162	во многих отношениях	1	1
163	кроме того что	1	1
164	с такими же	1	1
165	что для него	1	1
166	не имеет значения	1	1
167	на такой вопрос	1	1
168	сказать что в	2	1
169	в своих частях	1	1
170	сказать даже что	1	1
171	именно тогда когда	1	1
172	на себе влияние	1	1
173	мы можем сказать	2	1
174	тем в одном	1	1
175	которые мы будем	1	1
176	например с точки	2	1
177	том числе и	1	1
178	же смысл имеет	1	1
179	как и всякая	1	1
180	не менее ее	1	1
181	в отличие от	1	1
182	не только те	1	1
183	к тому же	1	1
184	до настоящего времени	1	1
185	в его руках	1	1
186	для человеческого развития	1	1
187	оставим в стороне	1	1
188	мы видели в	1	1
189	из всего этого	1	1
190	имеет место в	2	1
191	одну и ту	1	1
192	в переводе на	1	1
193	мы видим как	1	1
194	в области где	1	1
195	нужно помнить что	1	1
196	был бы совершенно	1	1
197	с другой и	1	1
198	как и теперь	1	1
199	хотя и не	1	1
200	бы в одном	1	1
201	том что создание	1	1
202	если так то	1	1
203	то окажется что	2	1
204	большей или меньшей	1	1
205	все же следует	1	1
206	можно сказать даже	1	1
207	заключающее в себе	1	1
208	как мы не	1	1
209	значение только в	1	1
210	или поздно не	1	1
211	друг с другом	3	1
212	и ту же	1	1
213	теперь не только	1	1
214	при помощи этого	1	1
215	в силу этого	1	1
216	его мысль о	1	1
217	мы различаем три	1	1
218	вовлекает в свой	1	1
219	в их отношении	3	1
220	занять место в	1	1
221	именно потому что	1	1
222	если бы они	1	1
223	будет доказано что	1	1
224	на различия в	1	1
225	этот вопрос мы	1	1
226	так как мы	1	1
227	даже при самом	1	1
228	чтобы ответить на	1	1
229	их связь и	1	1
230	в большей или	1	1
231	что и сам	1	1
232	это можно утверждать	1	1
233	окажется что в	1	1
234	во всех случаях	3	1
235	другой стороны в	1	1
236	большего или меньшего	1	1
237	в психологии и	1	1
238	не может в	1	1
239	то в отношении	1	1
240	что же при	1	1
241	речь идет о	1	1
242	с но и	1	1
243	же как и	3	1
244	и человеческой жизни	1	1
245	теплоты то есть	1	1
246	и эта последняя	1	1
247	так же мало	2	1
248	во второй половине	2	1
249	но само по	1	1
250	если будет доказано	1	1
251	но какой бы	1	1
252	и притом с	1	1
253	или вовсе не	1	1
254	мы находим у	1	1
255	более чем в	1	1
256	может быть и	1	1
