N	3gram	Vygotskiy_	Otkroven
1	для того чтобы	24	3
2	до самого конца	1	2
3	не могут быть	3	2
4	с тем что	1	2
5	как и все	1	2
6	не может быть	6	2
7	но и в	1	2
8	и в этом	2	2
9	что у него	1	2
10	в самом начале	5	1
11	сам по себе	2	1
12	самое главное и	1	1
13	о том что	4	1
14	в том что	24	1
15	того чтобы сделать	2	1
16	друг с другом	6	1
17	но он еще	1	1
18	и то что	5	1
19	в этот период	2	1
20	одно из самых	1	1
21	в силе и	1	1
22	и вопрос о	1	1
23	бы он ни	1	1
24	как и в	4	1
25	в совершенно ином	1	1
26	но вопрос о	1	1
27	то что в	1	1
28	в самом деле	4	1
29	смысле этого слова	4	1
30	в силу чего	4	1
31	потому что у	4	1
32	во всяком случае	1	1
33	но и там	1	1
34	он еще не	1	1
35	к ней не	1	1
36	как это часто	1	1
37	вместо того чтобы	2	1
38	там и здесь	1	1
39	о том как	1	1
40	само по себе	1	1
41	в этом отношении	7	1
42	этой и в	1	1
43	по сравнению с	20	1
44	потому что в	1	1
45	на то что	5	1
46	самой мысли он	1	1
47	от того что	2	1
48	заключает в себе	2	1
49	том что в	3	1
50	прежде всего в	2	1
51	говорят о том	1	1
52	человека не только	1	1
53	после того как	1	1
54	и там и	1	1
55	и не может	2	1
56	стоящего над ними	1	1
57	друг к другу	3	1
