N	2gram	Voloshinov	IolandNe
1	и с	4	3
2	что в	5	2
3	он не	5	2
4	должен быть	2	2
5	бы что	1	2
6	ничего не	9	2
7	и не	42	2
8	в этом	27	2
9	говорить о	2	1
10	все эти	8	1
11	для того	8	1
12	и очень	1	1
13	а в	5	1
14	это было	2	1
15	и со	1	1
16	и та	2	1
17	что для	1	1
18	для него	18	1
19	не остается	2	1
20	тем что	3	1
21	только что	2	1
22	ибо и	1	1
23	от нее	2	1
24	а если	1	1
25	и чрезвычайно	1	1
26	того же	11	1
27	художественного творчества	1	1
28	не так	2	1
29	и др	3	1
30	первую очередь	1	1
31	жизни и	4	1
32	здесь отметим	1	1
33	с другой	6	1
34	но когда	1	1
35	в целом	2	1
36	было не	1	1
37	он с	1	1
38	стороны он	1	1
39	нее и	2	1
40	другой стороны	7	1
41	себя в	2	1
42	могло бы	1	1
43	в материале	4	1
44	в первую	1	1
45	как только	1	1
46	если бы	12	1
47	отношению к	9	1
48	следующим образом	2	1
49	в художественном	1	1
50	по существу	1	1
51	того что	5	1
52	а с	1	1
53	для других	5	1
54	только для	1	1
55	так то	1	1
56	и тот	4	1
57	так и	21	1
58	отметим только	1	1
59	в основе	10	1
60	в значительной	3	1
61	без этого	1	1
62	следовательно в	1	1
63	от этого	3	1
64	та и	1	1
65	того чтобы	9	1
66	и без	1	1
67	бы в	4	1
68	не дает	4	1
69	а по	1	1
70	есть только	1	1
71	и в	32	1
72	это был	1	1
73	никогда не	7	1
74	все это	4	1
75	по отношению	10	1
76	со всеми	1	1
77	нисколько не	1	1
78	как о	2	1
79	то она	1	1
