N	3gram	Propp_Isto	Analitik
1	в том что	8	25
2	не может быть	4	19
3	по отношению к	2	18
4	о том что	3	15
5	в данном случае	6	14
6	к тому же	4	13
7	мы имеем дело	1	11
8	с другой стороны	10	9
9	в свою очередь	1	9
10	подобно тому как	3	9
11	с одной стороны	2	9
12	состоит в том	2	8
13	с точки зрения	1	8
14	как и в	2	8
15	не только в	3	8
16	в таком случае	1	7
17	во всяком случае	2	7
18	что иное как	6	7
19	тем не менее	6	6
20	так или иначе	1	6
21	не что иное	6	6
22	не только не	2	5
23	есть не что	2	5
24	но и в	2	5
25	но и не	1	5
26	в этом случае	8	5
27	имеем дело с	1	5
28	здесь не только	1	4
29	в соответствии с	1	4
30	и не может	1	4
31	из того что	1	4
32	и то что	4	3
33	дело не в	1	3
34	в том числе	1	3
35	сами по себе	1	3
36	в зависимости от	1	3
37	в связи с	5	3
38	то же самое	1	3
39	а не с	1	3
40	в этой связи	1	3
41	тогда как в	1	3
42	можно сказать что	2	3
43	и той же	2	3
44	содержит в себе	2	3
45	одной и той	2	3
46	что он не	1	2
47	но в таком	1	2
48	мужских и женских	1	2
49	с этой точки	1	2
50	можно было бы	2	2
51	друг с другом	2	2
52	до сих пор	7	2
53	в обоих случаях	1	2
54	в такой же	1	2
55	смысле этого слова	3	2
56	и прежде всего	1	2
57	и в форме	1	2
58	принимает на себя	1	2
59	как если бы	1	2
60	к тому что	1	2
61	в тех случаях	2	2
62	в этих случаях	13	2
63	т е к	2	2
64	на то что	4	2
65	заключается в том	1	2
66	случае мы имеем	1	2
67	этой точки зрения	1	2
68	в таких случаях	2	2
69	не в состоянии	1	2
70	здесь мы имеем	3	2
71	тем более что	1	2
72	на этот вопрос	1	2
73	тех случаях когда	2	2
74	с этого момента	1	2
75	потому что я	1	1
76	только частный случай	1	1
77	в тексте упоминаются	1	1
78	должны были бы	1	1
79	это далеко не	1	1
80	и даже не	1	1
81	данном случае с	1	1
82	мы видим что	6	1
83	дело не только	1	1
84	во всех этих	1	1
85	несмотря на то	1	1
86	в себя и	1	1
87	вследствие чего она	1	1
88	имеется в виду	1	1
89	и тут же	1	1
90	один из характерных	1	1
91	но если бы	1	1
92	до вступления в	4	1
93	в целом но	1	1
94	из этих трех	1	1
95	что мы знаем	1	1
96	все еще не	1	1
97	таким же образом	1	1
98	достигает своей цели	1	1
99	друг от друга	1	1
100	в них и	1	1
101	но они не	1	1
102	что в них	2	1
103	исключают друг друга	1	1
104	вступает в брак	2	1
105	как это происходит	1	1
106	так что она	2	1
107	уже потому что	1	1
108	то что она	1	1
109	и если бы	1	1
110	прямо говорит о	1	1
111	не только на	1	1
112	хотя и в	1	1
113	указывает на его	1	1
114	нам уже известно	2	1
115	к своему собственному	1	1
116	он ничего не	2	1
117	этого персонажа и	1	1
118	с этой стороны	2	1
119	что они хотят	1	1
120	между собой и	1	1
121	что герой в	1	1
122	это происходит в	1	1
123	и вместе с	1	1
124	нельзя сказать что	1	1
125	не исключают друг	1	1
126	он притворяется что	1	1
127	характерно и то	1	1
128	уже говорилось о	1	1
129	не говорит и	1	1
130	ставит себе целью	1	1
131	что как бы	1	1
132	что в этом	1	1
133	с тех пор	1	1
134	при всей своей	1	1
135	себе ничего не	1	1
136	не ставит себе	1	1
137	все же не	1	1
138	не случайно и	1	1
139	только то что	1	1
140	на самом же	1	1
141	об одном из	1	1
142	с ними в	1	1
143	себя не только	1	1
144	здесь несколько иная	1	1
145	и в том	1	1
146	же самое что	1	1
147	не только по	1	1
148	на передний план	1	1
149	на тех же	1	1
150	до того что	1	1
151	и полагает что	1	1
152	ли есть необходимость	1	1
153	и вступает в	1	1
154	в одном из	2	1
155	но он не	1	1
156	по себе ничего	1	1
157	и не всегда	1	1
158	но прежде всего	1	1
159	вместе с тем	1	1
160	что он ничего	1	1
161	самом же деле	1	1
162	видим что в	1	1
163	в большинстве случаев	2	1
164	и может быть	1	1
165	можно утверждать что	2	1
166	к тому времени	1	1
167	в том смысле	1	1
168	а затем уже	1	1
169	он при этом	1	1
170	не случайно он	1	1
171	одна или несколько	2	1
172	в виду не	1	1
173	точно так же	8	1
174	принадлежит одному из	1	1
175	в то время	2	1
176	то что они	1	1
177	стороны не только	1	1
178	хотя и не	1	1
179	и тем что	2	1
180	равно как и	1	1
181	на самом деле	1	1
182	и должно было	1	1
183	и здесь мы	2	1
184	и каждое из	1	1
185	всех этих случаях	1	1
186	очень близки к	1	1
187	еще не означает	1	1
188	также и в	1	1
189	не входил в	1	1
190	мы имеем в	4	1
191	к этому же	2	1
192	говорилось о том	1	1
193	же как и	3	1
194	как мы увидим	2	1
195	в связь с	1	1
196	солнца и луны	1	1
197	этом случае в	1	1
198	другой стороны и	3	1
199	во второй раз	2	1
200	а в его	1	1
201	между прочим и	2	1
202	мы уже говорили	1	1
203	перстень на руку	1	1
204	что и в	3	1
205	не только как	1	1
206	мы имеем не	2	1
207	после того как	3	1
