N	4gram	Ircho_Kome	Freidism
1	в то же время	11	6
2	мы можем сказать что	1	5
3	ни в чем не	2	4
4	один и тот же	3	3
5	в зависимости от того	1	2
6	в том что она	1	2
7	бы то ни было	3	2
8	в самом деле можно	1	1
9	если бы он был	1	1
10	и в голову не	1	1
11	и не нуждается в	1	1
12	мы имеем в виду	2	1
13	его в том что	1	1
14	много лет тому назад	1	1
15	если бы он не	1	1
16	друг с другом и	1	1
17	в том что в	1	1
18	можно сделать вывод что	1	1
19	до сих пор не	2	1
20	по отношению ко всем	1	1
21	и в то же	2	1
22	в собственном смысле слова	1	1
23	сказать несколько слов о	1	1
