N	2gram	Nazirov_Tv	Problemy
1	и в	40	106
2	и не	12	90
3	как бы	26	70
4	может быть	11	66
5	т е	1	59
6	в его	19	56
7	в этом	11	52
8	в нем	4	51
9	не может	9	49
10	из подполья	19	48
11	как и	16	44
12	что он	11	44
13	у достоевского	51	43
14	но и	10	40
15	для него	9	39
16	и его	14	39
17	а не	9	38
18	то же	19	36
19	не только	16	36
20	в пределах	1	35
21	то что	9	33
22	но в	11	33
23	прежде всего	10	32
24	он не	10	29
25	в то	23	29
26	все это	14	29
27	и все	6	28
28	в одном	3	27
29	не в	3	27
30	к себе	1	26
31	же время	18	26
32	в самом	6	25
33	и с	9	25
34	к нему	1	25
35	в сущности	1	25
36	и т	14	25
37	с самим	1	24
38	вовсе не	5	24
39	героя и	4	24
40	самом деле	4	24
41	рядом с	2	23
42	и на	12	23
43	слова и	1	23
44	по себе	2	22
45	в каждом	4	22
46	что я	4	22
47	таким образом	14	22
48	как мы	1	21
49	все же	9	20
50	никогда не	13	20
51	только в	7	20
52	потому что	10	20
53	что же	1	19
54	что в	17	19
55	достоевского в	19	19
56	с его	12	19
57	отношению к	3	19
58	уже не	6	18
59	по отношению	3	18
60	т п	4	18
61	в себе	3	18
62	еще не	5	18
63	о нем	2	18
64	на самом	3	18
65	но не	7	18
66	все эти	3	18
67	слово о	1	18
68	и к	1	17
69	себе самом	1	17
70	с ним	4	17
71	а в	10	17
72	в том	13	17
73	это не	9	17
74	так и	5	17
75	человека из	1	17
76	так же	6	16
77	если бы	4	16
78	в своей	8	16
79	в другом	1	16
80	у него	11	15
81	до конца	2	15
82	достоевского не	12	15
83	и наконец	3	15
84	и сам	5	14
85	в своем	4	14
86	как раз	2	14
87	в конце	5	14
88	а как	2	14
89	в отношении	1	14
90	себя самого	1	14
91	так как	6	14
92	я не	5	14
93	он и	1	14
94	с другим	3	14
95	лишь в	1	14
96	но все	1	13
97	на него	2	13
98	точка зрения	2	13
99	с другими	1	13
100	его в	2	13
101	в мире	8	13
102	мир достоевского	3	13
103	и это	2	13
104	достоевского и	5	13
105	героя в	4	13
106	роман достоевского	4	13
107	в романе	24	13
108	себя и	1	13
109	перед нами	3	13
110	в романах	25	13
111	творчестве достоевского	9	13
112	романа достоевского	7	13
113	в большинстве	1	13
114	в целом	7	13
115	при этом	14	12
116	даже в	4	12
117	отношении к	2	12
118	достоевского как	5	12
119	и как	5	12
120	и даже	8	12
121	к тому	2	12
122	во всяком	2	12
123	в котором	8	12
124	что и	3	12
125	не знает	2	12
126	так сказать	4	12
127	мире достоевского	5	12
128	так что	4	12
129	для достоевского	5	12
130	и что	2	12
131	было бы	2	12
132	между тем	2	12
133	как в	10	12
134	том что	14	12
135	у меня	1	12
136	но это	10	12
137	ничего не	3	12
138	в одной	5	12
139	в плане	4	12
140	тем что	2	11
141	их в	1	11
142	человек из	1	11
143	входит в	1	11
144	с другой	4	11
145	он сам	8	11
146	должно быть	1	11
147	слово и	1	11
148	мы уже	2	11
149	не могут	2	11
150	в двойнике	1	11
151	бы и	1	11
152	сливается с	4	11
153	этого слова	1	11
154	она не	2	11
155	как будто	5	11
156	конце концов	1	11
157	а я	3	11
