N	2gram	Losev_Vesc	DiskursI
1	в качестве	4	72
2	а не	34	60
3	может быть	37	56
4	не только	48	49
5	и в	44	49
6	как и	15	47
7	тогда как	3	47
8	при этом	1	46
9	и не	57	44
10	в том	15	44
11	то есть	2	41
12	том что	13	40
13	в этом	17	38
14	в себе	23	37
15	в частности	3	36
16	но и	19	35
17	но не	9	31
18	отличие от	1	28
19	со стороны	9	28
20	но в	8	28
21	так и	4	28
22	в отличие	1	27
23	не может	44	27
24	по своей	3	26
25	как в	3	25
26	отнюдь не	8	23
27	еще не	12	23
28	а также	1	20
29	в своей	6	19
30	все же	18	19
31	в нем	6	19
32	прежде всего	17	19
33	далеко не	2	18
34	в основе	4	18
35	то же	12	17
36	в данном	6	17
37	с другой	8	17
38	точки зрения	10	16
39	только в	23	16
40	о том	11	15
41	то что	47	15
42	в его	5	15
43	не менее	11	14
44	можно сказать	8	14
45	одной стороны	3	14
46	с одной	3	14
47	не в	14	14
48	ни к	3	14
49	не является	3	14
50	это не	9	14
51	или иной	1	14
52	как бы	19	13
53	для него	8	13
54	в целом	3	13
55	в своих	3	12
56	в своем	9	12
57	того же	5	12
58	природе своей	2	12
59	и на	2	12
60	и все	6	12
61	данном случае	2	12
62	по природе	2	11
63	не было	4	11
64	что в	11	11
65	с его	2	11
66	и как	12	11
67	не столько	2	10
68	той или	3	10
69	а с	3	10
70	для себя	6	10
71	а в	6	10
72	же время	4	10
73	также и	9	10
74	в них	1	9
75	уже не	15	9
76	себя в	11	9
77	внимание на	1	9
78	в силу	4	9
79	в то	11	9
80	сводится к	4	9
81	тем самым	2	9
82	в этих	1	8
83	и даже	12	8
84	к тому	3	8
85	в котором	4	8
86	в противоположность	1	8
87	в одном	6	8
88	из них	7	8
89	хотя и	5	8
90	в себя	13	8
91	он не	4	8
92	если в	1	8
93	не на	2	8
94	не следует	1	8
95	жизни в	3	8
96	потому что	25	8
97	этом отношении	2	8
98	человека в	1	8
99	не с	8	8
100	и о	4	8
101	о чем	2	7
102	другой стороны	3	7
103	быть определена	1	7
104	таким образом	16	7
105	одной из	1	7
106	что и	11	7
107	тому же	1	7
108	его в	8	7
109	к этому	2	7
110	в этой	4	7
111	я в	3	7
112	могут быть	1	7
113	ни в	11	7
114	приводит к	2	7
115	перед нами	3	7
116	той же	2	7
117	но это	14	7
118	и для	13	7
119	основе своей	2	7
120	в пределах	1	7
121	лишь в	1	7
122	и ее	19	7
123	и его	4	7
124	не как	2	6
125	одно из	2	6
126	однако при	1	6
127	именно в	2	6
128	и того	2	6
129	одна из	6	6
130	крайней мере	10	6
131	никогда не	5	6
