N	4gram	Tiupa_Anal	KulturaY
1	в то же время	7	6
2	не говоря уже о	1	5
3	состоит в том что	1	4
4	одного и того же	4	4
5	заключается в том что	1	4
6	в том что он	2	3
7	но с другой стороны	1	3
8	в тех случаях когда	1	3
9	не в том что	1	3
10	обращает на себя внимание	1	2
11	в той или иной	2	2
12	а в том что	1	2
13	не что иное как	1	2
14	одной и той же	2	2
15	одних и тех же	2	2
16	один и тот же	1	2
17	в конечном счете к	1	2
18	и в том что	1	1
19	не для того чтобы	1	1
20	ни то ни другое	1	1
21	накоплением веса к развязке	1	1
22	по крайней мере в	2	1
23	дело в том что	3	1
24	по себе еще не	1	1
25	в том что мы	1	1
26	сжатая сюжетная новелла с	1	1
27	позицию по отношению к	1	1
28	в войне и мире	2	1
29	с накоплением веса к	1	1
30	сама по себе еще	1	1
31	с тех пор как	1	1
32	однако с другой стороны	1	1
33	в том или ином	1	1
34	как это имеет место	1	1
35	из уст в уста	1	1
36	в качестве одного из	1	1
37	новелла с накоплением веса	1	1
38	в каждом из этих	1	1
39	есть не что иное	1	1
40	сюжетная новелла с накоплением	1	1
