N	3gram	Losev_Dial	Marksizm
1	с точки зрения	25	46
2	не может быть	12	25
3	в самом деле	6	19
4	то же время	3	15
5	в то же	3	15
6	в том что	12	14
7	в связи с	3	14
8	и не может	1	12
9	то ни было	1	12
10	бы то ни	2	12
11	для того чтобы	1	11
12	до сих пор	1	11
13	в отличие от	1	10
14	с самого начала	1	10
15	но в то	1	9
16	то же самое	1	8
17	с другой стороны	3	7
18	как мы уже	1	6
19	и пр и	2	6
20	на то что	3	6
21	на самом деле	1	6
22	во всяком случае	3	6
23	с одной стороны	3	6
24	и как бы	2	5
25	в таком случае	11	5
26	к тому что	2	5
27	самом же деле	1	5
28	на самом же	1	5
29	пр и пр	1	5
30	той или иной	2	5
31	в этом отношении	2	5
32	так и от	1	4
33	в зависимости от	3	4
34	в нем нет	2	4
35	и прежде всего	6	4
36	и пр в	2	4
37	о том что	6	4
38	можно сказать что	1	4
39	у нас не	1	4
40	не только в	1	3
41	в применении к	1	3
42	тем не менее	10	3
43	одной стороны и	1	3
44	и пр но	1	3
45	более или менее	1	3
46	и то же	2	3
47	но при этом	1	3
48	в конце концов	1	3
49	точки зрения самого	1	3
50	не могут быть	3	3
51	и в этом	4	3
52	мы ни взяли	1	3
53	в данный момент	2	3
54	на первый план	4	3
55	и не в	1	3
56	и той же	4	3
57	связи с этим	1	3
58	не было бы	1	3
59	одно и то	2	3
60	одной и той	4	3
61	тех пор пока	1	2
62	рано или поздно	1	2
63	ничего общего не	2	2
64	– все это	2	2
65	в этом смысле	1	2
66	в собственном смысле	1	2
67	в коем случае	4	2
68	и неотделим от	1	2
69	друг от друга	1	2
70	самом деле если	1	2
71	она не существует	1	2
72	так или иначе	2	2
73	– это и	1	2
74	мы никогда не	1	2
75	само по себе	8	2
76	в данном случае	3	2
77	в пределах одной	1	2
78	при этом условии	2	2
79	к тому же	2	2
80	из всего этого	1	2
81	в последнее время	2	2
82	не знает ни	1	2
83	в этом вопросе	1	2
84	сама по себе	11	2
85	а не только	2	2
86	и в том	1	2
87	со всех сторон	1	2
88	в нашем случае	1	2
89	к нему и	1	2
90	сами по себе	3	2
91	того или иного	3	2
92	с ними как	1	2
93	нет ничего что	1	2
94	от того что	4	2
95	и в особенности	1	2
96	а иногда и	1	2
97	по крайней мере	10	2
98	ту или иную	1	2
99	как и в	3	2
100	а следовательно и	1	2
101	со всеми ее	1	2
