N	2gram	Vinokur_Ku	KFilosof
1	может быть	25	45
2	в его	16	42
3	в нем	7	32
4	не может	13	29
5	и не	23	28
6	и в	44	28
7	по отношению	9	26
8	в котором	4	24
9	не есть	4	22
10	для меня	1	22
11	отношению к	9	22
12	в себе	4	21
13	только в	15	18
14	и его	8	18
15	в своем	4	17
16	в ее	2	17
17	а не	17	17
18	в этом	31	15
19	для него	2	13
20	не в	18	13
21	точки зрения	25	13
22	к нему	1	12
23	ни в	3	12
24	но не	11	12
25	и это	3	12
26	в своей	4	11
27	все эти	17	11
28	во всех	1	11
29	все это	10	10
30	это не	13	10
31	с точки	16	10
32	и есть	3	10
33	от себя	3	10
34	и для	3	10
35	в целом	5	10
36	в их	3	9
37	и все	4	9
38	но и	13	9
39	как бы	11	9
40	не было	6	8
41	если бы	21	8
42	быть только	3	8
43	со стороны	8	8
44	было бы	28	8
45	лишь в	6	8
46	в себя	2	8
47	жизни и	1	8
48	себя в	1	8
49	во всем	1	7
50	и здесь	8	7
51	что и	5	7
52	должен быть	8	7
53	вовсе не	18	7
54	уже не	13	7
55	совершенно не	4	7
56	то что	14	7
57	конечно не	3	7
58	на основе	2	7
59	для себя	1	7
60	момент в	1	7
61	и только	2	7
62	отнюдь не	5	7
63	должно быть	6	6
64	не значит	2	6
65	но все	5	6
66	в моем	1	6
67	менее всего	1	6
68	я не	5	6
69	не имеет	6	6
70	в смысле	2	6
71	смысл и	5	6
72	в том	47	6
73	и их	2	6
74	отношение к	2	6
75	место в	1	6
76	он не	4	6
77	но это	4	6
78	со всем	1	5
79	то же	12	5
80	мы имеем	11	5
81	не только	29	5
82	с ним	5	5
83	я могу	1	5
84	но как	2	5
85	его в	1	5
86	не знает	4	5
87	есть лишь	3	5
88	но в	11	5
89	именно в	7	5
90	бы быть	1	5
91	но ведь	3	5
92	как и	3	5
93	все же	17	5
94	жизни в	1	5
95	себя и	1	5
96	еще не	10	5
97	что я	4	5
98	хотя бы	19	5
99	и содержание	1	5
100	в одном	4	5
101	а в	7	5
102	единое и	1	5
103	я и	1	5
104	его как	1	5
105	в контексте	2	5
106	там где	7	5
107	никогда не	2	5
108	что в	25	4
109	поскольку мы	1	4
110	должна быть	6	4
111	при этом	6	4
112	ни было	1	4
113	что это	11	4
114	о нем	2	4
115	не как	2	4
116	для нас	6	4
117	прежде всего	14	4
118	в своих	2	4
119	как его	1	4
120	нет в	2	4
121	с ними	6	4
122	том что	30	4
123	в чем	2	4
124	в каком	6	4
125	могло бы	1	4
126	но можно	2	4
127	только как	3	4
128	нисколько не	6	4
129	могла бы	2	4
130	между тем	11	4
131	здесь мы	2	4
132	тем самым	5	4
133	к ним	2	4
134	быть в	2	4
135	из него	1	4
136	и может	3	3
137	та же	1	3
138	и на	8	3
139	слово не	1	3
140	здесь нет	1	3
141	на язык	4	3
142	и пр	23	3
143	мы не	1	3
144	был бы	4	3
145	тогда когда	7	3
146	и этот	1	3
147	если ты	1	3
148	того что	11	3
149	где он	1	3
150	ее целом	1	3
151	сознания и	1	3
152	бытие и	1	3
153	на самом	3	3
154	ясно что	7	3
155	а все	2	3
156	в виду	7	3
157	и делает	1	3
158	я имею	2	3
159	самом деле	17	3
160	и отношения	1	3
161	в некотором	1	3
162	тем что	9	3
163	но для	4	3
164	в акте	1	3
165	в корне	1	3
166	что этот	2	3
167	не дает	1	3
168	рядом с	7	3
169	не менее	12	3
170	для этой	2	3
171	по своему	1	3
172	бы не	1	3
173	здесь не	5	3
174	лишь как	3	3
175	поскольку он	1	3
176	себе и	3	3
177	но конечно	1	3
178	той или	1	3
179	в каждом	3	3
180	это и	6	3
181	того или	6	3
182	бы и	6	3
183	данный момент	3	3
184	что не	10	3
185	отсюда и	1	3
186	но здесь	2	3
187	в свою	4	3
188	не должен	1	3
189	не должно	2	3
190	в другом	2	3
191	для того	23	3
192	в ней	6	3
193	быть и	1	3
194	смысл в	2	3
195	к чему	1	3
196	этом смысле	8	3
197	в современной	3	3
198	от того	5	3
199	на своем	1	3
200	а лишь	1	3
201	целом и	2	3
202	из его	1	3
203	нет и	1	3
204	только с	1	3
205	могут быть	5	3
206	до конца	3	3
207	о том	10	3
208	теории и	1	3
209	тем как	1	3
210	и единство	1	3
211	в данный	2	3
212	в то	4	3
213	а следовательно	2	3
214	лишь при	1	3
215	события в	1	3
216	или иного	5	3
217	независимо от	1	3
218	всех этих	4	3
219	тот же	7	3
220	и тем	7	3
221	ничего не	6	3
222	меня и	3	3
223	или иным	1	2
224	были бы	2	2
225	бы то	1	2
226	как к	2	2
227	контекст где	1	2
228	и эти	3	2
229	которой я	1	2
230	в теоретической	1	2
231	действительно ли	2	2
232	и развивается	1	2
233	знать что	1	2
234	один из	8	2
235	я уже	2	2
236	бы он	1	2
237	и мы	2	2
238	можно ли	6	2
239	чтобы быть	2	2
240	не нужен	1	2
241	и того	2	2
242	что значит	2	2
243	случае мы	1	2
244	смысле в	1	2
245	дело с	2	2
246	еще более	1	2
247	конечно в	1	2
248	тому что	3	2
249	а это	5	2
250	именно она	1	2
251	это уже	1	2
252	тем не	10	2
253	так и	10	2
254	отсюда следует	2	2
255	из которых	3	2
256	в принципе	1	2
257	и то	7	2
258	в качестве	12	2
259	смысл лишь	2	2
260	нами в	1	2
261	это есть	2	2
262	и когда	2	2
263	сводится к	3	2
264	по себе	10	2
265	и смысл	1	2
266	в виде	1	2
267	оно не	5	2
268	не потому	6	2
269	если не	4	2
270	говорим о	3	2
271	в некое	1	2
272	он может	1	2
273	ее от	1	2
274	однако что	1	2
275	в сознании	1	2
276	что за	3	2
277	мы говорим	4	2
278	дело в	2	2
279	содержание и	5	2
280	полное слово	1	2
281	не следует	6	2
282	предмет как	1	2
283	в процессе	1	2
284	в жизни	1	2
285	смысле и	2	2
286	и должен	1	2
287	с тем	5	2
288	пройти мимо	1	2
