N	3gram	Vinokur_Vv	Literetu
1	в том что	15	21
2	в то же	6	21
3	то же время	6	21
4	по отношению к	4	12
5	с одной стороны	4	12
6	не может быть	10	11
7	в данном случае	4	11
8	в отличие от	4	11
9	состоит в том	2	11
10	так или иначе	4	10
11	о том что	13	10
12	в этом отношении	4	10
13	с точки зрения	4	8
14	не говоря уже	2	8
15	с другой стороны	5	7
16	говоря уже о	1	6
17	в том числе	1	6
18	из того что	1	6
19	подобно тому как	2	6
20	не только в	4	6
21	с этой точки	2	5
22	тем не менее	9	5
23	в соответствии с	2	5
24	в том чтобы	5	5
25	этой точки зрения	2	5
26	в связи с	2	5
27	прежде всего в	1	5
28	и прежде всего	1	4
29	то ни было	1	4
30	бы то ни	1	4
31	и я и	1	4
32	и то что	3	4
33	и т п	5	3
34	одной стороны и	3	3
35	в самом деле	6	3
36	в том же	1	3
37	то же самое	3	3
38	той или иной	3	3
39	только в том	2	3
40	в свою очередь	2	3
41	на самом деле	1	3
42	по крайней мере	4	3
43	ту или иную	1	3
44	в целом ряде	2	3
45	во всяком случае	5	3
46	но с другой	1	3
47	тех пор пока	1	2
48	в этой системе	1	2
49	дело не только	1	2
50	имеется в виду	1	2
51	для того чтобы	22	2
52	и то же	2	2
53	все же в	1	2
54	тех или иных	3	2
55	может быть названа	1	2
56	имел в виду	1	2
57	к тому что	1	2
58	только то что	1	2
59	в другом месте	2	2
60	а не только	1	2
61	в значительной степени	1	2
62	в принципе не	1	2
63	мы имеем дело	1	2
64	в чистом виде	1	2
65	в тексте не	1	2
66	на вопрос что	1	2
67	разумеется не в	1	2
68	вместе с тем	3	2
69	одним из наиболее	1	2
70	тем что в	1	2
71	но и в	1	2
72	обратим внимание на	2	2
73	и в самом	3	2
74	в свое время	3	2
75	до тех пор	1	2
76	дело в том	3	2
77	одно и то	2	2
78	в первой половине	1	2
79	в сравнении с	1	2
80	можно было бы	4	2
81	это прежде всего	1	2
82	в этом случае	6	2
83	друг для друга	1	2
84	во второй половине	2	2
85	в целом но	1	2
86	что же касается	2	2
87	на эту тему	1	2
88	том что не	1	2
89	в каждом своем	1	1
90	с полным основанием	1	1
91	и как раз	1	1
92	на этой почве	2	1
93	в той или	1	1
94	и в целом	1	1
95	что было сказано	1	1
96	все то что	1	1
97	может быть назван	1	1
98	как будто бы	2	1
99	а потому и	1	1
100	цикл так называемых	1	1
101	собой одно из	1	1
102	в той мере	6	1
103	что в ней	1	1
104	на задний план	2	1
105	языка на котором	1	1
106	естественно не мог	1	1
107	на том что	2	1
108	это не только	2	1
109	того же автора	1	1
110	то что в	1	1
111	не с чем	1	1
112	но уже и	1	1
113	хотя бы и	2	1
114	в духовной жизни	1	1
115	не в том	2	1
116	более или менее	1	1
117	литературы как и	1	1
118	этом втором случае	1	1
119	в этом втором	1	1
120	а в том	1	1
121	именно в этом	3	1
122	до сих пор	7	1
123	потому что в	1	1
124	именно потому что	1	1
125	представляет собой одно	1	1
126	может быть не	1	1
127	в конце концов	2	1
128	с различной степенью	1	1
129	в зависимости от	3	1
130	самом деле есть	1	1
131	руках у нас	1	1
132	в момент своего	1	1
133	было бы именовать	1	1
134	в определенное время	1	1
135	целом ряде других	1	1
136	во многих случаях	1	1
137	том что в	1	1
138	но в силу	1	1
139	и того же	2	1
140	принципе не может	1	1
141	в частности в	1	1
142	для того кто	1	1
143	в конечном итоге	3	1
144	сама по себе	3	1
145	по этому поводу	3	1
146	себя со стороны	2	1
147	но все же	4	1
148	уже шла речь	1	1
149	природе того что	1	1
150	одного и того	2	1
151	имея в виду	1	1
152	платона и аристотеля	1	1
153	в истории русской	1	1
154	и в том	4	1
155	в ней есть	1	1
156	и в этом	4	1
157	а также и	2	1
158	может быть только	1	1
159	в тексте этого	1	1
160	не только по	1	1
161	после того как	2	1
162	и тем не	3	1
163	себе самому и	1	1
164	поэтов и прозаиков	2	1
165	прежде всего разумеется	1	1
166	как мы знаем	1	1
167	человеческого духа в	1	1
168	различие между ними	1	1
169	и в особенности	4	1
170	здесь как и	1	1
171	но одно дело	1	1
172	том или ином	2	1
173	еще при жизни	2	1
174	шла речь в	3	1
175	может быть в	2	1
176	какой бы то	1	1
177	но уже в	1	1
178	как это было	1	1
179	как один из	1	1
180	в начале xix	2	1
181	место в ряду	1	1
182	и тогда она	1	1
183	пор пока не	1	1
184	не что иное	5	1
185	между прочим и	1	1
186	может быть вполне	1	1
187	хотя бы на	1	1
188	отрицать того что	1	1
189	это еще не	2	1
190	но в то	3	1
191	в лучшем случае	1	1
192	как мы видели	3	1
193	как раз в	1	1
194	это не обязанность	1	1
195	и т.д и	1	1
196	только потому что	1	1
197	может быть сказано	1	1
198	действительность в ее	3	1
199	в этом качестве	1	1
200	тогда когда оно	1	1
201	с самого начала	1	1
202	том что он	1	1
203	о которой в	1	1
204	не могут быть	2	1
205	же время в	1	1
206	не могло не	1	1
207	а так как	2	1
208	не как на	1	1
209	что может быть	3	1
210	что иное как	5	1
211	перед собой задачу	1	1
212	теми или иными	1	1
213	в руках у	1	1
214	вопрос о том	5	1
215	само по себе	4	1
216	как он выражается	2	1
217	не только как	4	1
218	которая по слову	1	1
219	самого по себе	1	1
220	по тому же	1	1
221	как уже говорилось	1	1
222	имеем дело с	1	1
223	что несмотря на	2	1
224	более широкого и	1	1
225	может быть и	2	1
