N	4gram	Voloshinov	Istorich
1	не что иное как	1	11
2	мы уже знаем что	1	9
3	так же как и	1	9
4	совершенно так же как	1	8
5	с этой точки зрения	1	6
6	то же мы видим	1	3
7	но мы уже знаем	1	3
8	но мы знаем что	1	3
9	бы то ни было	1	3
10	не может быть речи	1	2
11	что мы здесь имеем	1	2
12	дело в том что	1	2
13	уже не может быть	1	1
14	во всяком случае не	1	1
15	выше мы говорили что	1	1
16	что можно было бы	1	1
17	заранее обречены на неудачу	1	1
18	этом нет ничего удивительного	1	1
19	в связи с этим	1	1
20	на своем месте и	1	1
21	здесь имеем дело с	1	1
22	не имеющие отношения к	1	1
23	то же самое и	1	1
24	на первый план выдвигается	1	1
25	мы можем сказать что	1	1
26	мы останавливаться не будем	1	1
27	одна и та же	1	1
28	в этом нет ничего	1	1
29	мы еще не можем	1	1
30	в более позднее время	1	1
31	а на самом деле	1	1
32	не чем иным как	1	1
33	же мы видим и	1	1
34	мы здесь имеем дело	1	1
35	почти во всем мире	1	1
36	только для того чтобы	1	1
37	и в этом смысле	2	1
