N	2gram	Medvedev_S	Dialekti
1	и не	1	120
2	по себе	1	79
3	и в	3	77
4	может быть	2	71
5	не только	3	66
6	то что	2	59
7	и есть	1	55
8	это значит	1	54
9	ничего не	1	54
10	не может	1	53
11	что это	1	46
12	стало быть	1	44
13	как бы	2	43
14	и что	2	42
15	вовсе не	1	41
16	в том	5	40
17	в этом	5	39
18	то же	2	39
19	что она	1	38
20	что он	1	37
21	том что	2	37
22	прежде всего	1	37
23	это не	1	36
24	что в	2	34
25	но и	2	32
26	все это	7	31
27	отнюдь не	1	30
28	и как	1	30
29	было бы	2	29
30	так и	1	29
31	как и	1	28
32	никогда не	1	27
33	крайней мере	1	26
34	не в	3	26
35	по крайней	1	26
36	сама по	1	26
37	таким образом	2	23
38	в то	1	23
39	это и	2	23
40	в чем	1	21
41	должна быть	2	21
42	о том	1	20
43	что все	1	20
44	только в	2	20
45	только тогда	1	20
46	как же	3	19
47	и его	1	19
48	же время	1	18
49	хотя бы	1	18
50	с другой	1	18
51	ни на	1	18
52	в сущности	1	17
53	или не	1	16
54	в своей	1	16
55	конечно не	1	16
56	мы не	1	16
57	ровно ничего	1	15
58	все же	1	15
59	и мы	2	15
60	но только	1	15
61	не мешает	1	15
62	в виде	1	15
63	и о	1	15
64	или нет	1	14
65	с ним	1	14
66	не было	1	14
67	и потому	1	14
68	и только	3	14
69	же это	1	14
70	в смысле	2	13
71	в силу	1	13
72	именно в	1	12
73	но как	1	12
74	но не	1	12
75	даже не	1	12
76	и стало	1	12
77	никак не	1	12
78	перед нами	1	12
79	еще не	2	12
80	все эти	1	12
81	тем более	2	12
82	а в	1	12
83	в них	1	11
84	как только	2	11
85	в данном	1	11
86	мы должны	1	11
87	только то	1	11
88	в результате	2	10
89	во всяком	1	10
90	только как	2	10
91	за пределы	2	10
92	в его	3	10
93	в частности	2	10
94	как будто	2	10
95	тому что	1	9
96	в этих	1	9
97	в котором	1	9
98	бы в	1	9
99	и по	1	9
100	и более	1	9
101	между собою	1	9
102	даже в	1	8
103	с одной	1	8
104	в этой	1	8
105	один из	1	8
106	когда мы	1	8
107	но она	1	8
108	тем что	1	7
109	на первый	1	7
110	связи с	1	7
111	в конце	2	7
112	в связи	1	7
113	в мире	1	7
114	на что	1	7
115	она должна	1	7
116	эти два	1	7
117	более не	1	6
118	одной стороны	1	6
119	я и	1	6
120	где же	1	6
121	может не	1	6
122	не наука	1	6
123	еще и	1	6
124	тотчас же	1	6
125	на основании	1	6
126	всяком случае	1	6
127	они не	1	6
128	по существу	2	6
129	его в	1	6
130	это как	1	6
131	дело не	2	6
132	для этого	1	6
133	больше того	1	6
134	в него	1	5
135	мы еще	1	5
136	зависит от	1	5
137	без этого	1	5
138	ведь это	2	5
139	же не	1	5
140	диалектический материализм	2	5
141	в области	1	5
142	первый план	1	5
143	конце концов	2	5
144	и наконец	1	5
145	что на	1	5
146	объекта и	1	4
147	и самые	1	4
148	только для	1	4
149	и должно	1	4
150	эти вопросы	1	4
151	представить себе	1	4
152	тогда и	1	4
153	у него	1	4
154	но ведь	3	4
155	что личность	1	4
156	в каждом	1	4
157	главным образом	2	4
158	границы и	1	4
159	том как	1	4
160	быть не	1	4
161	это же	1	4
162	но именно	1	4
163	на все	1	4
164	что эти	1	4
165	же самое	1	4
166	из себя	1	4
