N	2gram	Nazirov_Tr	KulturaY
1	и т	1	143
2	т е	1	102
3	т п	1	93
4	и в	18	84
5	в том	2	74
6	потому что	2	68
7	не только	8	60
8	в этом	9	57
9	и не	7	52
10	может быть	7	47
11	что в	4	44
12	том что	4	44
13	того чтобы	1	44
14	в самом	2	41
15	хотя бы	1	37
16	самом деле	1	37
17	в области	1	34
18	таким образом	1	33
19	а не	1	33
20	можно было	1	32
21	не в	2	30
22	в его	3	30
23	прежде всего	4	30
24	все же	5	29
25	не менее	1	28
26	того что	1	28
27	все эти	3	28
28	уже не	2	26
29	то что	4	25
30	не может	5	25
31	вопрос о	2	24
32	еще не	4	24
33	то же	5	23
34	с помощью	1	23
35	только в	1	23
36	так и	5	23
37	иными словами	1	22
38	тем не	1	21
39	по себе	1	20
40	во всяком	1	20
41	и что	4	20
42	но и	4	20
43	тем что	2	19
44	о том	2	19
45	речи в	1	19
46	что он	6	19
47	всяком случае	1	19
48	но в	6	19
49	и с	7	18
50	с тем	2	18
51	к тому	2	18
52	связи с	1	18
53	между тем	1	18
54	вместе с	1	18
55	как бы	7	18
56	все это	4	18
57	в той	1	17
58	как это	3	17
59	что это	5	17
60	это не	5	17
61	в виду	1	16
62	что и	2	16
63	что не	1	16
64	ничего не	2	16
65	в русском	2	16
66	но не	1	16
67	при этом	3	15
68	именно в	1	15
69	в данном	2	15
70	русский язык	1	15
71	не было	1	15
72	один из	3	15
73	того как	1	15
74	лишь в	1	15
75	должно быть	3	15
76	в них	1	14
77	и на	7	14
78	в связи	1	14
79	я не	4	14
80	в ней	1	14
81	как мы	1	14
82	что она	2	13
83	в этой	4	13
84	не случайно	2	13
85	не могут	2	13
86	той же	1	13
87	для нас	1	13
88	это и	1	13
89	и его	6	13
90	с этой	1	12
91	в результате	1	12
92	могут быть	1	12
93	как в	3	12
94	этого слова	1	12
95	в своем	3	11
96	он не	2	11
97	в нем	4	11
98	и здесь	2	11
99	должна быть	1	11
100	и то	2	11
101	совершенно не	1	11
102	и если	1	11
103	уже в	3	11
104	слова в	1	11
105	в особенности	1	10
106	в первом	2	10
107	как и	5	10
108	так же	4	10
109	несмотря на	5	10
110	бы в	1	10
111	ту же	1	10
112	не просто	2	10
113	в общем	1	10
114	в то	5	10
115	вряд ли	2	10
116	после того	1	10
117	в письмах	2	10
