N	4gram	Bakhtin_Pr	slovoVRo
1	в то же время	3	18
2	но в то же	1	7
3	и в то же	2	6
4	во всех его моментах	1	5
5	с одной стороны и	1	4
6	никогда не может быть	1	3
7	не выходит за пределы	1	3
8	точка зрения на мир	1	3
9	во всех своих моментах	2	2
10	в том и в	1	2
11	том и в другом	1	2
12	и в том и	1	2
13	и т п и	1	2
14	не для того чтобы	1	2
15	с точки зрения самого	2	2
16	и не может быть	1	2
17	ни в чем не	2	2
18	в то время как	1	2
19	бы они ни были	1	2
20	или в лучшем случае	1	2
21	то же время этот	1	1
22	именно в том что	1	1
23	может иметь место в	1	1
24	всех его моментах как	1	1
25	на самом же деле	1	1
26	в значительной степени и	1	1
27	не может быть конечно	1	1
28	а иногда и прямо	1	1
29	в нем не только	1	1
30	как одна из сторон	1	1
31	там где оно не	1	1
32	дело в том что	1	1
33	не входит в эстетический	1	1
34	приходится сказать и о	1	1
35	входит в эстетический объект	2	1
36	между тем как в	2	1
37	на нем и с	1	1
38	как бы они ни	1	1
39	как убираются леса когда	1	1
40	между тем как мы	1	1
41	бы то ни было	2	1
42	и с точки зрения	1	1
43	оно не выходит за	1	1
44	в большинстве случаев не	2	1
45	а также и в	1	1
46	все снова и снова	1	1
