N	3gram	Tiupa_Narr	EvropaiC
1	в том что	8	16
2	до сих пор	1	15
3	по отношению к	6	11
4	друг с другом	1	9
5	с точки зрения	2	8
6	более или менее	2	8
7	на самом деле	1	7
8	друг от друга	1	6
9	в самом деле	1	5
10	так или иначе	2	5
11	к тому же	4	5
12	не может быть	5	4
13	о том что	6	4
14	тем не менее	3	4
15	с другой стороны	4	4
16	может быть и	1	4
17	не в состоянии	1	3
18	в том же	1	3
19	все же не	4	3
20	одного и того	1	3
21	не подлежит сомнению	1	3
22	так же как	2	3
23	то ни было	3	3
24	в данном случае	4	3
25	и то что	1	3
26	и того же	1	3
27	не может не	2	3
28	в связи с	2	3
29	бы то ни	3	3
30	в свою очередь	3	2
31	так и для	1	2
32	двух или нескольких	1	2
33	при этом что	1	2
34	он не может	1	2
35	как и в	1	2
36	в то же	3	2
37	а с другой	1	2
38	том что он	1	2
39	но все же	4	2
40	только то что	1	2
41	с одной стороны	7	2
42	то же время	3	2
43	что несмотря на	1	2
44	может показаться что	1	1
45	живет своей особой	1	1
46	и у нас	1	1
47	все то что	1	1
48	то есть в	2	1
49	но по существу	1	1
50	мысль о том	1	1
51	не может порвать	1	1
52	от друга в	1	1
53	из двух или	1	1
54	по крайней мере	1	1
55	в данный момент	1	1
56	это не так	1	1
57	из них в	1	1
58	этой точки зрения	2	1
59	том или ином	2	1
60	с этой точки	1	1
61	так и от	1	1
62	лет тому назад	1	1
63	точно так же	2	1
64	к одному из	1	1
65	в том числе	6	1
66	не отличается от	2	1
67	тем более что	1	1
68	независимо от того	1	1
69	состоит в том	3	1
70	приходится искать в	1	1
71	все та же	2	1
72	и с точки	1	1
73	дело в том	1	1
74	иметь в виду	1	1
75	как мы видели	1	1
76	том числе и	4	1
77	можно было бы	2	1
78	состоит именно в	2	1
79	в том или	2	1
80	в нем не	1	1
81	точки зрения настоящего	1	1
82	и т.д в	1	1
83	на первый взгляд	2	1
84	а не в	2	1
85	то же самое	1	1
86	перед нами два	1	1
87	том что оно	1	1
88	никогда не было	1	1
89	в мире не	1	1
90	пока еще не	1	1
91	тот или иной	1	1
92	должна быть признана	1	1
93	в этом последнем	1	1
94	именно в том	2	1
95	в чистом виде	1	1
