N	2gram	Trubetskoy	StatiiOP
1	и в	24	103
2	в том	31	89
3	том что	20	77
4	в этом	13	76
5	что в	9	74
6	не только	10	60
7	о том	7	47
8	но и	11	46
9	то что	18	44
10	что он	7	42
11	в его	5	42
12	и не	9	41
13	может быть	17	38
14	было бы	3	32
15	в этой	7	31
16	вовсе не	2	31
17	тем что	1	29
18	все это	13	29
19	таким образом	34	28
20	а в	3	27
21	а не	1	27
22	но в	5	26
23	что это	5	25
24	так и	10	25
25	и его	2	24
26	все же	15	23
27	точки зрения	14	23
28	не в	9	23
29	так что	6	23
30	потому что	9	23
31	для того	8	22
32	в которой	5	22
33	как в	1	22
34	того что	7	22
35	прежде всего	3	22
36	у нас	3	22
37	в области	4	22
38	и пр	1	21
39	того чтобы	8	21
40	до сих	15	20
41	это не	3	20
42	в своей	1	19
43	сих пор	15	19
44	в то	6	19
45	только в	6	19
46	в котором	2	18
47	с другой	6	18
48	он не	4	18
49	не может	18	18
50	в самом	8	17
51	как на	6	17
52	между прочим	2	17
53	самом деле	12	17
54	как бы	10	17
55	в данном	3	17
56	в этих	3	16
57	с этим	12	16
58	сказать что	1	16
59	можно было	1	16
60	если бы	8	16
61	в ней	3	16
62	другой стороны	5	15
63	с тем	4	15
64	как и	10	15
65	из этих	8	15
66	у него	5	15
67	я не	2	15
68	и на	6	15
69	например в	1	15
70	в отношении	1	15
71	для него	2	15
72	также и	2	15
73	то же	4	14
74	но все	5	14
75	к тому	8	14
76	с точки	8	14
77	между тем	12	14
78	и что	9	14
79	была бы	1	14
80	в течение	4	14
81	именно в	5	13
82	во всяком	2	13
83	в своем	12	13
84	из них	5	13
85	в качестве	1	13
86	а с	4	13
87	в конце	4	13
88	в нем	3	13
89	вместе с	7	13
90	со стороны	1	13
91	всяком случае	2	13
92	дело в	1	13
93	что касается	6	13
94	жизни и	2	13
95	тому что	2	13
96	в своих	2	12
97	не менее	7	12
98	хотя бы	4	12
99	что у	2	12
100	обстоятельство что	1	12
101	так как	7	12
102	что они	2	12
103	в них	2	11
104	в другом	2	11
105	должна была	1	11
106	никогда не	4	11
107	не было	2	11
108	ясно что	8	11
109	и с	5	11
110	и по	3	11
111	из его	1	11
112	того как	1	11
113	вопрос о	3	11
114	все эти	19	11
115	это было	1	11
116	то обстоятельство	1	11
117	на то	9	11
118	на эти	1	10
119	кроме того	1	10
120	в виду	2	10
121	так же	8	10
122	в целом	5	10
123	что такое	1	10
124	что и	7	10
125	это слово	1	10
126	но он	1	10
127	во всех	10	10
128	а как	1	10
129	в истории	3	10
130	же время	2	10
131	ничего не	1	10
132	на вопрос	4	10
133	на самом	7	10
134	но не	3	10
135	в частности	2	10
136	в начале	3	10
137	и к	5	9
138	с этой	3	9
139	несмотря на	6	9
140	и это	3	9
141	в каждом	1	9
142	и тем	1	9
143	что эта	4	9
144	русской истории	1	9
145	не является	1	9
146	что же	2	9
147	и для	6	9
148	для нас	3	9
149	что мы	4	9
150	по этому	2	9
151	в результате	9	8
152	и даже	1	8
153	по его	2	8
154	еще более	1	8
155	к которому	1	8
156	что она	2	8
157	к этому	5	8
158	связи с	4	8
159	одним из	4	8
160	могут быть	1	8
161	в общем	6	8
162	к сожалению	1	8
163	заключается в	3	8
164	в которых	2	8
165	не имеет	2	8
166	тем не	4	8
167	совершенно не	4	8
168	и более	2	8
169	при помощи	3	8
170	той же	2	8
171	до конца	1	8
172	в их	4	8
173	по мнению	1	8
174	отношение к	4	8
175	такой же	2	8
176	с которыми	2	7
177	представление о	3	7
178	отличается от	6	7
179	а а	1	7
180	и сейчас	4	7
181	уже о	1	7
182	не мог	1	7
183	того же	9	7
184	гораздо более	2	7
185	на почве	3	7
186	в ее	1	7
187	при чем	6	7
188	что все	5	7
189	в эту	2	7
190	кажется что	1	7
191	нельзя не	1	7
192	что для	4	7
193	из этого	7	7
194	раньше чем	1	7
195	во втором	2	7
196	то в	2	7
197	и то	4	7
198	то время	2	7
199	можно назвать	3	7
200	еще не	6	7
201	очень мало	2	7
202	еще и	1	7
203	этой области	4	7
204	данном случае	3	7
205	уже в	1	7
206	мы находим	1	7
207	в виде	4	7
208	но с	2	7
209	что этот	1	7
210	тем более	3	7
211	с самого	1	7
212	конце концов	4	7
213	факт что	4	7
214	этому поводу	1	7
215	лишь в	5	7
216	отношению к	11	7
217	что за	2	6
218	же и	1	6
219	на его	1	6
220	одно из	3	6
221	и сам	2	6
222	в жизни	3	6
223	говорить о	2	6
224	по отношению	11	6
225	даже в	3	6
226	в отдельных	2	6
227	крайней мере	1	6
228	к нему	2	6
229	только не	2	6
230	время как	1	6
231	же как	3	6
232	о которых	7	6
233	этот вопрос	2	6
234	в себе	5	6
235	из которых	4	6
236	и все	9	6
237	в в	4	6
238	не трудно	1	6
239	по крайней	1	6
240	в свет	2	6
241	тем же	2	6
242	что я	1	6
243	с его	1	6
244	что с	6	6
245	мы не	1	6
246	ни на	1	6
247	независимо от	2	6
248	по существу	7	6
249	и я	1	6
250	должен быть	2	6
251	и вообще	3	6
252	этих двух	2	6
253	за то	1	6
254	что на	2	6
255	нас не	1	5
256	при этом	9	5
257	в пользу	5	5
258	далее в	1	5
259	по пути	1	5
260	в духе	1	5
261	целый ряд	4	5
262	давно уже	2	5
263	на эту	1	5
264	уже не	1	5
265	то это	1	5
266	одной стороны	2	5
267	во многих	1	5
268	конечно не	3	5
269	можно ли	2	5
270	самого начала	1	5
271	без всякого	1	5
272	том чтобы	2	5
273	что именно	1	5
274	никакого сомнения	1	5
275	что эти	2	5
276	с одной	3	5
277	хотя и	4	5
278	похоже на	1	5
279	его в	5	5
280	на себя	1	5
281	же касается	2	5
282	в сторону	3	5
283	не приходится	1	5
284	в тех	3	5
285	возможно что	1	5
286	столь же	5	5
287	всех этих	4	5
288	не так	4	5
289	один из	1	5
290	должна быть	6	5
291	для себя	2	5
292	из таких	2	5
293	о которой	2	5
294	никто не	2	5
295	и если	6	5
296	которую он	2	5
297	не потому	2	5
298	нет и	1	5
299	не совсем	1	5
300	том же	4	5
301	ее в	1	5
302	но если	2	5
303	точку зрения	2	5
304	это и	1	5
305	в сущности	2	5
306	на нее	2	5
307	а то	1	5
308	представляет собою	2	5
309	другом месте	1	5
310	и потому	3	5
311	и только	2	5
312	не по	1	5
313	тот факт	4	5
314	можно найти	1	5
315	к ней	1	5
316	как будто	5	5
317	находим в	1	4
318	и другие	1	4
319	все что	10	4
320	в центре	1	4
321	только что	3	4
322	которые не	3	4
323	не являются	1	4
324	и без	5	4
325	в первом	1	4
326	из двух	2	4
327	что по	3	4
328	а именно	1	4
329	что ни	1	4
330	культуры в	10	4
331	не имели	1	4
332	и те	2	4
333	эти вещи	1	4
334	на него	2	4
335	эти вопросы	1	4
336	во времена	1	4
337	всего в	1	4
338	мы видим	1	4
339	и эти	1	4
340	тому же	6	4
341	будто бы	1	4
342	во внимание	2	4
343	очевидно что	3	4
344	в таком	4	4
345	в связи	3	4
346	одна из	2	4
347	на этом	2	4
348	не могут	4	4
349	и у	4	4
350	что как	4	4
351	но как	2	4
352	только с	1	4
353	в развитии	1	4
354	на долю	2	4
355	должны быть	3	4
356	иметь в	1	4
357	с общим	2	4
358	вопрос в	1	4
359	общего с	2	4
360	вообще нет	1	4
361	а потому	5	4
362	то есть	2	4
363	если в	1	4
364	по адресу	1	4
365	это есть	4	4
366	так или	5	4
367	они не	2	4
368	в процессе	2	4
369	как о	1	4
370	и так	2	4
371	да и	1	4
372	по своей	7	4
373	именно поэтому	1	4
374	нет в	2	4
375	ничего общего	3	4
376	все они	6	4
377	в основе	2	4
378	в значительной	1	4
379	как известно	3	4
380	быть не	1	4
381	тех пор	2	4
382	народ в	4	4
383	говорят что	1	4
384	не знает	2	4
385	состоит в	1	4
386	начиная с	1	4
387	с нею	1	4
388	этого слова	2	4
389	это просто	1	4
390	для россии	1	4
391	что оно	3	4
392	естественно что	1	4
393	бы на	1	4
394	как у	3	4
395	смысле этого	1	4
396	а на	1	4
397	или иначе	5	4
398	более что	1	4
399	случае не	1	4
400	есть в	2	4
401	стремление к	1	4
402	в такой	4	4
403	чем в	3	4
404	и их	5	4
405	что его	4	4
406	как мы	3	4
407	эти темы	1	4
408	для этого	7	4
409	но для	2	4
410	люди которые	1	3
411	от него	3	3
412	говоря уже	1	3
413	а у	1	3
414	которые по	2	3
415	а затем	2	3
416	то не	1	3
417	или иной	1	3
418	более или	8	3
419	из нее	2	3
420	бы все	1	3
421	их в	2	3
422	здесь дело	1	3
423	в одно	2	3
424	почти все	2	3
425	ни для	2	3
426	что оба	2	3
427	смысл этого	1	3
428	гораздо больше	3	3
429	больше чем	1	3
430	можно считать	1	3
431	даже и	1	3
432	точно и	1	3
433	в руках	1	3
434	смысле слова	1	3
435	о них	2	3
436	может служить	3	3
437	и была	1	3
438	всегда будет	4	3
439	его собственной	5	3
440	о тех	1	3
441	быть в	1	3
442	во всей	2	3
443	от них	2	3
444	на котором	1	3
445	к этим	1	3
446	не то	3	3
447	бы то	3	3
448	не говоря	1	3
449	на том	2	3
450	что при	7	3
451	не очень	2	3
452	и некоторые	2	3
453	я и	1	3
454	к историческим	1	3
455	и перед	1	3
456	и до	3	3
457	от этого	1	3
458	больше всего	1	3
459	в других	1	3
460	вопроса о	1	3
461	бы в	3	3
462	принять во	2	3
463	этой главы	1	3
464	в лучшем	1	3
465	эти слова	1	3
466	то ни	4	3
467	совсем не	1	3
468	не будет	5	3
469	не могла	1	3
470	совершенно так	4	3
471	тем и	1	3
472	это действительно	1	3
473	к первому	1	3
474	что во	1	3
475	точно также	1	3
476	образом в	3	3
477	свои силы	2	3
478	при оценке	1	3
479	за себя	1	3
480	в один	2	3
481	каждого из	1	3
482	что до	2	3
483	чем у	8	3
484	от нее	2	3
485	причем в	1	3
486	смотреть на	2	3
487	народа в	15	3
488	тогда когда	3	3
489	не были	1	3
490	целого ряда	1	3
491	которой я	1	3
492	из того	4	3
493	борьбы с	2	3
494	бы ни	1	3
495	сомнению что	3	3
496	если это	2	3
497	если я	1	3
498	отношения к	1	3
499	к его	1	3
500	себя и	2	3
501	бы не	1	3
502	о котором	7	3
503	перед нами	1	3
504	виде в	1	3
505	вытекает из	1	3
