N	2gram	Bakhtin_Fr	VrazhdaK
1	в году	6	18
2	не только	23	9
3	в этом	27	8
4	и в	67	8
5	и что	3	8
6	что в	14	7
7	и все	18	7
8	но и	23	7
9	то что	9	7
10	о нем	2	6
11	как и	19	6
12	и даже	6	6
13	и с	18	6
14	в романе	15	6
15	все же	7	6
16	в котором	3	6
17	в начале	2	6
18	в нем	20	6
19	но в	20	6
20	то же	18	5
21	у него	4	5
22	в россии	1	5
23	и не	23	5
24	между тем	3	5
25	об этом	5	5
26	не было	3	5
27	же время	14	5
28	в то	17	5
29	это не	5	4
30	при этом	5	4
31	несмотря на	3	4
32	с ним	6	4
33	все это	15	4
34	в виду	2	4
35	в своих	1	4
36	что он	7	4
37	уже в	1	4
38	о том	8	4
39	может быть	4	4
40	в ней	10	4
41	и детей	1	4
42	целый ряд	2	4
43	в истории	2	4
44	как бы	18	4
45	так же	13	4
46	что у	2	3
47	в его	17	3
48	в том	16	3
49	его в	10	3
50	раз в	2	3
51	связи с	7	3
52	но он	5	3
53	в связи	5	3
54	и как	7	3
55	далеко не	6	3
56	тем что	3	3
57	в чем	6	3
58	и у	7	3
59	о себе	1	3
60	человека в	1	3
61	он был	8	3
62	том что	13	3
63	в этот	3	3
64	он не	9	3
65	в конце	12	3
66	и о	8	3
67	одним из	7	3
68	в своем	13	3
69	на то	2	3
70	с его	11	3
71	и его	19	3
72	к этому	4	3
73	который был	1	3
74	и во	4	3
75	в той	2	2
76	таким образом	20	2
77	начиная с	2	2
78	и то	2	2
79	и он	4	2
80	время и	2	2
81	его с	1	2
82	мы знаем	1	2
83	с точки	5	2
84	для него	4	2
85	его и	2	2
86	этот момент	3	2
87	о чем	5	2
88	как раз	5	2
89	о которой	1	2
90	в честь	1	2
91	же не	2	2
92	в них	12	2
93	а также	4	2
94	права на	2	2
95	отношения к	1	2
96	его на	1	2
97	в мире	1	2
98	там же	3	2
99	их в	2	2
100	же как	4	2
101	в своей	6	2
102	рядом с	6	2
103	вместе с	5	2
104	что ж	1	2
105	так в	3	2
106	в это	1	2
107	не менее	4	2
108	и это	5	2
109	в эту	2	2
110	и стал	1	2
111	на первый	4	2
112	еще не	5	2
113	он пишет	1	2
114	но как	1	2
115	а с	1	2
116	это в	3	2
117	в свою	1	2
118	двух великих	1	2
119	и т.п	31	2
120	и образы	13	2
121	в этой	13	2
122	человека с	5	2
123	а в	4	2
124	мотивы и	1	2
125	на это	1	2
126	к ним	2	2
127	отношение к	1	2
128	в одну	1	2
129	уже не	1	2
130	году в	1	2
131	из них	5	2
132	в себе	3	2
133	что я	1	2
134	в глазах	1	2
135	не может	9	2
136	место в	3	2
