N	2gram	Losev_Vlad	EvropaiC
1	таким образом	6	34
2	в том	26	31
3	и в	56	24
4	том что	22	20
5	все эти	6	19
6	то что	30	18
7	не может	12	18
8	может быть	12	17
9	все же	11	15
10	точки зрения	4	14
11	в этом	30	13
12	все это	7	13
13	самом деле	1	12
14	с этим	3	12
15	в своем	10	12
16	по отношению	1	11
17	но и	26	11
18	все что	2	10
19	мы знаем	5	10
20	не только	35	10
21	так и	11	10
22	как и	7	10
23	во всех	4	10
24	как бы	5	10
25	что в	24	9
26	при этом	5	9
27	в результате	6	9
28	не в	12	9
29	и все	8	9
30	и не	33	9
31	потому что	16	9
32	и что	11	9
33	на то	7	9
34	того же	11	9
35	в самом	3	8
36	чем у	2	8
37	касается до	1	8
38	более или	5	8
39	ясно что	2	8
40	или менее	5	8
41	к тому	5	8
42	для того	4	8
43	если бы	2	8
44	того чтобы	4	8
45	так же	4	8
46	знаем что	2	8
47	а и	1	8
48	из этих	5	8
49	так как	11	7
50	того что	6	7
51	что и	6	7
52	на самом	1	7
53	что он	22	7
54	не менее	9	7
55	о которых	1	7
56	о котором	2	7
57	из этого	6	7
58	о том	13	7
59	вместе с	9	7
60	по своей	4	7
61	в этой	4	7
62	в силу	1	7
63	по существу	4	7
64	мы можем	1	6
65	и на	7	6
66	несмотря на	7	6
67	с ним	10	6
68	что с	3	6
69	только в	11	6
70	тому же	3	6
71	еще не	2	6
72	и если	8	6
73	так что	13	6
74	и при	2	6
75	тогда как	1	6
76	что касается	6	6
77	как на	2	6
78	в общем	4	6
79	с другой	3	6
80	в то	15	6
81	у них	2	6
82	и для	4	6
83	и к	10	5
84	как к	4	5
85	должно быть	1	5
86	тех кто	2	5
87	в состоянии	1	5
88	в его	18	5
89	что это	2	5
90	многие из	1	5
91	другой стороны	3	5
92	у него	28	5
93	его в	3	5
94	так или	3	5
95	в которой	8	5
96	но все	3	5
97	и с	27	5
98	или иначе	3	5
99	именно в	4	5
100	и без	2	5
101	по своему	5	5
102	на все	3	5
103	быть и	1	5
104	не будет	1	5
105	между двумя	1	5
106	лишь только	1	5
107	далеко не	1	5
108	лишь в	3	5
109	так называемого	1	5
110	в себе	5	5
111	и от	6	5
112	что все	2	5
113	столь же	1	5
114	как будто	2	5
115	к этому	11	5
116	в пользу	1	5
117	в целом	3	5
118	из них	3	5
119	но в	19	5
120	не так	1	4
121	и то	13	4
122	та же	1	4
123	этой области	2	4
124	на вопрос	2	4
125	самого себя	1	4
126	которых мы	1	4
127	этом случае	1	4
128	хотя и	9	4
129	тем не	8	4
130	совершенно не	2	4
131	из которых	1	4
132	в их	2	4
133	в виде	4	4
134	связи с	7	4
135	что его	8	4
136	одним из	3	4
137	в конце	22	4
138	в таком	2	4
139	с тем	4	4
140	в в	4	4
141	не есть	4	4
142	не могут	2	4
143	выше мы	3	4
144	и у	4	4
145	и сейчас	2	4
146	а с	5	4
147	что мы	2	4
148	мы уже	8	4
149	в течение	13	4
150	ни один	1	4
151	хотя бы	5	4
152	то ни	2	4
153	в дальнейшем	10	4
154	в такой	1	4
155	мы должны	3	4
156	для меня	8	4
157	факт что	1	4
158	целый ряд	1	4
159	отношение к	7	4
160	что для	5	4
161	что как	1	4
162	без того	1	4
163	том же	4	4
164	в области	3	4
165	он не	13	4
166	конце концов	6	4
167	всех этих	3	4
168	мы сказали	2	4
169	то же	10	4
170	никогда не	15	4
171	во всем	4	3
172	бы то	2	3
173	на почве	1	3
174	от него	3	3
175	а наоборот	1	3
176	только что	2	3
177	и по	10	3
178	которые не	1	3
179	в начале	7	3
180	с одной	1	3
181	тогда когда	1	3
182	за ними	1	3
183	даже в	4	3
184	ни было	1	3
185	в нашем	5	3
186	в разных	1	3
187	как у	3	3
188	для нас	9	3
189	на нас	1	3
190	в с	7	3
191	прежде всего	5	3
192	у нас	11	3
193	одно из	1	3
194	коренным образом	1	3
195	в этих	5	3
196	чем в	2	3
197	что по	1	3
198	в нем	7	3
199	заключается в	1	3
200	военную и	1	3
201	представление о	2	3
202	очень много	2	3
203	в жизни	4	3
204	можно назвать	1	3
205	в связи	9	3
206	во имя	1	3
207	по одному	2	3
208	но по	2	3
209	на земле	2	3
210	то из	1	3
211	настоящее время	2	3
212	есть начало	1	3
213	в истории	4	3
214	может не	1	3
215	эти мысли	1	3
216	и это	4	3
217	в сторону	1	3
218	ничего общего	1	3
219	что их	1	3
220	и вообще	12	3
221	гораздо больше	1	3
222	тем более	4	3
223	жизнь и	3	3
224	только одно	4	3
225	и того	1	3
226	и потому	8	3
227	всему этому	2	3
228	в данном	1	3
229	и других	2	3
230	вопрос о	1	3
231	но даже	3	3
232	в ней	5	3
233	сказали что	1	3
234	что если	3	3
235	с этой	4	3
236	это не	3	3
237	в тех	3	3
238	тем самым	2	3
239	и до	4	3
240	с в	6	3
241	конечно не	5	3
242	уже и	4	3
243	не вполне	3	3
244	от того	2	3
245	при помощи	1	3
246	к которой	2	3
247	каждый из	1	3
248	а в	20	3
249	как известно	2	3
250	сказано выше	1	3
251	было бы	7	3
252	как мы	17	3
253	сейчас же	1	3
254	что только	1	3
255	мы будем	4	3
256	семьи и	1	3
257	образом в	2	3
258	но не	5	3
259	в эти	14	3
260	таким же	1	3
261	бы в	1	3
262	в настоящее	2	3
263	тот же	7	3
264	и наконец	2	3
265	не то	3	3
266	одной и	1	2
267	все в	1	2
268	с которыми	2	2
269	что за	1	2
270	к такому	1	2
271	от нее	3	2
272	и весь	2	2
273	что они	4	2
274	только не	2	2
275	заметим что	1	2
276	но на	3	2
277	что у	4	2
278	мы и	4	2
279	что эти	1	2
280	то есть	5	2
281	сказали выше	1	2
282	то в	6	2
283	мы все	1	2
284	в свет	2	2
285	на том	1	2
286	для себя	6	2
287	не без	7	2
288	которого в	1	2
289	для него	16	2
290	а это	3	2
291	это обстоятельство	1	2
292	раннем детстве	2	2
293	те же	2	2
294	то и	3	2
295	него в	4	2
296	невозможно и	1	2
297	но как	6	2
298	разобраться в	1	2
299	и из	5	2
300	сводится к	1	2
301	этими двумя	1	2
302	том и	1	2
303	однако при	1	2
304	но с	1	2
305	в своих	7	2
306	не было	12	2
307	не потому	1	2
308	все то	1	2
309	не очень	6	2
310	и сам	7	2
311	из нее	1	2
312	все дело	1	2
313	во внимание	1	2
314	на нее	1	2
315	том виде	1	2
316	вовсе не	8	2
317	веры в	1	2
318	и начало	1	2
319	на месте	2	2
320	жизни и	8	2
321	то время	6	2
322	чтобы быть	1	2
323	если он	1	2
324	между этими	1	2
325	тому что	1	2
326	я не	8	2
327	между ними	2	2
328	с ними	2	2
329	их в	3	2
330	между прочим	18	2
331	и так	3	2
332	в которых	1	2
333	никто не	1	2
334	есть только	1	2
335	следовательно и	1	2
336	они не	1	2
337	себя и	1	2
338	не имеет	2	2
339	высшей степени	1	2
340	со своей	5	2
341	почти все	1	2
342	в себя	1	2
343	не стоит	1	2
344	у в	1	2
345	на себе	1	2
346	по его	3	2
347	вопросе о	1	2
348	к той	2	2
349	в них	5	2
350	этих двух	2	2
351	своему быту	1	2
352	во всяком	8	2
353	ко всему	4	2
354	ответить на	1	2
355	а к	24	2
356	а для	1	2
357	и более	1	2
358	в котором	10	2
359	до тех	2	2
360	и только	1	2
361	на этом	3	2
362	истории все	1	2
363	по тем	1	2
364	эти последние	4	2
365	что несмотря	1	2
366	этого последнего	3	2
367	она не	3	2
368	другими словами	1	2
369	всяком случае	8	2
370	к нему	6	2
371	в свою	3	2
372	одной стороны	1	2
373	в англию	2	2
374	также и	13	2
375	ту же	1	2
376	и поэтому	1	2
377	же касается	8	2
378	и уже	1	2
379	невозможно но	1	2
380	к тем	1	2
381	всеми этими	1	2
382	говорить о	1	2
383	о них	1	2
384	считать его	1	2
385	тех же	3	2
386	которую он	6	2
387	него с	1	2
388	как тот	1	2
389	из него	1	2
390	с общим	1	2
391	не следует	1	2
392	только то	1	2
393	и те	1	2
394	же время	7	2
395	но вместе	1	2
396	свою очередь	2	2
397	очень мало	2	2
398	я в	4	2
399	что же	11	2
400	к ним	1	2
401	на такой	2	2
402	со своими	4	2
403	это конечно	4	2
404	тех пор	2	2
405	общего с	1	2
406	о которой	3	2
407	он все	2	2
408	было принято	1	2
409	той же	6	2
410	на исторические	1	2
411	том чтобы	4	2
412	для самого	1	2
413	в высшей	2	2
414	на него	3	2
415	в глазах	1	2
416	на первый	4	2
417	от времени	1	2
418	только при	1	2
419	по этому	3	2
420	во всей	1	2
421	культура не	1	2
422	что она	2	2
423	в частности	4	2
424	одна из	1	2
425	этого слова	1	2
426	весьма часто	1	2
427	в сущности	2	2
428	но если	1	2
429	и его	12	2
430	что до	1	2
431	всех народов	1	2
432	от них	1	2
433	мы видели	1	2
434	а следовательно	1	2
435	отнюдь не	3	2
436	независимо от	1	2
437	с ее	1	2
438	что такие	1	2
439	которой мы	3	2
440	в самой	1	2
441	или вовсе	1	2
442	и особенно	6	2
443	если это	2	2
444	что на	2	2
445	психологии в	1	2
446	друг друга	3	2
447	гораздо более	1	2
448	из этой	1	2
449	для россии	1	1
450	с к	1	1
451	всегда будут	1	1
452	а настоящее	1	1
453	своей вежливости	1	1
454	потому чтобы	1	1
455	начиная с	3	1
456	само собой	2	1
457	ввиду того	2	1
458	и другие	2	1
459	отнесся к	1	1
460	которой я	1	1
461	в другой	1	1
462	видели что	1	1
463	для всех	2	1
464	в более	3	1
465	него только	1	1
466	он есть	1	1
467	один из	4	1
468	и например	1	1
469	то обстоятельство	2	1
470	собой и	1	1
471	оно может	1	1
472	дальнейшей работе	1	1
473	это делает	3	1
474	за ним	1	1
475	говоря уже	3	1
476	ему что	1	1
477	же и	1	1
478	на мою	1	1
479	надо считать	1	1
480	друга в	1	1
481	время я	1	1
482	правда весьма	1	1
483	его жилах	1	1
484	не во	1	1
485	и свою	1	1
486	но из	1	1
487	и среди	1	1
488	если в	1	1
489	то я	1	1
490	трудно как	1	1
491	свидетельствует о	3	1
492	ее на	3	1
493	поддерживать свою	1	1
494	сам он	2	1
495	вообще говоря	2	1
496	того как	2	1
497	от этой	1	1
498	и самому	1	1
499	и пр	1	1
500	с и	4	1
501	за исключением	1	1
502	столкновение с	1	1
503	том числе	1	1
504	вполне понятно	1	1
505	уже в	9	1
506	остались без	1	1
507	мы не	2	1
508	некоторой степени	3	1
509	ним и	1	1
510	с такой	1	1
511	время в	4	1
512	что я	5	1
513	прогресса но	1	1
514	мало и	1	1
515	по всему	1	1
516	еще более	3	1
517	нам приходится	1	1
518	была бы	1	1
519	эта идея	1	1
520	объективен и	1	1
521	то для	2	1
522	заключающие в	1	1
523	бы на	2	1
524	в своей	7	1
525	я вынес	1	1
526	человек с	1	1
527	до некоторой	2	1
528	объяснения его	1	1
529	на этих	2	1
530	он и	8	1
531	кроме того	12	1
532	строго говоря	1	1
533	всегда был	2	1
534	и сильно	1	1
535	никак не	6	1
536	будет ли	1	1
537	мысли и	5	1
538	концов в	1	1
539	что так	1	1
540	чуждой для	1	1
541	не приходится	1	1
542	по мнению	1	1
543	по адресу	1	1
544	что такое	3	1
545	близким к	1	1
546	ее в	1	1
547	и тут	2	1
548	и нужно	2	1
549	и сама	2	1
550	своей истории	1	1
551	в качестве	7	1
552	общения с	1	1
553	потому не	1	1
554	в тот	3	1
555	одному из	1	1
556	ярко выраженной	1	1
557	и кажется	3	1
558	с каждым	2	1
559	со своим	5	1
560	у а	1	1
561	в прошлом	1	1
562	до всякого	1	1
563	на которой	1	1
564	из своих	1	1
565	с европой	1	1
566	с другими	1	1
567	однако он	2	1
568	они кажутся	1	1
569	в правильности	1	1
570	а все	1	1
571	смысле этого	1	1
572	как нечто	2	1
573	быть может	1	1
574	конечно невозможно	1	1
575	о ее	1	1
576	к жизни	2	1
577	их всех	1	1
578	из многочисленных	2	1
579	с разными	1	1
580	в отношении	5	1
581	и всякой	3	1
582	только еще	1	1
583	как с	1	1
584	тем больше	2	1
585	а на	1	1
586	свои мысли	1	1
587	и притом	5	1
588	борьбу с	1	1
589	без всяких	2	1
590	как объяснить	1	1
591	и многие	1	1
592	по пути	1	1
593	отказаться от	1	1
594	здесь мы	4	1
595	о высшем	2	1
596	этого не	2	1
597	элементы в	1	1
598	национальная культура	1	1
599	попасть в	1	1
600	с такими	1	1
601	психологии а	1	1
602	с ней	3	1
603	этом не	3	1
604	его никто	1	1
605	в моем	1	1
606	самые разнообразные	1	1
607	для большинства	1	1
608	который как	1	1
609	будто бы	2	1
610	во многих	2	1
611	этот факт	2	1
612	дело в	7	1
613	мысль о	1	1
614	весь свой	1	1
615	зато в	1	1
616	психология в	1	1
617	о своей	1	1
618	раз навсегда	1	1
619	у людей	1	1
620	на себя	3	1
621	и эта	1	1
622	достаточно ясно	1	1
623	после которого	1	1
624	тем что	2	1
625	я более	1	1
626	взгляды на	1	1
627	его семья	1	1
628	а то	2	1
629	приведенных выше	1	1
630	теперь они	1	1
631	тут уже	1	1
632	из всего	1	1
633	и всю	1	1
634	очень быстро	2	1
635	без влияния	2	1
636	я и	2	1
637	помимо этого	1	1
638	например в	1	1
639	совсем в	1	1
640	более что	2	1
641	отношения к	4	1
642	конечно на	1	1
643	и другим	1	1
644	случае не	1	1
645	факт не	1	1
646	я совершенно	1	1
647	и как	7	1
648	обстоятельство что	2	1
649	как о	1	1
650	но он	7	1
651	к его	5	1
652	есть нечто	2	1
653	время как	3	1
654	этой цели	1	1
655	сомнения и	1	1
656	может только	2	1
657	виде в	2	1
658	а именно	4	1
659	и перед	1	1
660	долго и	1	1
661	не переставал	1	1
662	уже о	3	1
663	у животных	1	1
664	и просто	3	1
665	на эту	3	1
666	много но	1	1
667	но когда	1	1
668	как в	6	1
669	нужно чтобы	1	1
670	жизни в	3	1
671	так в	1	1
672	состоянии в	2	1
673	другом месте	1	1
674	к концу	7	1
675	правда не	1	1
676	и впоследствии	1	1
677	к своему	4	1
678	последнее время	2	1
679	что между	1	1
680	если я	1	1
681	была у	2	1
682	и я	7	1
683	них мы	1	1
684	да и	6	1
685	же после	1	1
686	у одного	2	1
687	совместной работы	1	1
688	больше всего	3	1
689	мы находим	2	1
690	веру в	1	1
691	которая по	1	1
692	даже что	1	1
693	это было	9	1
694	роль в	1	1
695	со стороны	5	1
696	на его	7	1
697	за нею	1	1
698	себе и	2	1
699	знает что	1	1
700	на их	1	1
701	всей своей	2	1
702	деле это	1	1
703	в историю	1	1
704	и постоянно	2	1
705	этих элементов	1	1
706	но мы	3	1
707	семья с	1	1
708	что тот	1	1
709	сделать из	1	1
710	в других	1	1
711	уже не	6	1
712	не имели	2	1
713	по крайней	1	1
714	относиться к	2	1
715	перед нами	1	1
716	связаны с	1	1
717	с удивлением	1	1
718	который и	1	1
719	на всю	2	1
720	а потом	1	1
721	русской истории	2	1
722	на место	1	1
723	с остальными	1	1
724	они обыкновенно	1	1
725	всех своих	2	1
726	его к	3	1
727	основанной на	1	1
728	затруднения в	1	1
729	уже сказали	2	1
730	к одному	1	1
731	остается в	1	1
732	и прикрытые	1	1
733	в каждом	1	1
734	нет ничего	1	1
735	не говоря	4	1
736	сохраняют и	1	1
737	общий тон	1	1
738	истинный смысл	1	1
739	но тут	2	1
740	это и	2	1
741	еще и	10	1
742	ни на	1	1
743	нами выше	1	1
744	и отчасти	1	1
745	сами ни	1	1
746	исторические основания	1	1
747	выходит что	1	1
748	только к	3	1
749	за то	2	1
750	больше чем	2	1
751	и третий	1	1
752	с самого	1	1
753	после этого	2	1
754	то это	4	1
755	мыслей и	1	1
756	стороны но	1	1
757	можно считать	3	1
758	бы с	2	1
759	что этот	4	1
760	с известным	1	1
761	жизни он	1	1
762	и которую	1	1
763	ведь в	1	1
764	на свои	2	1
765	и выше	1	1
766	не считал	1	1
767	которые однако	1	1
768	и даже	23	1
769	этого общего	1	1
770	свою книгу	2	1
771	работой в	1	1
772	даже и	12	1
773	многих из	1	1
774	человечество и	1	1
775	такие люди	1	1
776	не могу	2	1
777	животных что	1	1
778	и вот	5	1
779	в значительной	1	1
780	на котором	2	1
781	в отдалении	1	1
782	земле в	1	1
783	на вид	1	1
784	тут никакой	1	1
785	это все	1	1
786	а из	2	1
787	совсем не	7	1
788	или не	1	1
789	не будучи	1	1
790	близости к	2	1
791	на два	1	1
792	вызывает в	1	1
793	с нами	3	1
794	в разные	1	1
795	а может	1	1
796	а после	1	1
797	близкий к	2	1
798	из его	6	1
799	с большим	1	1
800	как из	1	1
801	язык и	1	1
802	в этот	5	1
803	и весьма	2	1
804	просто не	2	1
805	я этого	2	1
806	кажется что	3	1
807	от всех	1	1
808	с которой	2	1
809	развития то	1	1
810	господствовать над	1	1
811	как сам	1	1
812	н с	1	1
813	которой он	7	1
814	народа и	2	1
815	к такой	1	1
816	когда она	1	1
817	об отношении	1	1
818	на нем	1	1
819	а за	3	1
820	принимать все	1	1
821	только на	3	1
822	жизни если	1	1
823	своих знакомых	1	1
824	концу этого	1	1
825	одно и	1	1
826	себе на	1	1
827	на миг	1	1
828	не были	2	1
829	и та	1	1
830	в науке	3	1
831	все части	1	1
832	точно так	2	1
833	в различных	1	1
834	на пути	1	1
835	не могла	3	1
836	связь между	1	1
837	это была	3	1
838	приходит к	1	1
839	на основании	3	1
840	а таких	1	1
841	и была	1	1
842	тем и	1	1
843	говоря о	2	1
844	и хотя	3	1
845	для своей	1	1
846	этой стороны	1	1
847	и затем	2	1
848	и жизни	1	1
849	можно найти	1	1
850	и психологии	7	1
851	что когда	1	1
852	в семье	3	1
853	еще один	2	1
854	в университет	1	1
855	находить в	1	1
856	этому поводу	2	1
857	с удовольствием	1	1
858	на первых	1	1
859	и часто	3	1
860	дела надо	1	1
861	переворот в	1	1
862	наука не	1	1
863	же самое	1	1
864	этом у	1	1
865	но этот	3	1
866	человечества а	1	1
867	людей которые	1	1
868	гордости и	1	1
869	и той	1	1
870	и развитию	1	1
871	с большой	1	1
872	не по	2	1
873	на которые	1	1
874	отрицательным в	1	1
875	истории и	1	1
876	разные стороны	1	1
877	большей частью	1	1
878	поездки в	1	1
879	и еще	3	1
880	пока еще	2	1
881	быть не	1	1
882	похожа на	1	1
883	для той	1	1
884	и глубоко	3	1
885	он в	4	1
886	к ней	7	1
887	нее и	2	1
888	без всякого	2	1
889	заметить что	2	1
890	а а	7	1
891	возможно что	1	1
892	с такою	1	1
893	духовным потребностям	1	1
894	своей стороны	1	1
895	ко всей	1	1
896	частью в	1	1
897	основан на	1	1
898	не осталось	1	1
899	однако эти	1	1
900	главным образом	5	1
901	и самого	2	1
902	оба они	3	1
903	что среди	1	1
904	или о	2	1
905	указаний на	1	1
906	нет и	2	1
907	наряду с	1	1
908	по другим	1	1
909	является конечно	1	1
910	всегда в	1	1
911	этом и	2	1
912	в общих	1	1
913	от общей	1	1
914	быть в	1	1
915	до конца	8	1
916	жизни к	1	1
917	значит и	1	1
918	с нею	1	1
919	уже знаем	1	1
920	та часть	2	1
921	лучше всего	1	1
922	о тех	1	1
923	на историю	1	1
924	и гораздо	1	1
925	среди своих	1	1
926	из трех	3	1
927	и непонятной	1	1
928	а сразу	1	1
929	человечество в	1	1
930	вообще к	1	1
931	оно представляет	1	1
932	себя довольно	1	1
933	к а	4	1
934	в современной	1	1
935	над вторым	1	1
936	только после	2	1
937	те кто	1	1
938	именно с	2	1
939	с его	15	1
940	сказать что	14	1
941	он сам	3	1
942	в создании	1	1
943	просто нет	1	1
944	что особенно	1	1
945	все более	1	1
946	для тех	2	1
947	есть следствие	1	1
948	а как	1	1
949	который у	1	1
950	что во	2	1
951	это просто	1	1
952	каким был	1	1
953	не имело	1	1
954	только с	1	1
955	весьма существенные	1	1
956	кто знает	1	1
957	к этим	1	1
958	ведь и	1	1
959	современности и	1	1
960	выше всех	1	1
961	не мог	10	1
962	себе как	1	1
963	а не	5	1
964	своих собеседников	1	1
965	же он	1	1
966	тоже весьма	1	1
967	этому вопросу	1	1
968	если только	1	1
969	дальше в	2	1
970	крайней мере	1	1
971	языке а	1	1
972	в который	1	1
973	здесь не	6	1
974	целого ряда	1	1
975	еще одной	1	1
976	и тем	2	1
977	ничего не	4	1
978	жизни с	2	1
979	есть не	1	1
980	раньше чем	1	1
981	в руках	1	1
982	бы человечество	1	1
983	и мало	1	1
