N	2gram	Tiupa_Disk	NovoeSre
1	а не	35	17
2	не может	17	16
3	и в	27	16
4	нового времени	2	12
5	и не	25	11
6	и есть	2	10
7	что в	8	9
8	в эпоху	5	9
9	в том	29	8
10	как не	3	8
11	жизни и	2	8
12	он не	4	8
13	в этом	29	7
14	может быть	29	7
15	не будет	1	7
16	как и	27	7
17	ни в	7	6
18	не знает	4	6
19	не в	8	6
20	лишь в	4	6
21	с его	9	6
22	но это	3	6
23	никогда не	3	6
24	и к	4	5
25	не только	36	5
26	в ней	2	5
27	истории в	2	5
28	все это	2	5
29	xix века	1	5
30	в жизни	2	5
31	в нем	16	5
32	с ее	3	5
33	должен быть	1	5
34	культуры в	1	5
35	и потому	3	4
36	и мы	1	4
37	по своему	3	4
38	должно быть	2	4
39	потому что	7	4
40	это не	5	4
41	прежде всего	17	4
42	в них	6	4
43	то что	10	4
44	не было	9	4
45	новое время	1	4
46	и все	5	4
47	не менее	6	4
48	не имеет	1	4
49	эпохи и	2	4
50	о том	12	4
51	наше время	4	4
52	к лицу	2	3
53	во всех	6	3
54	вопрос о	2	3
55	в наше	4	3
56	должна быть	2	3
57	она не	1	3
58	тому как	5	3
59	в ее	4	3
60	что такое	1	3
61	в прошлом	1	3
62	лицом к	2	3
63	к реальному	1	3
64	за пределы	2	3
65	стремится к	3	3
66	подобно тому	4	3
67	в истории	5	3
68	не существует	1	3
69	в новое	1	3
70	с другой	14	3
71	в основе	11	3
72	к ним	3	3
73	в россии	1	3
74	сказать что	4	3
75	наряду с	1	3
76	с тем	1	3
77	к жизни	1	3
78	не есть	3	3
79	в своей	10	3
80	в мире	9	3
81	как в	16	3
82	жизни в	4	3
83	но и	22	3
84	это было	2	3
85	жизни не	2	3
86	к тому	6	3
87	еще не	20	3
88	с этим	3	2
89	более не	1	2
90	и большая	1	2
91	и от	2	2
92	это и	2	2
93	ни к	11	2
94	и что	2	2
95	не могли	1	2
96	на протяжении	2	2
97	переходе от	2	2
98	что она	1	2
99	не имеют	2	2
100	и было	3	2
101	духовной жизни	1	2
102	зависит от	2	2
103	и заключается	1	2
104	самый процесс	1	2
105	с одной	12	2
106	хотя бы	3	2
107	такого рода	11	2
108	мы не	2	2
109	нем нет	1	2
110	хотя и	3	2
111	которых не	1	2
112	истории а	1	2
113	так и	14	2
114	нашего времени	2	2
115	как это	2	2
116	это представляется	1	2
117	но она	3	2
118	одной стороны	12	2
119	и должно	2	2
120	другой стороны	5	2
121	времени и	5	2
122	с их	3	2
123	этом смысле	1	2
124	том и	1	2
125	место в	2	2
126	а в	5	2
127	когда мы	1	2
128	и даже	4	2
129	века и	1	2
130	и с	2	2
131	вернуться к	1	2
132	жизни как	2	2
133	для этого	1	2
134	нет и	1	2
135	равно как	1	2
136	могут быть	5	2
137	в себе	22	2
138	том чтобы	2	2
139	и на	8	2
140	быть в	1	2
141	уже не	7	2
142	я не	1	2
143	времени в	3	2
144	все эти	2	2
145	есть в	3	2
146	же как	1	2
147	такой же	1	2
148	вместе с	3	2
149	одна из	1	2
150	мира и	3	2
151	роль в	10	2
152	как будто	3	2
153	в категориях	1	2
154	но не	17	2
155	в то	8	2
156	стоят на	1	2
157	должно было	2	2
158	в новом	2	2
159	том что	27	2
160	бытия в	1	2
161	мир и	1	2
162	и это	3	2
163	можно назвать	2	2
164	в смысле	1	2
165	но для	2	2
166	к созданию	1	2
167	себя в	8	2
168	к богу	1	2
169	но в	15	2
170	и т.п	18	2
171	мысли в	1	2
172	мысли и	2	2
173	формы и	1	2
174	обращение к	2	2
175	не к	3	2
176	к более	1	2
177	связаны с	1	2
178	к содержанию	3	2
179	т.п так	1	1
180	в той	2	1
181	мне представляется	1	1
182	она сама	2	1
183	своего рода	15	1
184	и мир	1	1
185	необходимой для	1	1
186	в самом	4	1
187	ближе к	2	1
188	во всем	2	1
189	к одному	2	1
190	дальнейшее развитие	1	1
191	и того	6	1
192	но тут	1	1
193	до этого	1	1
194	привело к	4	1
195	том случае	1	1
196	можно сказать	7	1
197	двойственно и	1	1
198	человек как	1	1
199	человека в	6	1
200	то они	1	1
201	во все	1	1
202	но оно	1	1
203	для всех	2	1
204	замкнутой и	1	1
205	и быть	1	1
206	до сих	1	1
207	к политической	1	1
208	а к	3	1
209	и более	1	1
210	в котором	7	1
211	из сторон	1	1
212	общества его	1	1
213	по природе	6	1
214	по преимуществу	2	1
215	жизни для	1	1
216	значение в	1	1
217	выходит за	1	1
218	ничем не	1	1
219	и разложения	1	1
220	что этот	1	1
221	отличие от	13	1
222	что будет	2	1
223	мир в	1	1
224	же и	1	1
225	более глубоком	1	1
226	они не	2	1
227	из них	6	1
228	есть нарушение	1	1
229	все еще	1	1
230	на нем	1	1
231	протекающей в	1	1
232	современной культуры	2	1
233	котором и	1	1
234	случае если	1	1
235	который не	2	1
236	свидетельствует о	2	1
237	жизненной энергии	1	1
238	жизни а	2	1
239	которая в	3	1
240	своей природе	3	1
241	этого она	1	1
242	целостности но	1	1
243	не могу	1	1
244	уже в	2	1
245	на ее	2	1
246	и про	1	1
247	к себе	2	1
248	суждено было	1	1
249	в свою	3	1
250	в значительной	3	1
251	от мира	1	1
252	и имеет	1	1
253	в состоянии	1	1
254	для себя	6	1
255	из этих	3	1
256	во всяком	3	1
257	том числе	3	1
