N	4gram	Voloshinov	Komedia
1	бы то ни было	1	7
2	ни в чем не	3	3
3	с этой точки зрения	1	2
4	одних и тех же	1	2
5	мы имеем в виду	1	2
6	только для того чтобы	1	2
7	не что иное как	1	1
8	ни в коем случае	1	1
9	если бы он был	1	1
10	до поры до времени	1	1
11	мы можем сказать что	1	1
12	подобно тому как мы	1	1
13	в связи с этим	1	1
14	практически он может быть	1	1
15	по его мнению не	1	1
16	и не нуждается в	1	1
17	одного и того же	1	1
18	до сих пор еще	1	1
19	так же как и	1	1
20	было до сих пор	1	1
21	одна и та же	1	1
