N	2gram	Bakhtin_KF	VrazhdaK
1	не только	5	9
2	в этом	15	8
3	и в	28	8
4	что в	4	7
5	и все	9	7
6	но и	9	7
7	то что	7	7
8	о нем	4	6
9	как и	5	6
10	и даже	1	6
11	и с	1	6
12	все же	5	6
13	в котором	24	6
14	в нем	32	6
15	но в	5	6
16	то же	5	5
17	и не	28	5
18	между тем	4	5
19	об этом	1	5
20	не было	8	5
21	же время	2	5
22	в то	3	5
23	это не	10	4
24	при этом	4	4
25	несмотря на	1	4
26	с ним	5	4
27	для нас	4	4
28	все это	10	4
29	в виду	3	4
30	в своих	4	4
31	что он	2	4
32	о том	3	4
33	может быть	45	4
34	в ней	3	4
35	в истории	1	4
36	как бы	9	4
37	в его	42	3
38	в том	6	3
39	его в	5	3
40	но он	1	3
41	я не	6	3
42	и как	2	3
43	тем что	3	3
44	в чем	4	3
45	эти слова	1	3
46	том что	4	3
47	в этот	1	3
48	он не	6	3
49	и уже	1	3
50	и о	1	3
51	что есть	2	3
52	в своем	17	3
53	на то	1	3
54	с его	2	3
55	и его	18	3
56	к этому	2	3
57	и во	1	3
58	и то	2	2
59	и он	1	2
60	в момент	3	2
61	время и	5	2
62	его с	2	2
63	к себе	2	2
64	с точки	10	2
65	для него	13	2
66	его и	2	2
67	этот момент	7	2
68	как раз	1	2
69	же не	1	2
70	за границей	1	2
71	же в	1	2
72	отношения к	1	2
73	его на	2	2
74	в мире	8	2
75	их в	1	2
76	в своей	11	2
77	рядом с	3	2
78	вместе с	1	2
79	в это	2	2
80	в известном	1	2
81	не менее	3	2
82	и это	12	2
83	в эту	1	2
84	еще не	5	2
85	ко мне	6	2
86	меня но	4	2
87	но как	5	2
88	а с	2	2
89	это в	1	2
90	в свою	3	2
91	на основе	7	2
92	и т.п	1	2
93	в этой	2	2
94	а в	5	2
95	меня как	3	2
96	к ним	4	2
97	отношение к	6	2
98	уже не	7	2
99	этот человек	1	2
100	в себе	21	2
101	что я	5	2
102	не может	29	2
103	место в	6	2
104	с которым	1	2
105	столь же	1	2
106	том же	1	2
107	точки зрения	13	2
108	одна из	1	2
109	отнюдь не	7	2
110	но это	6	2
111	не мог	1	2
112	в него	2	2
113	и ее	2	2
114	никогда не	5	2
115	могли быть	1	2
116	все в	1	1
117	в самом	1	1
118	во всем	7	1
119	как к	2	1
120	именно к	1	1
121	так и	2	1
122	в литературе	1	1
123	все что	1	1
124	до сих	1	1
125	в душе	1	1
126	один из	2	1
127	можно говорить	1	1
128	и этот	3	1
129	ему в	2	1
130	со мной	7	1
131	из которых	2	1
132	ближе к	3	1
133	они не	1	1
134	только что	1	1
135	ее уже	1	1
136	этот процесс	1	1
137	это будет	1	1
138	за которую	1	1
139	второй половине	1	1
140	знать и	1	1
141	за исключением	1	1
142	нем в	1	1
143	что уже	1	1
144	предположение что	1	1
145	не будем	1	1
146	он как	1	1
147	еще более	2	1
148	из всех	1	1
149	что это	4	1
150	хотя и	1	1
151	а это	2	1
152	единства и	2	1
153	он и	2	1
154	и из	1	1
155	в ее	17	1
156	только не	1	1
157	того что	3	1
158	в качестве	2	1
159	него в	1	1
160	не являются	1	1
161	прежде всего	4	1
162	в оценке	1	1
163	ее и	6	1
164	это слово	1	1
165	и индивидуальное	1	1
166	нет ничего	1	1
167	в этих	1	1
168	в их	9	1
169	все равно	1	1
170	есть еще	1	1
171	но с	1	1
172	первая часть	1	1
173	в духе	1	1
174	в разные	1	1
175	конечно в	2	1
176	же с	2	1
177	а за	1	1
178	этого не	1	1
179	в одном	5	1
180	их и	1	1
181	равно как	1	1
182	что за	2	1
183	но не	12	1
184	в ту	2	1
185	но для	3	1
186	если это	1	1
187	в составе	2	1
188	именно в	5	1
189	жизни и	8	1
190	на характер	1	1
191	с прибавлением	1	1
192	в процессе	2	1
193	внимание в	1	1
194	в жизни	2	1
195	уже давно	1	1
196	более что	1	1
197	и эстетический	2	1
198	меня в	3	1
199	человек и	2	1
200	но ведь	5	1
201	ясно что	3	1
202	как о	1	1
203	я всегда	1	1
204	в соответствии	2	1
205	говорить об	1	1
206	себя как	2	1
207	не есть	22	1
208	а их	1	1
209	между прочим	1	1
210	меня я	1	1
211	как в	2	1
212	следовательно и	1	1
213	правда не	1	1
214	по своему	3	1
215	и я	6	1
216	никто не	1	1
217	отличается от	1	1
218	его жизни	3	1
219	прочим и	1	1
220	который не	1	1
221	ему и	1	1
222	это было	2	1
223	людьми и	1	1
224	общее дело	1	1
225	жизнь только	1	1
226	не имеет	6	1
227	ничего общего	2	1
228	но мы	1	1
229	тем не	2	1
230	раз и	2	1
231	сих пор	1	1
232	не был	1	1
233	жизнь и	2	1
234	с этим	1	1
235	во всех	11	1
236	вошли в	2	1
237	сам же	1	1
238	до того	1	1
239	во всяком	1	1
240	только от	1	1
241	это и	3	1
242	во все	1	1
243	момент здесь	1	1
244	что этот	3	1
245	которой он	2	1
246	ли это	2	1
247	и большой	1	1
248	совпадает с	1	1
249	но при	1	1
250	существенно что	2	1
251	я ее	1	1
252	потому что	2	1
253	не знаю	1	1
254	все свои	1	1
255	живет в	1	1
256	также и	1	1
257	совсем не	2	1
258	что первая	1	1
259	только как	4	1
260	человека как	1	1
261	из их	1	1
262	я только	1	1
263	быть и	3	1
264	во второй	1	1
265	он принимает	1	1
266	не будет	2	1
267	не могло	1	1
268	и их	6	1
269	говорить о	2	1
270	не с	1	1
271	что эта	2	1
272	отношении к	2	1
273	не об	1	1
274	всех этих	3	1
275	в форме	1	1
276	людей и	3	1
277	этот факт	2	1
278	стремится быть	1	1
279	этом смысле	3	1
280	тем самым	4	1
281	что ее	1	1
282	по своей	1	1
283	от того	3	1
284	человека и	3	1
285	в каком	4	1
286	свою очередь	1	1
287	через него	1	1
288	и можно	1	1
289	вне его	1	1
290	содержания в	1	1
291	и т.д	4	1
292	было бы	8	1
293	а тем	1	1
294	же на	1	1
295	соответствии с	2	1
296	себя в	8	1
297	известном смысле	1	1
298	я с	1	1
299	которых он	1	1
300	ее не	1	1
301	и никогда	1	1
302	по которой	1	1
303	бы его	1	1
304	той же	1	1
305	могут быть	3	1
306	только по	2	1
307	это можно	2	1
308	три строки	1	1
309	такая же	1	1
310	до конца	3	1
311	что только	2	1
312	только при	1	1
313	в первой	1	1
314	и от	1	1
315	и есть	10	1
316	вышел из	1	1
317	во всей	4	1
318	всю жизнь	1	1
319	такой же	1	1
320	но я	2	1
321	однажды в	1	1
322	не стоит	1	1
323	от них	1	1
324	а следовательно	3	1
325	всяком случае	1	1
326	независимо от	3	1
327	момент его	9	1
328	друг друга	1	1
329	с ее	2	1
330	из него	4	1
331	не просто	1	1
332	того же	1	1
333	в целом	10	1
334	едва ли	2	1
335	одного и	2	1
336	и наконец	1	1
337	ничего не	3	1
338	человека но	1	1
339	поэтому он	1	1
340	к нему	12	1
341	котором он	3	1
342	сам этот	2	1
