N	3gram	Losev_Prob	Russkaja
1	в то же	10	10
2	с точки зрения	9	9
3	в том что	17	7
4	на самом деле	5	6
5	во всяком случае	8	6
6	для того чтобы	4	6
7	до сих пор	4	5
8	не может быть	5	4
9	на то что	2	4
10	более или менее	2	4
11	бы то ни	5	4
12	во что бы	1	3
13	что бы то	1	3
14	той или иной	16	3
15	в конце концов	4	3
16	вместе с тем	1	3
17	можно было бы	6	3
18	в данном случае	12	3
19	в этом случае	8	3
20	с тем чтобы	1	3
21	и то что	8	3
22	к вопросу о	1	3
23	и не может	1	3
24	то ни стало	1	3
25	что он не	2	2
26	в том и	1	2
27	того или иного	5	2
28	тот факт что	1	2
29	в значительной мере	2	2
30	и во всяком	3	2
31	точно так же	5	2
32	и тем самым	3	2
33	о том что	8	2
34	только в том	2	2
35	в себе и	2	2
36	не могут не	1	2
37	сама по себе	11	2
38	к тому что	1	2
39	а следовательно и	1	2
40	но и к	1	2
41	жизни и деятельности	1	2
42	в другом случае	2	2
43	и не будет	1	2
44	друг от друга	3	2
45	в настоящее время	4	2
46	должны были бы	1	1
47	тем что они	1	1
48	но для нас	1	1
49	само собой разумеется	1	1
50	и не к	1	1
51	но при этом	1	1
52	в самом деле	1	1
53	те или другие	3	1
54	том виде как	4	1
55	указывает на то	1	1
56	и как бы	2	1
57	являются не просто	2	1
58	и в частности	4	1
59	что оно есть	1	1
60	за то что	1	1
61	и с точки	2	1
62	дело в том	4	1
63	смысле этого слова	1	1
64	язык да и	1	1
65	отнюдь не всякий	2	1
66	и не исключает	1	1
67	является не только	1	1
68	по себе еще	1	1
69	себе еще не	1	1
70	обусловливают друг друга	1	1
71	нас и не	1	1
72	речь идет о	1	1
73	и в своем	1	1
74	заключается не в	1	1
75	мы не знаем	2	1
76	том числе и	1	1
77	именно так как	1	1
78	то естественно что	1	1
79	так чтобы все	2	1
80	отнюдь не является	3	1
81	так же как	3	1
82	и только в	3	1
83	но можно ли	1	1
84	тех или иных	7	1
85	не было а	1	1
86	то это есть	1	1
87	и прежде всего	3	1
88	есть то что	3	1
89	только для того	1	1
90	от того что	1	1
91	и во всем	1	1
92	во всех этих	1	1
93	как бы ни	1	1
94	даже и в	3	1
95	в том чтобы	1	1
96	иначе и не	1	1
97	ничего подобного не	1	1
98	по крайней мере	9	1
99	в том виде	4	1
100	точки зрения в	1	1
101	что вся эта	2	1
102	заключается в том	5	1
103	а в том	1	1
104	и в других	2	1
105	но это же	1	1
106	содержат в себе	1	1
107	и то и	1	1
108	в себе те	1	1
109	всяком случае не	2	1
110	то ни было	4	1
111	также и то	5	1
112	идет речь не	1	1
113	и того же	1	1
114	сих пор мы	2	1
115	одной или нескольких	1	1
116	из всего этого	1	1
117	не есть только	1	1
118	совершенно ясно что	1	1
119	для которой она	2	1
120	на первый взгляд	3	1
121	что не только	2	1
122	прежде всего с	1	1
123	тем что он	1	1
124	и вопрос о	1	1
125	в связи с	9	1
126	то же самое	17	1
127	мы говорили выше	2	1
128	и все же	1	1
129	жизни и тем	1	1
130	которых идет речь	1	1
131	том что вся	2	1
132	ни к какому	2	1
133	в том числе	1	1
134	тем не менее	23	1
135	в результате этого	1	1
136	но все же	1	1
137	того и другого	1	1
138	только то что	4	1
139	ее в качестве	1	1
140	для нас важно	1	1
141	говорить о том	2	1
142	между прочим и	1	1
143	перед нами не	1	1
144	вопрос о том	1	1
145	потому что и	1	1
146	то есть не	5	1
147	бы для него	1	1
148	и не только	1	1
149	не просто в	1	1
150	что он есть	2	1
151	важно то что	1	1
152	это и есть	3	1
153	так же и	3	1
154	самом деле для	1	1
155	да и этот	1	1
156	но даже и	7	1
157	на этот вопрос	1	1
158	только в виде	2	1
159	то и другое	1	1
160	он как будто	1	1
161	тот или иной	4	1
162	нем самом и	1	1
163	от всякого другого	1	1
164	к тому же	1	1
165	того что не	1	1
166	одного и того	1	1
167	потому что они	2	1
168	и в этом	6	1
169	себе представить как	1	1
170	собой разумеется что	1	1
171	друг к другу	1	1
172	вот это и	2	1
173	всяком случае при	1	1
174	нечего и говорить	2	1
