N	3gram	Vinokur_Ku	Sovremen
1	с точки зрения	16	5
2	в зависимости от	7	4
3	не может быть	5	4
4	что же это	1	3
5	в свою очередь	4	2
6	само собою разумеется	1	2
7	во всяком случае	8	2
8	тем не менее	9	2
9	зависимости от обстоятельств	1	2
10	в отличие от	3	2
11	в настоящее время	2	2
12	может быть и	1	2
13	и мы получим	1	1
14	и все те	1	1
15	есть не что	1	1
16	с совершенно иными	1	1
17	то ни было	1	1
18	мы знаем что	2	1
19	в том что	23	1
20	в первый период	2	1
21	мы должны признать	1	1
22	на самом деле	3	1
23	не могут быть	1	1
24	до сих пор	5	1
25	мы говорим о	3	1
26	все более и	1	1
27	а может быть	1	1
28	влечет за собой	1	1
29	до наших дней	1	1
30	в свое время	4	1
31	должен быть поставлен	1	1
32	сами по себе	2	1
33	не что иное	2	1
34	и действительное значение	1	1
35	в связи с	4	1
36	и все же	1	1
37	в самом деле	14	1
38	какой бы то	1	1
39	дело в том	1	1
40	в том случае	3	1
41	той или иной	1	1
42	вместе с ним	1	1
43	что иное как	2	1
44	в данном случае	1	1
45	не может но	1	1
46	но все же	3	1
47	и пр но	2	1
48	ни то ни	1	1
49	этот раз из	1	1
50	и той же	1	1
51	в конечном счете	2	1
52	когда мы говорим	1	1
53	с одной стороны	2	1
54	следующим образом если	1	1
55	одной и той	1	1
56	в этой области	3	1
57	мы не знаем	1	1
58	более и более	1	1
59	так же как	3	1
60	по аналогии с	1	1
61	то же время	4	1
62	не в том	5	1
63	что в ней	1	1
64	у нас есть	2	1
65	по отношению к	8	1
66	то ни другое	1	1
67	и может быть	1	1
68	в то же	4	1
69	но они не	1	1
70	бы то ни	1	1
71	на этот раз	1	1
72	на этот вопрос	3	1
73	он уже не	1	1
74	было бы так	1	1
75	по крайней мере	11	1
76	те или иные	2	1
77	в этом случае	4	1
78	тот или иной	1	1
79	смысле то конечно	1	1
80	и ничего не	1	1
81	можно было бы	11	1
82	именно в том	2	1
83	в этом смысле	8	1
84	вопрос должен быть	1	1
85	и в то	1	1
86	у нас на	1	1
87	по его мнению	1	1
88	нам это не	1	1
89	может быть только	2	1
