N	3gram	Vinokur_Vv	Sotsiolo
1	по отношению к	4	2
2	дело не в	1	2
3	только в этом	1	2
4	в том что	15	2
5	но ведь это	1	2
6	в конце концов	2	2
7	не в том	2	2
8	в каждом своем	1	1
9	в то же	6	1
10	а между тем	2	1
11	все же это	1	1
12	с одной стороны	4	1
13	в связи с	2	1
14	то же самое	3	1
15	то что в	1	1
16	наука о литературе	1	1
17	по крайней мере	4	1
18	то же время	6	1
19	только то что	1	1
20	между тем именно	2	1
21	это как будто	1	1
22	сама по себе	3	1
23	во всяком случае	5	1
24	а в том	1	1
25	и в этом	4	1
26	общие законы развития	1	1
27	не может не	1	1
28	но одно дело	1	1
29	между ними в	1	1
30	в настоящее время	1	1
31	в лучшем случае	1	1
32	не было бы	1	1
