N	3gram	Vygotskiy_	DiskursI
1	в том что	20	28
2	в отличие от	1	26
3	с одной стороны	6	14
4	не может быть	3	12
5	в данном случае	5	12
6	о том что	8	9
7	состоит в том	2	8
8	в этом отношении	1	8
9	как и в	1	7
10	и все же	1	7
11	в конечном счете	1	6
12	к тому же	2	6
13	с точки зрения	11	6
14	быть определена как	1	6
15	может быть определена	1	6
16	в основе своей	1	6
17	и как бы	2	5
18	несет в себе	3	5
19	но при этом	1	5
20	то же самое	12	5
21	с другой стороны	5	5
22	в свою очередь	3	5
23	и может быть	3	5
24	подобно тому как	1	5
25	можно сказать что	1	4
26	не в том	2	4
27	одного и того	1	4
28	а с другой	1	4
29	и того же	1	4
30	не более чем	1	4
31	и не может	1	4
32	в наше время	2	4
33	в этом случае	1	4
34	свой жизненный путь	1	3
35	как будто бы	1	3
36	в своей основе	1	3
37	как и всякое	1	3
38	более или менее	1	3
39	и то же	3	3
40	того или иного	2	3
41	в том случае	4	3
42	по аналогии с	2	3
43	на первый взгляд	1	3
44	то есть в	1	3
45	в мире в	2	3
46	и в частности	1	3
47	одно и то	3	3
48	том что в	1	3
49	во всяком случае	6	3
50	также и в	1	3
51	мере в какой	1	2
52	и столь же	1	2
53	все то что	13	2
54	заключать в себе	1	2
55	заключает в себе	1	2
56	далеко не ограничивается	1	2
57	ни одно из	2	2
58	он не может	1	2
59	потому что в	2	2
60	не совпадает с	2	2
61	если бы я	1	2
62	сами по себе	3	2
63	речь идет о	5	2
64	а в том	1	2
65	при этом как	1	2
66	а не только	1	2
67	и в том	1	2
68	в том и	2	2
69	дело не с	1	2
70	в том чтобы	2	2
71	только то что	3	2
72	только в том	5	2
73	и той же	3	2
74	каждый из них	3	2
75	ни одна из	1	2
76	как и все	1	2
77	как мы видели	2	2
78	одной и той	3	2
79	с самого начала	10	2
80	и то что	3	2
81	том случае если	4	2
82	в тех случаях	1	2
83	а также и	1	2
84	обратить внимание на	1	2
85	она отличается от	1	1
86	что он не	4	1
87	никак не могут	1	1
88	в том именно	1	1
89	благодаря тому что	1	1
90	к разного рода	1	1
91	имеет в виду	1	1
92	с прозаической точки	1	1
93	а как раз	1	1
94	на каждом шагу	1	1
95	и тем самым	1	1
96	вслед за этим	2	1
97	он как бы	1	1
98	как в басне	1	1
99	о том как	3	1
100	в применении к	1	1
101	такой же мере	1	1
102	басня или во	1	1
103	в согласии с	1	1
104	по сравнению с	1	1
105	в одной и	1	1
106	в себя и	1	1
107	и в другом	2	1
108	здесь не только	1	1
109	то или иное	1	1
110	так например в	2	1
111	дело не в	1	1
112	она могла бы	1	1
113	в которых она	1	1
114	в самом деле	29	1
115	для того чтобы	17	1
116	это не есть	1	1
117	когда указывает на	1	1
118	иначе говоря мы	1	1
119	с ним в	2	1
120	прозаической точки зрения	1	1
121	свидетельствует о том	1	1
122	с целым рядом	2	1
123	последовательности в какой	1	1
124	отношение к своему	1	1
125	но это только	1	1
126	в таком случае	1	1
127	в своем составе	1	1
128	начала и конца	1	1
129	что у него	2	1
130	так или иначе	1	1
131	сам по себе	2	1
132	которая состоит в	1	1
133	в басне в	1	1
134	именно в этой	1	1
135	то что может	1	1
136	до сих пор	6	1
137	события о которых	1	1
138	в такой же	1	1
139	легко заметить что	1	1
140	как и всякий	1	1
141	тому или иному	1	1
142	и таким образом	1	1
143	в том или	1	1
144	иначе говоря теория	1	1
145	в душе человека	1	1
146	но в этом	1	1
147	перед своими глазами	1	1
148	одновременно с этим	1	1
149	и все прочие	2	1
150	басни что он	1	1
151	и каждый из	1	1
152	не имеют никакого	1	1
153	и там где	1	1
154	вовсе не является	1	1
155	но все же	1	1
156	несмотря на все	1	1
157	предисловии к своим	1	1
158	со всей серьезностью	1	1
159	между тем столь	1	1
160	или во всяком	2	1
161	из того что	1	1
162	отличается от басни	1	1
163	целого в котором	1	1
164	при таком взгляде	1	1
165	он все же	1	1
166	уже одно это	1	1
167	и в этом	6	1
168	прежде всего на	1	1
169	то есть мы	1	1
170	мы все же	1	1
171	это то что	1	1
172	может и не	1	1
173	в евгении онегине	2	1
174	внимание на то	3	1
175	с теми же	1	1
176	в трагедии не	1	1
177	за то что	1	1
178	может быть охарактеризована	1	1
179	стрекоза и муравей	2	1
180	вместе с тем	3	1
