N	2gram	Berdyaev_N	Komedia
1	и в	16	77
2	и не	11	47
3	в том	8	44
4	том что	2	42
5	о том	4	33
6	но и	3	32
7	может быть	7	30
8	из них	1	29
9	в то	2	28
10	и его	1	28
11	в этом	7	27
12	потому что	4	27
13	что он	1	26
14	к тому	3	26
15	не только	5	25
16	вместе с	2	25
17	так как	1	24
18	как и	7	23
19	ни в	6	23
20	что в	9	23
21	в самом	1	22
22	в конце	1	21
23	так и	2	21
24	а в	2	21
25	в его	1	20
26	во время	1	19
27	в этой	1	18
28	тем что	1	17
29	в нем	5	17
30	еще не	3	17
31	не менее	4	16
32	у него	2	16
33	сих пор	1	16
34	он не	8	16
35	до сих	1	16
36	не в	6	15
37	в своем	1	15
38	в которой	1	15
39	на себя	1	15
40	и на	2	15
41	было бы	1	15
42	прежде всего	4	15
43	и с	2	14
44	на протяжении	2	14
45	к нему	1	14
46	в свою	1	14
47	все это	5	14
48	в них	4	13
49	что она	2	13
50	того же	1	13
51	то что	4	13
52	того чтобы	2	13
53	но в	2	13
54	в котором	1	12
55	для того	1	12
56	так же	2	12
57	с другой	3	12
58	хотя и	2	12
59	как это	2	12
60	как в	3	12
61	уже в	1	12
62	в истории	3	12
63	не по	1	12
64	нового времени	12	12
65	не может	16	12
66	но не	2	12
67	и даже	2	11
68	с тем	3	11
69	наряду с	3	11
70	что его	1	11
71	с ним	1	11
72	то время	1	11
73	и для	4	11
74	к ней	1	11
75	с этим	2	10
76	с одной	2	10
77	к себе	1	10
78	в чем	1	10
79	и что	2	10
80	и все	4	10
81	с его	6	10
82	мы не	2	10
83	еще в	1	10
84	все что	1	9
85	но все	1	9
86	в своей	3	9
87	одной стороны	2	9
88	говорить о	1	9
89	и еще	1	9
90	время как	2	9
91	только в	1	9
92	друг друга	1	9
93	в образе	1	9
94	а также	1	9
95	отличие от	1	9
96	в ней	5	9
97	и особенно	1	9
98	другой стороны	2	8
99	то это	1	8
100	такого рода	2	8
101	не было	4	8
102	не знает	6	8
103	во всех	3	8
104	можно было	2	8
105	возможно что	1	8
106	по своему	4	8
107	войны и	2	8
108	место в	2	8
109	и к	5	7
110	в этих	1	7
111	равно как	2	7
112	во всяком	1	7
113	вопрос о	3	7
114	хотя бы	2	7
115	и это	2	7
116	перед лицом	1	7
117	в себе	2	7
118	до начала	1	7
119	и у	1	7
120	это время	1	7
121	не имеет	4	7
122	из этих	1	7
123	и во	1	7
124	но если	1	7
125	всяком случае	1	7
126	в виду	1	6
127	с собой	1	6
128	не хочет	1	6
129	что не	1	6
130	могут быть	2	6
131	в силу	1	6
132	на ее	1	6
133	в сущности	1	6
134	а не	17	6
135	в отличие	1	6
136	нет и	2	6
137	в области	1	6
138	том числе	1	6
139	это было	3	6
140	человека в	1	6
141	а по	1	6
142	на это	1	6
143	как будто	2	6
144	не удалось	1	6
145	для всех	1	5
146	из всех	1	5
147	роль в	2	5
148	в это	1	5
149	а на	1	5
150	к ним	3	5
151	сказать что	3	5
152	все время	2	5
153	который в	2	5
154	себя в	2	5
155	никогда не	6	5
156	и мы	4	5
157	в ее	3	5
158	но он	1	5
159	в мире	3	5
160	не могла	2	5
161	и от	2	5
162	от нее	1	5
163	за пределы	3	5
164	приводит к	1	5
165	конечно не	3	5
166	это не	4	5
167	он и	1	5
168	по существу	2	5
169	демократии в	1	5
170	ему не	1	5
171	речи о	1	5
172	отказаться от	1	5
173	от того	1	5
174	жизни и	8	5
175	в период	1	5
176	для этого	2	5
177	в той	1	4
178	не столько	1	4
179	в духе	3	4
180	новое время	4	4
181	их в	1	4
182	времени в	2	4
183	не всегда	1	4
184	с большим	1	4
185	одна из	2	4
186	ближе к	1	4
187	том чтобы	2	4
188	в состоянии	1	4
189	к которому	1	4
190	в последние	1	4
191	я не	2	4
192	же как	2	4
193	по своей	1	4
194	ко времени	1	4
195	не случайно	1	4
196	не на	1	4
197	нет ничего	1	4
198	что мы	1	4
199	или к	1	4
200	в более	1	4
201	ничем не	1	4
202	у нас	1	4
203	в свои	2	4
204	с их	2	4
205	времени и	2	4
206	за его	1	4
207	такой же	2	4
208	и их	1	4
209	бы он	1	4
210	того времени	1	4
211	все более	1	4
212	нуждается в	1	4
213	в основе	3	4
214	во всем	1	3
215	к этой	1	3
216	по себе	1	3
217	только для	1	3
218	человека не	1	3
219	и мысли	1	3
220	и когда	1	3
221	людей и	1	3
222	как на	1	3
223	ней и	1	3
224	возвращение к	3	3
225	в гг	1	3
226	для них	1	3
227	от этого	1	3
228	должно было	2	3
229	в эту	1	3
230	не был	1	3
231	бы к	1	3
232	ли это	2	3
233	ни одно	1	3
234	одну из	1	3
235	в новое	3	3
236	он в	1	3
237	и есть	10	3
238	также что	1	3
239	для себя	1	3
240	и из	1	3
241	мы в	1	3
242	не могут	1	3
243	до этого	1	3
244	и начало	3	3
245	времени не	1	3
246	и более	1	3
247	бог и	1	3
248	было и	1	3
249	к своим	1	3
250	демократии и	1	3
251	нет ни	1	3
252	сам себя	1	3
253	ее на	1	3
254	высшей степени	6	3
255	должен быть	5	3
256	на них	1	3
257	и потому	4	3
258	а к	1	3
259	она не	3	3
260	не с	1	3
261	в большинстве	1	3
262	числе и	1	3
263	они не	1	3
264	будто бы	1	3
265	в высшей	6	3
266	все еще	1	3
267	в эти	1	3
268	в эпоху	9	3
269	становится в	1	3
270	не к	2	3
271	женщины в	1	2
272	философии и	1	2
273	в центре	2	2
274	из сторон	1	2
275	и очень	1	2
276	же и	1	2
277	одному из	1	2
278	между небом	1	2
279	ни одна	2	2
280	жизнь в	1	2
281	к более	2	2
282	превращается в	1	2
283	в речах	1	2
284	перед собой	1	2
285	обращение к	2	2
286	не могли	2	2
287	она могла	1	2
288	в этот	1	2
289	которых не	2	2
290	и формы	2	2
291	я думаю	1	2
292	вернуться к	2	2
293	в основу	1	2
294	думаю что	1	2
295	что все	2	2
296	в зависимости	1	2
297	к ее	3	2
298	римской империи	1	2
299	общественной жизни	6	2
300	с другими	1	2
301	они будут	1	2
302	к жизни	3	2
303	к достижению	1	2
304	государства и	4	2
305	подобно тому	3	2
306	и она	1	2
307	большинстве случаев	1	2
308	к вопросу	1	2
309	ни про	1	2
310	в смысле	2	2
311	чтобы понять	1	2
312	и мир	1	2
313	времени а	1	2
314	мы уже	1	2
315	эти слова	1	2
316	совсем не	12	2
317	на нем	1	2
318	время когда	1	2
319	себя на	1	2
320	сами эти	1	2
321	в древних	1	2
322	в традиционные	1	2
323	была уже	1	2
324	но нет	1	2
325	них не	1	2
326	вполне возможно	1	2
327	античного мира	4	2
328	с ее	5	2
329	понять что	1	2
330	наше время	4	2
331	не будет	7	2
332	должна быть	3	2
333	в жизни	5	2
334	это уже	1	2
335	ему все	1	2
