N	4gram	Tiupa_Vved	Problemy
1	в то же время	4	26
2	но в то же	1	11
3	и в то же	1	7
4	но на самом деле	1	5
5	в той или иной	1	5
6	одно и то же	1	3
7	одна и та же	1	2
8	дело в том что	1	2
9	той или иной степени	1	2
10	в пределы одного сознания	1	2
11	никогда не может быть	1	1
12	точке соприкосновения разных сознаний	1	1
13	только внешне но и	2	1
14	не только внешне но	2	1
15	с одной стороны и	3	1
16	и то же слово	1	1
17	и не может быть	1	1
18	с другой стороны эта	1	1
19	если бы оно было	1	1
20	одного и того же	1	1
21	одних и тех же	1	1
22	один и тот же	1	1
23	в самом деле не	1	1
24	в том числе и	1	1
25	и в другом случае	1	1
26	хотя и не может	1	1
27	что как раз и	1	1
28	как более или менее	1	1
29	в точке соприкосновения разных	1	1
30	в своем собственном мире	1	1
31	по отношению к слову	1	1
32	рождается в точке соприкосновения	1	1
33	однако в отличие от	1	1
34	во всяком случае в	1	1
35	если бы не было	1	1
36	и рождается в точке	1	1
37	так же как и	1	1
38	внешне но и внутренне	2	1
39	во внутреннем диалоге с	1	1
40	не в том что	2	1
41	в том или ином	1	1
