N	2gram	Savitsky_E	Stilisti
1	и в	37	42
2	как бы	6	30
3	не только	18	28
4	прежде всего	9	22
5	хотя бы	15	18
6	то же	15	16
7	но и	14	16
8	и не	14	14
9	может быть	6	13
10	не может	9	13
11	как и	7	12
12	что мы	1	11
13	точки зрения	23	11
14	в этом	12	10
15	в себе	9	10
16	и как	2	10
17	мы должны	2	10
18	как мы	5	10
19	отнюдь не	9	10
20	мы не	4	9
21	при этом	1	9
22	все же	1	9
23	язык и	1	9
24	то что	6	9
25	для того	6	9
26	в то	16	9
27	таким образом	2	8
28	так как	7	8
29	с тем	3	8
30	и это	1	8
31	в ней	4	8
32	тем самым	5	8
33	что же	2	8
34	с его	1	8
35	и на	6	7
36	так и	10	7
37	мы можем	3	7
38	только в	9	7
39	и его	1	7
40	потому что	3	7
41	того чтобы	6	7
42	и тем	3	7
43	же время	14	7
44	было бы	8	7
45	той же	1	7
46	и от	3	7
47	а не	2	7
48	никогда не	3	7
49	во всех	6	6
50	в его	2	6
51	не в	5	6
52	в нем	1	6
53	в процессе	4	6
54	на его	1	6
55	бы в	2	6
56	в свою	3	6
57	когда мы	1	6
58	в этой	2	6
59	мы будем	1	6
60	или иной	4	6
61	в области	11	6
62	в той	5	5
63	в самом	4	5
64	то есть	6	5
65	уже в	1	5
66	и их	1	5
67	с точки	17	5
68	те же	1	5
69	не является	3	5
70	но все	1	5
71	и с	2	5
72	но в	14	5
73	тому что	1	5
74	вместе с	2	5
75	того или	4	5
76	мы увидим	1	5
77	и следовательно	1	5
78	слова и	1	5
79	как это	4	5
80	а в	2	5
81	в нашем	1	5
82	в сознании	1	5
83	и то	2	5
84	или иного	4	5
85	независимо от	4	5
86	и наконец	2	5
87	мы видели	3	5
88	всего в	2	4
89	и к	3	4
90	мы видим	2	4
91	один из	1	4
92	что это	2	4
93	в качестве	14	4
94	или иную	3	4
95	в одном	2	4
96	влияние на	2	4
97	если бы	2	4
98	и все	2	4
99	социальной группы	1	4
100	у нас	1	4
101	уже не	1	4
102	к тому	8	4
103	о том	3	4
104	той или	4	4
105	можно сказать	4	4
106	если мы	1	4
107	так называемой	1	4
108	ту или	3	4
109	заключает в	3	4
110	можно было	3	4
111	свою очередь	2	4
112	или иное	1	4
113	так же	9	4
114	лишь в	1	4
115	в данной	3	4
116	тех или	1	4
117	точка зрения	2	4
118	то или	1	4
119	того что	7	4
120	не к	2	4
121	представить себе	1	3
122	видели что	1	3
123	что оно	1	3
124	та же	1	3
125	приближается к	3	3
126	что эти	2	3
127	как таковой	1	3
128	для нас	4	3
129	в том	11	3
130	или иных	1	3
131	несмотря на	4	3
132	для него	1	3
133	хотя и	2	3
134	в разных	1	3
135	ни на	3	3
136	в ее	8	3
137	то мы	1	3
138	что и	3	3
139	быть может	1	3
140	долгое время	2	3
141	между ними	2	3
142	в будущем	3	3
143	связи с	1	3
144	и даже	6	3
145	в основе	1	3
146	все эти	1	3
147	как в	3	3
148	по своему	7	3
149	том что	6	3
150	об этом	1	3
151	а к	1	3
152	в котором	2	3
153	ведь в	1	3
154	если не	1	3
155	связь и	1	3
156	и поэтому	2	3
157	между тем	8	3
158	во второй	3	3
159	в частности	5	3
160	в тех	1	3
161	связь между	1	3
162	в начале	1	3
163	целый ряд	2	3
164	конечно не	1	3
165	от того	1	3
166	заметить что	2	3
167	не будет	3	3
168	сказать что	4	3
169	главным образом	2	3
170	жизни и	2	3
171	этого слова	1	3
172	и эта	2	3
173	к той	2	3
174	и для	3	3
175	из них	3	3
176	только одна	1	2
177	и ту	2	2
178	и всего	1	2
179	находятся в	1	2
180	для всех	1	2
181	очевидно что	3	2
182	и этот	2	2
183	как с	1	2
184	человеческой истории	1	2
185	должно быть	1	2
186	увидим что	1	2
187	зависит от	1	2
188	был бы	1	2
189	и потому	5	2
190	еще более	2	2
191	этом отношении	3	2
192	с ним	1	2
193	кроме того	1	2
194	и различие	1	2
195	с природой	1	2
196	но как	2	2
197	для них	2	2
198	в отношении	32	2
199	с другими	2	2
200	иными словами	4	2
201	смысле этого	1	2
202	как нечто	1	2
203	с собой	1	2
204	но это	1	2
205	в их	11	2
206	а на	1	2
207	связь с	1	2
208	одну и	2	2
209	в своих	2	2
210	не было	1	2
211	на этот	2	2
212	или в	2	2
213	том же	1	2
214	с ней	1	2
215	но не	5	2
